label,N,T,horizon,step,example,estimator,split,current_date,target_window_start,target_date,ewma_half_life,input_flag_loss,post_reconstruction_flag_loss,relative_frobenius,gaussian_nll_per_asset,gmv_long_short_variance,gmv_long_short_annualised_volatility,gmv_long_only_variance,gmv_long_only_annualised_volatility,flag_market_1_loss,flag_top_3_loss,flag_top_6_loss,flag_nested_loss,raw_min_eigenvalue,raw_max_eigenvalue,raw_condition_number,score_eigenvalue_floor,n_eigenvalues_floored,score_condition_number
sp500_full,357,357,42,14,388,Oracle 3 - future rolling correlation,test,2023-03-15,2023-03-16,2023-05-15,inf,4.9343245538895844e-17,0.0011219506184771103,0.7118363521620727,-8.1887531718542,1.3798314185162496e-05,0.05896757731720839,4.487030773538653e-05,0.1063358714137304,0.18196982289992236,0.3114858438396399,0.4780205881733322,0.3238254183042982,1.5070917182653212e-06,0.047242724981658685,31346.947507637804,4.724272498165868e-10,0,31346.947507637804
sp500_full,357,357,42,14,388,Oracle 4 - future correlation and scale,test,2023-03-15,2023-03-16,2023-05-15,inf,4.9343245538895844e-17,0.0011219506184771103,0.4405531301683182,-8.448801424531366,1.5796090550366365e-05,0.06309211375990127,2.3399797977927294e-05,0.07679029294408037,0.07495588150036403,0.22191411381222834,0.3957657667945105,0.2308785873690343,9.266439460074238e-07,0.03069015264669798,33119.68181406767,3.069015264669798e-10,0,33119.68181406767
sp500_full,357,357,42,14,389,Control - frozen Flag/QIS/EWMA,test,2023-04-04,2023-04-05,2023-06-05,inf,0.01487382183328572,0.015566595105492445,0.7937159745369983,-7.658388091734834,3.5235902204757724e-05,0.09423081956344721,3.568847468845454e-05,0.09483404252424624,0.1638015439936169,0.39861256278381224,0.5218162971154301,0.36141013463095306,1.7926012466117059e-06,0.0477433064813714,26633.53412902822,4.77433064813714e-10,0,26633.53412902822
sp500_full,357,357,42,14,389,Oracle 1 - future Flag,test,2023-04-04,2023-04-05,2023-06-05,inf,1.0362081563168126e-15,0.0012145125716828996,0.7871827309413596,-7.69827646847415,2.8043171110473103e-05,0.0840647317240662,3.4364322082773604e-05,0.09305809564384471,0.1630326606496144,0.3763245482046293,0.4787650585958579,0.33937408915003386,1.8016200469032875e-06,0.04806221459095019,26677.220135045605,4.806221459095019e-10,0,26677.220135045605
sp500_full,357,357,42,14,389,Oracle 2 - future Flag and spectrum,test,2023-04-04,2023-04-05,2023-06-05,inf,1.0362081563168126e-15,0.0010685008293718457,0.7710689939234406,-7.30354391149502,2.820515269020553e-05,0.08430716741731864,3.426397414275975e-05,0.0929221259118379,0.16181629795374408,0.37767552931492504,0.4700190157943703,0.33650361435434645,4.068418902269469e-07,0.04730118017983916,116264.28181585073,4.730118017983916e-10,0,116264.28181585073
sp500_full,357,357,42,14,389,Oracle 3 - future rolling correlation,test,2023-04-04,2023-04-05,2023-06-05,inf,2.319132540328105e-15,0.001289751215277203,0.761662097390695,-8.16088404726817,8.843588938251597e-06,0.04720788506636791,3.289412619678383e-05,0.09104570171946354,0.16070596938977744,0.3752930673801738,0.45008977381221804,0.3286962701940564,3.907472005789813e-07,0.04737820182049507,121250.26551768876,4.737820182049508e-10,0,121250.26551768876
sp500_full,357,357,42,14,389,Oracle 4 - future correlation and scale,test,2023-04-04,2023-04-05,2023-06-05,inf,2.319132540328105e-15,0.001289751215277203,0.4939595867585523,-8.385646143586118,2.5850038728176385e-05,0.08071065455998018,2.2934766549741947e-05,0.07602342514340545,0.10151639436832238,0.3101061614993756,0.3752625822420564,0.26229504603658477,2.169962564005132e-07,0.031835589811889484,146710.31814083495,3.1835589811889483e-10,0,146710.31814083495
sp500_full,357,357,42,14,390,Control - frozen Flag/QIS/EWMA,test,2023-04-25,2023-04-26,2023-06-26,inf,0.018735229249297256,0.021933455984547,0.8011461229040779,-7.7680746878688804,3.446436192850788e-05,0.09319345044574746,3.6478612756900896e-05,0.09587810185198196,0.20681486983468766,0.41387419600599507,0.5377378738044994,0.3861423132150607,2.90856090483057e-06,0.04788657544481951,16464.00987006631,4.788657544481951e-10,0,16464.00987006631
sp500_full,357,357,42,14,390,Oracle 1 - future Flag,test,2023-04-25,2023-04-26,2023-06-26,inf,0.0,0.001279202563284867,0.7813672109442652,-7.805651134399893,2.9153076446064174e-05,0.0857121652066273,3.350518578713456e-05,0.09188746823347518,0.2008109200494349,0.3829119053063211,0.49374520607928535,0.3591560104783471,2.915744045144915e-06,0.047804333080457666,16395.24332050269,4.780433308045766e-10,0,16395.24332050269
sp500_full,357,357,42,14,390,Oracle 2 - future Flag and spectrum,test,2023-04-25,2023-04-26,2023-06-26,inf,0.0,0.0011867957977602529,0.7658970609804016,-7.830013494592846,2.5494352121116868e-05,0.08015345740840785,3.375284300391823e-05,0.09222644109466327,0.2007510712435121,0.38777343939630105,0.4682726759012504,0.3522657288470212,7.549931282952149e-06,0.04688526150701837,6210.024932662096,4.688526150701837e-10,0,6210.024932662096
sp500_full,357,357,42,14,390,Oracle 3 - future rolling correlation,test,2023-04-25,2023-04-26,2023-06-26,inf,0.0,0.001055745008371467,0.7553482503894691,-8.149657756763661,1.2548513898846631e-05,0.056233668762667006,3.3230610445350714e-05,0.09151018430878816,0.19898953522232987,0.38391106269845005,0.4521446814683583,0.34501509312971274,9.130056154456741e-06,0.046912670862321926,5138.267505553293,4.691267086232192e-10,0,5138.267505553293
sp500_full,357,357,42,14,390,Oracle 4 - future correlation and scale,test,2023-04-25,2023-04-26,2023-06-26,inf,0.0,0.001055745008371467,0.5170304100513435,-8.410302857476923,8.793802945620006e-06,0.04707481643401534,2.1970105050735033e-05,0.07440743560145872,0.1362117275155469,0.2939533263963406,0.3637883537263755,0.264651135879421,4.9594655312534205e-06,0.03184247642752379,6420.545969492028,3.184247642752379e-10,0,6420.545969492028
sp500_full,357,357,42,14,391,Control - frozen Flag/QIS/EWMA,test,2023-05-15,2023-05-16,2023-07-17,inf,0.02243195925954375,0.024947739812321058,0.9236161245737105,-7.882795962302005,4.165832741250572e-05,0.10245925291525133,2.6034382370476704e-05,0.08099792810535421,0.20575187081378432,0.3857195608743013,0.49610416932468177,0.3625252003375891,1.4982548307215151e-06,0.04678670670554107,31227.469283719896,4.678670670554107e-10,0,31227.469283719896
sp500_full,357,357,42,14,391,Oracle 1 - future Flag,test,2023-05-15,2023-05-16,2023-07-17,inf,1.4802973661668753e-16,0.0012476970562347927,0.8934267623725707,-7.917117635742828,3.678351276670365e-05,0.09627795810677188,2.2941593523846488e-05,0.07603473921839488,0.19047814682551167,0.34531804598597143,0.4367673584391176,0.32418785041686693,1.4959595612762135e-06,0.04676787957923016,31262.79666231897,4.676787957923016e-10,0,31262.79666231897
sp500_full,357,357,42,14,391,Oracle 2 - future Flag and spectrum,test,2023-05-15,2023-05-16,2023-07-17,inf,1.4802973661668753e-16,0.0012262938823749403,0.885730146250824,-7.927111769187389,3.635783152627347e-05,0.09571924333497896,2.2792227047360708e-05,0.0757868142616834,0.19095329025581131,0.35480879104848156,0.4245249597466469,0.3234290136836466,1.5087654579608373e-06,0.04639597918728499,30750.955320776757,4.6395979187284993e-10,0,30750.955320776757
sp500_full,357,357,42,14,391,Oracle 3 - future rolling correlation,test,2023-05-15,2023-05-16,2023-07-17,inf,4.440892098500626e-16,0.0010316869037955269,0.8743937924334707,-8.247150075930925,9.091575748098482e-06,0.04786519704880381,2.184681798526126e-05,0.07419837014575076,0.18868010292895687,0.3489059883288333,0.4201035824107409,0.3192298912228437,1.5744982395320358e-06,0.04640717395108689,29474.2622036083,4.6407173951086895e-10,0,29474.2622036083
sp500_full,357,357,42,14,391,Oracle 4 - future correlation and scale,test,2023-05-15,2023-05-16,2023-07-17,inf,4.440892098500626e-16,0.0010316869037955269,0.527998055039736,-8.590600004996176,7.5403177572234485e-06,0.043590825580852546,1.8635458256951717e-05,0.06852835530458784,0.14916684907169087,0.28121722319838466,0.34958080902753635,0.2599882937658706,8.115429917056598e-07,0.027463939497510977,33841.63227112425,2.7463939497510976e-10,0,33841.63227112425
sp500_full,357,357,42,14,392,Control - frozen Flag/QIS/EWMA,test,2023-06-05,2023-06-06,2023-08-04,inf,0.016927184378300358,0.019340774096670232,1.627675642001896,-7.427660784067267,0.0006791717144978534,0.41370432926603395,2.719238273100178e-05,0.08277971036559895,0.26302628291837826,0.38690118067635626,0.592307199068976,0.41407822088790347,3.8761063355135093e-07,0.047124896472710225,121577.92483901783,4.712489647271023e-10,0,121577.92483901783
