label,N,T,horizon,step,ewma_half_life,estimator,split,metric,n_examples,mean,median,q25,q75
nikkei_full,131,250,42,14,4032.0,Oracle 1 - future Flag,test,raw_min_eigenvalue,115,5.591255763900037e-05,5.144558290533438e-05,4.269411978981412e-05,6.743809305258498e-05
nikkei_full,131,250,42,14,4032.0,Oracle 1 - future Flag,test,raw_max_eigenvalue,115,0.013818820406699302,0.01304176432671064,0.010154378690560618,0.01560686834520797
nikkei_full,131,250,42,14,4032.0,Oracle 1 - future Flag,test,raw_condition_number,115,248.13075266767595,240.67886043404184,219.2786740292786,280.7787892719039
nikkei_full,131,250,42,14,4032.0,Oracle 1 - future Flag,test,score_eigenvalue_floor,115,1.3818820406699298e-10,1.304176432671064e-10,1.0154378690560618e-10,1.560686834520797e-10
nikkei_full,131,250,42,14,4032.0,Oracle 1 - future Flag,test,n_eigenvalues_floored,115,0.0,0.0,0.0,0.0
nikkei_full,131,250,42,14,4032.0,Oracle 1 - future Flag,test,score_condition_number,115,248.13075266767595,240.67886043404184,219.2786740292786,280.7787892719039
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,input_flag_loss,115,2.065980237128552e-16,9.868649107779169e-17,0.0,2.7138785046392713e-16
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,post_reconstruction_flag_loss,115,0.001952175535313469,0.0015978303936201096,0.001278671150151493,0.00217413588436683
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,relative_frobenius,115,0.6427930700119064,0.5933040446077243,0.5218691197121353,0.7354058788430334
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,gaussian_nll_per_asset,115,-7.397888243839527,-7.396847147393208,-7.67589538300468,-7.243410306768996
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,gmv_long_short_variance,115,6.204241504312484e-05,3.7585538565775744e-05,2.8508096654135835e-05,5.733257259862865e-05
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,gmv_long_short_annualised_volatility,115,0.11352593765699699,0.0973219179762477,0.08475871847097637,0.12019903616441531
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,gmv_long_only_variance,115,7.986653928962924e-05,5.0420643896451845e-05,3.6576422707777896e-05,7.196732606049854e-05
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,gmv_long_only_annualised_volatility,115,0.12972755424642046,0.11272090428090907,0.09600655458019536,0.13466909878381764
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,flag_market_1_loss,115,0.10616209942008992,0.09234542209842722,0.0654375225820143,0.11848207064072902
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,flag_top_3_loss,115,0.41435678655914915,0.4089022340889352,0.34998167402527164,0.4829430963763747
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,flag_top_6_loss,115,0.5189834373428721,0.5216595951970492,0.46480517112413483,0.5745925439020985
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,flag_nested_loss,115,0.34650077444070365,0.3475375386488148,0.2987931730444997,0.3892867209445921
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,raw_min_eigenvalue,115,5.561015915644262e-05,5.033295697906675e-05,4.2965151611536855e-05,6.847176748082268e-05
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,raw_max_eigenvalue,115,0.013730954147334622,0.012963771779329307,0.010428299459401928,0.015222210824690843
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,raw_condition_number,115,247.30705510491626,240.23093303137807,213.6507169840248,281.48452363116013
nikkei_full,131,250,42,14,4032.0,Oracle 2 - future Flag and spectrum,test,score_eigenvalue_floor,115,1.3730954147334628e-10,1.2963771779329306e-10,1.0428299459401928e-10,1.5222210824690844e-10
