label,N,T,horizon,step,ewma_half_life,estimator,split,metric,n_examples,mean,median,q25,q75
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,post_reconstruction_flag_loss,118,0.0026472348241458887,0.0022247575248673076,0.001790404703914758,0.0026538525967510804
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,relative_frobenius,118,0.8751140249916999,0.7386133458520819,0.6548260317169597,0.8894558129341481
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,gaussian_nll_per_asset,118,-6.861309139522211,-7.368434739517175,-7.656635426597213,-7.14934299452716
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,gmv_long_short_variance,118,0.00034826445760952854,5.775812979089425e-05,3.081089197554728e-05,0.00012154442368927057
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,gmv_long_short_annualised_volatility,118,0.18795338344586443,0.12064429135615327,0.08811551950614555,0.17501198464589843
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,gmv_long_only_variance,118,8.955414165476477e-05,3.330048872538991e-05,2.2787498124399202e-05,6.858900636952226e-05
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,gmv_long_only_annualised_volatility,118,0.11809313514177905,0.09160591622414077,0.07577895174353232,0.13147026129554779
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,flag_market_1_loss,118,0.18927548236331823,0.14757335381169828,0.1084671115406709,0.2279627082863821
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,flag_top_3_loss,118,0.390069262161362,0.3886489785612792,0.32740092242265106,0.4688280869700117
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,flag_top_6_loss,118,0.5012228252722658,0.4946586531731188,0.4359486969195184,0.5649033037870835
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,flag_nested_loss,118,0.36018918993231536,0.3557097383918988,0.30251970669634876,0.40588452488463034
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,raw_min_eigenvalue,118,2.8104568672087275e-06,1.9043526418144103e-06,9.88505524422788e-07,3.5486498469676784e-06
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,raw_max_eigenvalue,118,0.04063918452026133,0.030775912238141363,0.0247545136289476,0.04676787957923016
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,raw_condition_number,118,57530.9319431007,17604.20198976969,9360.19230293734,39426.302223841674
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,score_eigenvalue_floor,118,4.0639184520261327e-10,3.0775912238141363e-10,2.47545136289476e-10,4.676787957923016e-10
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,n_eigenvalues_floored,118,0.0,0.0,0.0,0.0
sp500_full,357,357,42,14,inf,Oracle 1 - future Flag,test,score_condition_number,118,57530.9319431007,17604.20198976969,9360.19230293734,39426.302223841674
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,input_flag_loss,118,3.221946668450784e-16,2.220446049250313e-16,4.9343245538895844e-17,4.440892098500626e-16
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,post_reconstruction_flag_loss,118,0.0032717746525917444,0.0020309807135954327,0.0017352908478504385,0.0025272460286441443
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,relative_frobenius,118,0.8602508818129717,0.7306764467110628,0.6544549560215983,0.8294477037287874
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,gaussian_nll_per_asset,118,-6.908021174584004,-7.404358346011576,-7.652396524251368,-7.0957661120591276
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,gmv_long_short_variance,118,0.00035007930645992286,6.610268034714346e-05,3.265310302254341e-05,0.00013912620421065308
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,gmv_long_short_annualised_volatility,118,0.19604695806776612,0.12906443305795895,0.09071153158050492,0.18724263259494237
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,gmv_long_only_variance,118,8.840294510091834e-05,3.313197020093221e-05,2.259787016401402e-05,6.890238076569478e-05
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,gmv_long_only_annualised_volatility,118,0.11751080009623407,0.09137425368501514,0.07546299279336549,0.13177025443154872
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,flag_market_1_loss,118,0.1869439430961959,0.1486573819038614,0.1053668690725238,0.22417132993011413
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,flag_top_3_loss,118,0.38957619375127706,0.3875676236798462,0.32647883344586,0.4650263348821269
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,flag_top_6_loss,118,0.4985170038884951,0.49332389368307095,0.4339265800163738,0.5596496692574243
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,flag_nested_loss,118,0.35834571357865597,0.35207377448370347,0.3026561338461127,0.40439265848215805
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,raw_min_eigenvalue,118,2.8072108044742705e-06,1.803184524975928e-06,9.362584329709558e-07,3.3576484787173227e-06
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,raw_max_eigenvalue,118,0.040517092064710984,0.03021163113778723,0.02474986332461121,0.04688526150701837
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,raw_condition_number,118,57644.649926908336,17783.92012704113,9170.927465341621,38428.535564571444
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,score_eigenvalue_floor,118,4.051709206471098e-10,3.0211631137787227e-10,2.474986332461121e-10,4.688526150701837e-10
sp500_full,357,357,42,14,inf,Oracle 2 - future Flag and spectrum,test,n_eigenvalues_floored,118,0.0,0.0,0.0,0.0
