label,candidate,reference_type,reference,metric,n_examples,block_length_origins,candidate_mean,reference_mean,absolute_improvement,percent_improvement,win_fraction,improvement_ci_low,improvement_ci_high
dax_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,120,21,0.6879955911420439,0.7051381794797247,0.017142588337680786,2.431096320770658,0.975,0.01377320609985227,0.020531291513249717
dax_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,120,21,-7.240036619094766,-7.201437206341459,0.038599412753306694,0.5359959636850924,1.0,0.03102646672150159,0.04830303674967198
dax_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,120,21,0.13137044106431503,0.13569960511033674,0.004329164046021711,3.1902554487919748,0.9333333333333333,0.0028656344117572808,0.005808653436036857
dax_full,Oracle 1 - future Flag,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,120,21,0.13422910978607916,0.13692558889617087,0.002696479110091715,1.9693025473393617,0.85,0.001451331389109892,0.00400094395280683
dax_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,120,21,0.6700836248880138,0.7051381794797247,0.03505455459171092,4.971302875356343,0.95,0.026307436470459772,0.044041742760611964
dax_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,120,21,-7.2437154169669045,-7.201437206341459,0.04227821062544557,0.5870801815534282,0.9666666666666667,0.030069131603965283,0.05574176021202631
dax_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,120,21,0.13050840083125936,0.13569960511033674,0.005191204279077377,3.8255117064315938,0.95,0.0035110268516478074,0.006946161538926241
dax_full,Oracle 2 - future Flag and spectrum,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,120,21,0.13385945140730263,0.13692558889617087,0.003066137488868248,2.2392728149544534,0.875,0.001679700200459219,0.004635210893502904
dax_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,120,21,0.6623833368001594,0.7051381794797247,0.04275484267956531,6.063328284267816,0.975,0.03269123366493975,0.05344889771859027
dax_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,120,21,-7.296832267539387,-7.201437206341459,0.0953950611979284,1.3246669861111222,1.0,0.06939947873286473,0.1265587199269444
dax_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,120,21,0.12864240833003746,0.13569960511033674,0.007057196780299285,5.200602296934549,0.9416666666666667,0.005369021260591921,0.009175893843837423
dax_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,120,21,0.13322189430027198,0.13692558889617087,0.003703694595898893,2.7048958677164157,0.8666666666666667,0.0023059020175566873,0.005409647531418429
dax_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,120,21,0.44143180037339935,0.7051381794797247,0.26370637910632533,37.397830209803274,0.9916666666666667,0.19506812944189994,0.3444219443504033
dax_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,120,21,-7.527943358105416,-7.201437206341459,0.32650615176395714,4.533902642050973,0.9916666666666667,0.2288778862763906,0.46250564124027266
dax_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,120,21,0.11258563932034732,0.13569960511033674,0.02311396578998942,17.033185742283894,1.0,0.01718496165404842,0.029465540294200617
dax_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,120,21,0.11933973212411297,0.13692558889617087,0.0175858567720579,12.843367637726983,1.0,0.01278721345101415,0.023125586732033004
dax_full,Control - frozen Flag/QIS/EWMA,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.7051381794797247,0.8514323912286126,0.1462942117488879,17.182128992976896,0.65,0.05654174772860348,0.23651216740318837
dax_full,Oracle 1 - future Flag,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.6879955911420439,0.8514323912286126,0.1634368000865687,19.195511207969222,0.6833333333333333,0.06787135062254658,0.25493873664598776
dax_full,Oracle 2 - future Flag and spectrum,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.6700836248880138,0.8514323912286126,0.18134876634059882,21.29925619565794,0.7166666666666667,0.0965208730886018,0.2673330181772135
dax_full,Oracle 3 - future rolling correlation,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.6623833368001594,0.8514323912286126,0.1890490544284532,22.203648390174163,0.7166666666666667,0.09969228299805101,0.2731839136312904
dax_full,Oracle 4 - future correlation and scale,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.44143180037339935,0.8514323912286126,0.41000059085521323,48.15421577555729,0.95,0.30543606020226893,0.4956764875616657
dax_full,Control - frozen Flag/QIS/EWMA,best Family 2 estimator,2.3 Ledoit-Wolf,gaussian_nll_per_asset,120,21,-7.201437206341459,-7.232487301544637,-0.031050095203178252,-0.4293142028268325,0.375,-0.06767341105084132,2.9917256377027767e-05
