label,candidate,reference_type,reference,metric,n_examples,block_length_origins,candidate_mean,reference_mean,absolute_improvement,percent_improvement,win_fraction,improvement_ci_low,improvement_ci_high
cac40_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,120,21,0.7313850434520686,0.7735620669839736,0.042177023531905,5.4523127919584,0.9666666666666667,0.03309738459782579,0.052832269912277144
cac40_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,120,21,-7.463090935523468,-7.385491181308954,0.07759975421451415,1.050705393987904,0.975,0.05258198531860561,0.10515931552568304
cac40_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,120,21,0.11813488764234097,0.12366233298641874,0.005527445344077772,4.469788989574397,0.975,0.004468376916154602,0.006671422106876964
cac40_full,Oracle 3 - future rolling correlation,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,120,21,0.12098938890515011,0.12473588335053457,0.0037464944453844545,3.003541839565125,0.95,0.0030120391832954836,0.004561957931616769
cac40_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,relative_frobenius,120,21,0.4309351404070604,0.7735620669839736,0.3426269265769132,44.29210546902523,1.0,0.2161480482595138,0.5385171078114198
cac40_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gaussian_nll_per_asset,120,21,-7.772040903054191,-7.385491181308954,0.3865497217452374,5.233906753873179,1.0,0.23291013814895,0.6317018418621109
cac40_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_short_annualised_volatility,120,21,0.09946848940047345,0.12366233298641874,0.024193843585945285,19.5644405225659,0.9916666666666667,0.015279943744189966,0.03380902039986041
cac40_full,Oracle 4 - future correlation and scale,common reconstruction control,Control - frozen Flag/QIS/EWMA,gmv_long_only_annualised_volatility,120,21,0.10458503188977612,0.12473588335053457,0.020150851460758443,16.154815213943074,0.9916666666666667,0.01243443519567832,0.0294909484116315
cac40_full,Control - frozen Flag/QIS/EWMA,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.7735620669839736,0.9181536445075921,0.1445915775236185,15.748080769331729,0.6916666666666667,-0.031587821606394235,0.2614725308294583
cac40_full,Oracle 1 - future Flag,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.7570963503613899,0.9181536445075921,0.16105729414620218,17.541431666655047,0.7333333333333333,-0.006990532486202004,0.28159021448577104
cac40_full,Oracle 2 - future Flag and spectrum,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.738073937794983,0.9181536445075921,0.1800797067126091,19.613243141804034,0.7416666666666667,0.019282725595524165,0.2903457474637224
cac40_full,Oracle 3 - future rolling correlation,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.7313850434520686,0.9181536445075921,0.1867686010555235,20.341758939015914,0.7416666666666667,0.02266479548191955,0.30037120011153357
cac40_full,Oracle 4 - future correlation and scale,best Family 2 estimator,2.6 RiskMetrics EWMA (lambda 0.94),relative_frobenius,120,21,0.4309351404070604,0.9181536445075921,0.4872185041005317,53.06502969465728,0.9916666666666667,0.41400544752766005,0.571598701706906
cac40_full,Control - frozen Flag/QIS/EWMA,best Family 2 estimator,2.9 Cross-validated eigenvalue shrinkage,gaussian_nll_per_asset,120,21,-7.385491181308954,-7.3968705995437505,-0.011379418234796823,-0.15384098020450326,0.275,-0.05636535890719439,0.04082073198668084
cac40_full,Oracle 1 - future Flag,best Family 2 estimator,2.9 Cross-validated eigenvalue shrinkage,gaussian_nll_per_asset,120,21,-7.425567595299336,-7.3968705995437505,0.028696995755585597,0.387961305654795,0.5416666666666666,-0.028228340492813357,0.0986256570284571
cac40_full,Oracle 2 - future Flag and spectrum,best Family 2 estimator,2.9 Cross-validated eigenvalue shrinkage,gaussian_nll_per_asset,120,21,-7.426989256247733,-7.3968705995437505,0.030118656703982616,0.407181067975427,0.5583333333333333,-0.02798106405889243,0.10119181260798492
cac40_full,Oracle 3 - future rolling correlation,best Family 2 estimator,2.9 Cross-validated eigenvalue shrinkage,gaussian_nll_per_asset,120,21,-7.463090935523468,-7.3968705995437505,0.06622033597971733,0.8952479983062281,0.6916666666666667,-0.0010341034966155186,0.14380829344541474
cac40_full,Oracle 4 - future correlation and scale,best Family 2 estimator,2.9 Cross-validated eigenvalue shrinkage,gaussian_nll_per_asset,120,21,-7.772040903054191,-7.3968705995437505,0.37517030351044056,5.072013880215528,1.0,0.2133286575554456,0.666466812778602
cac40_full,Control - frozen Flag/QIS/EWMA,best Family 2 estimator,2.3 Ledoit-Wolf,gmv_long_short_annualised_volatility,120,21,0.12366233298641874,0.12355018914339447,-0.0001121438430242705,-0.09076784406547078,0.6416666666666667,-0.0036950874806655296,0.002927955231830442
cac40_full,Oracle 1 - future Flag,best Family 2 estimator,2.3 Ledoit-Wolf,gmv_long_short_annualised_volatility,120,21,0.12000023812849424,0.12355018914339447,0.0035499510149002295,2.8732865886430132,0.825,-0.00014916965777596783,0.006635064922749616
cac40_full,Oracle 2 - future Flag and spectrum,best Family 2 estimator,2.3 Ledoit-Wolf,gmv_long_short_annualised_volatility,120,21,0.11919782766535829,0.12355018914339447,0.004352361478036179,3.5227477256103215,0.825,0.0012948718761219774,0.006881223630574679
cac40_full,Oracle 3 - future rolling correlation,best Family 2 estimator,2.3 Ledoit-Wolf,gmv_long_short_annualised_volatility,120,21,0.11813488764234097,0.12355018914339447,0.005415301501053502,4.383078276609039,0.8416666666666667,0.0022374398847874173,0.007895316195879593
cac40_full,Oracle 4 - future correlation and scale,best Family 2 estimator,2.3 Ledoit-Wolf,gmv_long_short_annualised_volatility,120,21,0.09946848940047345,0.12355018914339447,0.024081699742921014,19.491430899366232,1.0,0.01794998982860261,0.031089420902489503
cac40_full,Control - frozen Flag/QIS/EWMA,best Family 2 estimator,2.3 Ledoit-Wolf,gmv_long_only_annualised_volatility,120,21,0.12473588335053457,0.1247256357343486,-1.0247616185968256e-05,-0.008216126641193885,0.5416666666666666,-0.002739361786061091,0.0023317857072357815
