estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-03-13,2019-05-20,2020-05-15,348,flag_nested,0.03291625642252862
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,market_1,0.0013118344516763747
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,block_2_3,0.0632803991876838
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,block_4_6,0.10398230237713839
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,top_3,0.04258078391531125
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,top_6,0.03912679178057769
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,flag_nested,0.027673136715855102
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,market_1,0.0009540092691856517
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,block_2_3,0.02416268805843058
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,block_4_6,0.058998410876338024
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,top_3,0.016393913260104604
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,top_6,0.027222219323111158
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,flag_nested,0.014856713950800472
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,market_1,0.0012761377884972225
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,block_2_3,0.032164153623888025
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,block_4_6,0.06167266745768204
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,top_3,0.021766837492306717
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,top_6,0.03086029633627489
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,flag_nested,0.017967757205692943
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,market_1,0.0016336364907285628
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,block_2_3,0.030166558886666972
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,block_4_6,0.13418598713586474
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,top_3,0.020203241762763408
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,top_6,0.06496427959987876
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,flag_nested,0.02893371928445691
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,market_1,0.0006835016560519103
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,block_2_3,0.12010166559865842
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,block_4_6,0.18879786922810796
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,top_3,0.0802489993743946
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,top_6,0.05949858256014773
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,flag_nested,0.04681036119686475
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,market_1,0.0009343945376907303
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,block_2_3,0.31639188711754596
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,block_4_6,0.39014819580666144
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,top_3,0.21098793345453157
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,top_6,0.10415828860855998
1.6 Retained-Window Flag,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,flag_nested,0.1053602055335941
