label,alpha,validation_mean_complete_flag_loss,n_validation_examples,selected
dax_full,0.1,0.03761995184867566,55,True
dax_full,0.07500000000000001,0.037631412434458826,55,False
dax_full,0.125,0.037654593144743745,55,False
dax_full,0.05,0.03768905710984307,55,False
dax_full,0.15000000000000002,0.03773518817945462,55,False
dax_full,0.025,0.03779290222387377,55,False
dax_full,0.17500000000000002,0.037861523057501865,55,False
dax_full,0.0,0.03794289860065561,55,False
dax_full,0.2,0.03803331857662468,55,False
dax_full,0.225,0.03825023093472884,55,False
dax_full,0.25,0.03851185269769834,55,False
dax_full,0.275,0.038817714025107294,55,False
dax_full,0.30000000000000004,0.03916728414955752,55,False
dax_full,0.325,0.039559973103877044,55,False
dax_full,0.35000000000000003,0.03999513368896317,55,False
dax_full,0.375,0.040472063673624104,55,False
dax_full,0.4,0.04099000821639215,55,False
dax_full,0.42500000000000004,0.04154816249795129,55,False
dax_full,0.45,0.04214567455155539,55,False
dax_full,0.47500000000000003,0.042781648277617,55,False
dax_full,0.5,0.04345514662753397,55,False
dax_full,0.525,0.04416519494079246,55,False
dax_full,0.55,0.04491078441845861,55,False
dax_full,0.5750000000000001,0.04569087571534266,55,False
dax_full,0.6000000000000001,0.046504402632405635,55,False
dax_full,0.625,0.04735027589037668,55,False
dax_full,0.65,0.04822738696506897,55,False
dax_full,0.675,0.04913461196452572,55,False
dax_full,0.7000000000000001,0.05007081552789911,55,False
dax_full,0.7250000000000001,0.05103485472586213,55,False
dax_full,0.75,0.05202558294238471,55,False
dax_full,0.775,0.05304185371786529,55,False
dax_full,0.8,0.054082524533895567,55,False
dax_full,0.8250000000000001,0.05514646052035706,55,False
dax_full,0.8500000000000001,0.056232538066084685,55,False
dax_full,0.875,0.05733964831500029,55,False
dax_full,0.9,0.058466700530395176,55,False
dax_full,0.925,0.05961262531093307,55,False
dax_full,0.9500000000000001,0.06077637764294108,55,False
dax_full,0.9750000000000001,0.06195693977464803,55,False
dax_full,1.0,0.06315332389921616,55,False
