component,combined_skill_percent,median_panel_skill_percent,worst_panel_skill_percent,best_panel_skill_percent,panels_improved,n_panels
block_2_3,-50.039283743219386,-50.039283743219386,-50.039283743219386,-50.039283743219386,0,1
block_4_6,-68.41539987112193,-68.41539987112193,-68.41539987112193,-68.41539987112193,0,1
flag_nested,-64.00685051147627,-64.00685051147627,-64.00685051147627,-64.00685051147627,0,1
market_1,-56.60608730416855,-56.60608730416855,-56.60608730416855,-56.60608730416855,0,1
top_3,-50.409353745809035,-50.409353745809035,-50.409353745809035,-50.409353745809035,0,1
top_6,-76.95777624152979,-76.95777624152979,-76.95777624152979,-76.95777624152979,0,1
