estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,block_4_6,0.16160855688268047
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,top_3,0.029119656981753266
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,top_6,0.07884837629074755
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-02,2019-06-07,2020-06-05,349,flag_nested,0.037039173977254834
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,market_1,0.002200580813382147
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,block_2_3,0.040767227966272856
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,block_4_6,0.24278997450029452
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,top_3,0.02713516147526714
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,top_6,0.12196942097689645
3.1 Global Damping,dax_full,29,250,test,0.1,2020-04-24,2019-06-28,2020-06-25,350,flag_nested,0.050435054421848584
3.1 Global Damping,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,market_1,0.0016083184725124156
3.1 Global Damping,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,block_2_3,0.07995061422488625
3.1 Global Damping,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,block_4_6,0.1588262743423344
3.1 Global Damping,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,top_3,0.05353227661512413
3.1 Global Damping,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,top_6,0.07715237758292497
3.1 Global Damping,dax_full,29,250,test,0.1,2020-05-15,2019-07-18,2020-07-15,351,flag_nested,0.04409765755685383
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,market_1,0.0029352668150822714
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,block_2_3,0.06253161340297209
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,block_4_6,0.17283056749364198
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,top_3,0.041612496953374954
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,top_6,0.08466759570893319
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-05,2019-08-07,2020-08-04,352,flag_nested,0.04307178649246347
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,market_1,0.0014771741407916261
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,block_2_3,0.14614058988287182
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,block_4_6,0.3399929520866623
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,top_3,0.09767512214987306
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,top_6,0.13508381232879563
3.1 Global Damping,dax_full,29,250,test,0.1,2020-06-25,2019-08-27,2020-08-24,353,flag_nested,0.07807870287315344
3.1 Global Damping,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,market_1,0.0032029143193905707
3.1 Global Damping,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,block_2_3,0.37605046526947794
3.1 Global Damping,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,block_4_6,0.4589779007211725
3.1 Global Damping,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,top_3,0.2504125836688414
3.1 Global Damping,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,top_6,0.130123020731153
3.1 Global Damping,dax_full,29,250,test,0.1,2020-07-15,2019-09-16,2020-09-11,354,flag_nested,0.12791283957312832
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-04,2019-10-07,2020-10-01,355,market_1,0.0016136206967952704
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-04,2019-10-07,2020-10-01,355,block_2_3,0.35368991237365
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-04,2019-10-07,2020-10-01,355,block_4_6,0.33320789560383623
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-04,2019-10-07,2020-10-01,355,top_3,0.23589234966584835
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-04,2019-10-07,2020-10-01,355,top_6,0.07246222991376294
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-04,2019-10-07,2020-10-01,355,flag_nested,0.10332273342546887
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-24,2019-10-25,2020-10-21,356,market_1,0.0026496378684177646
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-24,2019-10-25,2020-10-21,356,block_2_3,0.284472280022117
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-24,2019-10-25,2020-10-21,356,block_4_6,0.252159514757959
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-24,2019-10-25,2020-10-21,356,top_3,0.18926740323152572
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-24,2019-10-25,2020-10-21,356,top_6,0.08978619906310496
3.1 Global Damping,dax_full,29,250,test,0.1,2020-08-24,2019-10-25,2020-10-21,356,flag_nested,0.09390108005434948
3.1 Global Damping,dax_full,29,250,test,0.1,2020-09-11,2019-11-14,2020-11-10,357,market_1,0.002091251454352072
3.1 Global Damping,dax_full,29,250,test,0.1,2020-09-11,2019-11-14,2020-11-10,357,block_2_3,0.12405293351903157
3.1 Global Damping,dax_full,29,250,test,0.1,2020-09-11,2019-11-14,2020-11-10,357,block_4_6,0.13455625906848553
3.1 Global Damping,dax_full,29,250,test,0.1,2020-09-11,2019-11-14,2020-11-10,357,top_3,0.08285745774464326
3.1 Global Damping,dax_full,29,250,test,0.1,2020-09-11,2019-11-14,2020-11-10,357,top_6,0.05769207934732604
3.1 Global Damping,dax_full,29,250,test,0.1,2020-09-11,2019-11-14,2020-11-10,357,flag_nested,0.047546929515440456
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-01,2019-12-04,2020-11-30,358,market_1,0.0022567701929016026
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-01,2019-12-04,2020-11-30,358,block_2_3,0.21509417717405432
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-01,2019-12-04,2020-11-30,358,block_4_6,0.19210886780241823
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-01,2019-12-04,2020-11-30,358,top_3,0.14394112291625571
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-01,2019-12-04,2020-11-30,358,top_6,0.04550509357178963
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-01,2019-12-04,2020-11-30,358,flag_nested,0.06390099556031566
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-21,2019-12-27,2020-12-18,359,market_1,0.001701900369195486
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-21,2019-12-27,2020-12-18,359,block_2_3,0.1314232035492905
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-21,2019-12-27,2020-12-18,359,block_4_6,0.17790769718226507
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-21,2019-12-27,2020-12-18,359,top_3,0.08814772003410927
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-21,2019-12-27,2020-12-18,359,top_6,0.06135413790058264
3.1 Global Damping,dax_full,29,250,test,0.1,2020-10-21,2019-12-27,2020-12-18,359,flag_nested,0.05040125276796246
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-10,2020-01-20,2021-01-13,360,market_1,0.0010707338991111648
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-10,2020-01-20,2021-01-13,360,block_2_3,0.032307571010208425
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-10,2020-01-20,2021-01-13,360,block_4_6,0.11679671888454927
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-10,2020-01-20,2021-01-13,360,top_3,0.021841414795765218
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-10,2020-01-20,2021-01-13,360,top_6,0.059429287497198224
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-10,2020-01-20,2021-01-13,360,flag_nested,0.027447145397358205
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-30,2020-02-07,2021-02-02,361,market_1,0.0016195425030006705
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-30,2020-02-07,2021-02-02,361,block_2_3,0.22568240527464534
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-30,2020-02-07,2021-02-02,361,block_4_6,0.21316243285276423
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-30,2020-02-07,2021-02-02,361,top_3,0.150850098165099
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-30,2020-02-07,2021-02-02,361,top_6,0.04770153633780868
3.1 Global Damping,dax_full,29,250,test,0.1,2020-11-30,2020-02-07,2021-02-02,361,flag_nested,0.06672372566863612
3.1 Global Damping,dax_full,29,250,test,0.1,2020-12-18,2020-02-27,2021-02-22,362,market_1,0.0034592765501725298
3.1 Global Damping,dax_full,29,250,test,0.1,2020-12-18,2020-02-27,2021-02-22,362,block_2_3,0.33685604063769714
3.1 Global Damping,dax_full,29,250,test,0.1,2020-12-18,2020-02-27,2021-02-22,362,block_4_6,0.3315056670193203
3.1 Global Damping,dax_full,29,250,test,0.1,2020-12-18,2020-02-27,2021-02-22,362,top_3,0.22520234269786452
3.1 Global Damping,dax_full,29,250,test,0.1,2020-12-18,2020-02-27,2021-02-22,362,top_6,0.08089186721631103
3.1 Global Damping,dax_full,29,250,test,0.1,2020-12-18,2020-02-27,2021-02-22,362,flag_nested,0.10318449548811603
3.1 Global Damping,dax_full,29,250,test,0.1,2021-01-13,2020-03-18,2021-03-12,363,market_1,0.0038834905803137865
3.1 Global Damping,dax_full,29,250,test,0.1,2021-01-13,2020-03-18,2021-03-12,363,block_2_3,0.28891892258776664
3.1 Global Damping,dax_full,29,250,test,0.1,2021-01-13,2020-03-18,2021-03-12,363,block_4_6,0.27197654340936966
3.1 Global Damping,dax_full,29,250,test,0.1,2021-01-13,2020-03-18,2021-03-12,363,top_3,0.19241861799139892
3.1 Global Damping,dax_full,29,250,test,0.1,2021-01-13,2020-03-18,2021-03-12,363,top_6,0.06095331975770538
3.1 Global Damping,dax_full,29,250,test,0.1,2021-01-13,2020-03-18,2021-03-12,363,flag_nested,0.08575180944313937
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-02,2020-04-07,2021-04-01,364,market_1,0.0052767222426219895
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-02,2020-04-07,2021-04-01,364,block_2_3,0.38667395883992595
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-02,2020-04-07,2021-04-01,364,block_4_6,0.3657607094565338
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-02,2020-04-07,2021-04-01,364,top_3,0.2586467676578869
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-02,2020-04-07,2021-04-01,364,top_6,0.07824759931374962
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-02,2020-04-07,2021-04-01,364,flag_nested,0.11405702973808618
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-22,2020-04-29,2021-04-23,365,market_1,0.005772126314860793
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-22,2020-04-29,2021-04-23,365,block_2_3,0.16237109063650967
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-22,2020-04-29,2021-04-23,365,block_4_6,0.18874355603014056
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-22,2020-04-29,2021-04-23,365,top_3,0.10902248110253643
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-22,2020-04-29,2021-04-23,365,top_6,0.0605138239483091
3.1 Global Damping,dax_full,29,250,test,0.1,2021-02-22,2020-04-29,2021-04-23,365,flag_nested,0.05843614378856877
3.1 Global Damping,dax_full,29,250,test,0.1,2021-03-12,2020-05-20,2021-05-13,366,market_1,0.00456778387815715
3.1 Global Damping,dax_full,29,250,test,0.1,2021-03-12,2020-05-20,2021-05-13,366,block_2_3,0.08449404615795908
3.1 Global Damping,dax_full,29,250,test,0.1,2021-03-12,2020-05-20,2021-05-13,366,block_4_6,0.25006953936923065
3.1 Global Damping,dax_full,29,250,test,0.1,2021-03-12,2020-05-20,2021-05-13,366,top_3,0.057058667627614724
3.1 Global Damping,dax_full,29,250,test,0.1,2021-03-12,2020-05-20,2021-05-13,366,top_6,0.11191639854158615
3.1 Global Damping,dax_full,29,250,test,0.1,2021-03-12,2020-05-20,2021-05-13,366,flag_nested,0.057847616682452675
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-01,2020-06-10,2021-06-03,367,market_1,0.0021430512449515104
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-01,2020-06-10,2021-06-03,367,block_2_3,0.05401489632379142
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-01,2020-06-10,2021-06-03,367,block_4_6,0.4056833658062439
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-01,2020-06-10,2021-06-03,367,top_3,0.036586809906831906
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-01,2020-06-10,2021-06-03,367,top_6,0.19200806342948148
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-01,2020-06-10,2021-06-03,367,flag_nested,0.07691264152708831
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-23,2020-06-30,2021-06-23,368,market_1,0.002691607527311124
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-23,2020-06-30,2021-06-23,368,block_2_3,0.0259132269851281
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-23,2020-06-30,2021-06-23,368,block_4_6,0.26121644995029375
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-23,2020-06-30,2021-06-23,368,top_3,0.01756896053174639
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-23,2020-06-30,2021-06-23,368,top_6,0.12985290119634416
3.1 Global Damping,dax_full,29,250,test,0.1,2021-04-23,2020-06-30,2021-06-23,368,flag_nested,0.05003782308513389
3.1 Global Damping,dax_full,29,250,test,0.1,2021-05-13,2020-07-20,2021-07-13,369,market_1,0.003917906194462861
3.1 Global Damping,dax_full,29,250,test,0.1,2021-05-13,2020-07-20,2021-07-13,369,block_2_3,0.018720780430946715
3.1 Global Damping,dax_full,29,250,test,0.1,2021-05-13,2020-07-20,2021-07-13,369,block_4_6,0.2034322530360145
3.1 Global Damping,dax_full,29,250,test,0.1,2021-05-13,2020-07-20,2021-07-13,369,top_3,0.012518862315028597
3.1 Global Damping,dax_full,29,250,test,0.1,2021-05-13,2020-07-20,2021-07-13,369,top_6,0.10536843050257068
3.1 Global Damping,dax_full,29,250,test,0.1,2021-05-13,2020-07-20,2021-07-13,369,flag_nested,0.04060173300402071
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-03,2020-08-07,2021-08-02,370,market_1,0.0056599989866380485
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-03,2020-08-07,2021-08-02,370,block_2_3,0.024971659360906284
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-03,2020-08-07,2021-08-02,370,block_4_6,0.07916479170549318
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-03,2020-08-07,2021-08-02,370,top_3,0.016116831281041133
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-03,2020-08-07,2021-08-02,370,top_6,0.04266175652878301
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-03,2020-08-07,2021-08-02,370,flag_nested,0.021479528932154063
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-23,2020-08-27,2021-08-20,371,market_1,0.003722026038048165
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-23,2020-08-27,2021-08-20,371,block_2_3,0.03165013158139518
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-23,2020-08-27,2021-08-20,371,block_4_6,0.15404002394705016
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-23,2020-08-27,2021-08-20,371,top_3,0.020856772703407245
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-23,2020-08-27,2021-08-20,371,top_6,0.07614031901277955
3.1 Global Damping,dax_full,29,250,test,0.1,2021-06-23,2020-08-27,2021-08-20,371,flag_nested,0.033573039251411654
3.1 Global Damping,dax_full,29,250,test,0.1,2021-07-13,2020-09-16,2021-09-09,372,market_1,0.010737997055466408
3.1 Global Damping,dax_full,29,250,test,0.1,2021-07-13,2020-09-16,2021-09-09,372,block_2_3,0.03778742683227465
3.1 Global Damping,dax_full,29,250,test,0.1,2021-07-13,2020-09-16,2021-09-09,372,block_4_6,0.12750583173565122
3.1 Global Damping,dax_full,29,250,test,0.1,2021-07-13,2020-09-16,2021-09-09,372,top_3,0.023516366180454273
3.1 Global Damping,dax_full,29,250,test,0.1,2021-07-13,2020-09-16,2021-09-09,372,top_6,0.06199456293622552
3.1 Global Damping,dax_full,29,250,test,0.1,2021-07-13,2020-09-16,2021-09-09,372,flag_nested,0.0320829753907154
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-02,2020-10-06,2021-09-29,373,market_1,0.004782111905202058
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-02,2020-10-06,2021-09-29,373,block_2_3,0.04678875896939283
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-02,2020-10-06,2021-09-29,373,block_4_6,0.28071795033787045
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-02,2020-10-06,2021-09-29,373,top_3,0.030689501112490507
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-02,2020-10-06,2021-09-29,373,top_6,0.13391932483876623
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-02,2020-10-06,2021-09-29,373,flag_nested,0.05646364595215294
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-20,2020-10-26,2021-10-19,374,market_1,0.006277438779777378
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-20,2020-10-26,2021-10-19,374,block_2_3,0.10856231219506929
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-20,2020-10-26,2021-10-19,374,block_4_6,0.19087364045575153
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-20,2020-10-26,2021-10-19,374,top_3,0.07181460235256498
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-20,2020-10-26,2021-10-19,374,top_6,0.06908431875171761
3.1 Global Damping,dax_full,29,250,test,0.1,2021-08-20,2020-10-26,2021-10-19,374,flag_nested,0.04905878662801999
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-09,2020-11-13,2021-11-08,375,market_1,0.005605756392473404
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-09,2020-11-13,2021-11-08,375,block_2_3,0.09997626087318479
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-09,2020-11-13,2021-11-08,375,block_4_6,0.19779266495741923
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-09,2020-11-13,2021-11-08,375,top_3,0.06764610157859681
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-09,2020-11-13,2021-11-08,375,top_6,0.07678158399120398
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-09,2020-11-13,2021-11-08,375,flag_nested,0.050011147320758065
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-29,2020-12-03,2021-11-26,376,market_1,0.004615794873478074
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-29,2020-12-03,2021-11-26,376,block_2_3,0.04071603021770864
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-29,2020-12-03,2021-11-26,376,block_4_6,0.13064315790987738
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-29,2020-12-03,2021-11-26,376,top_3,0.02764808440533173
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-29,2020-12-03,2021-11-26,376,top_6,0.07155333403276698
3.1 Global Damping,dax_full,29,250,test,0.1,2021-09-29,2020-12-03,2021-11-26,376,flag_nested,0.03460573777052559
3.1 Global Damping,dax_full,29,250,test,0.1,2021-10-19,2020-12-23,2021-12-16,377,market_1,0.0036266707553895827
3.1 Global Damping,dax_full,29,250,test,0.1,2021-10-19,2020-12-23,2021-12-16,377,block_2_3,0.04091822234547726
3.1 Global Damping,dax_full,29,250,test,0.1,2021-10-19,2020-12-23,2021-12-16,377,block_4_6,0.06918989079335465
3.1 Global Damping,dax_full,29,250,test,0.1,2021-10-19,2020-12-23,2021-12-16,377,top_3,0.0281918623672599
3.1 Global Damping,dax_full,29,250,test,0.1,2021-10-19,2020-12-23,2021-12-16,377,top_6,0.03754316554601574
3.1 Global Damping,dax_full,29,250,test,0.1,2021-10-19,2020-12-23,2021-12-16,377,flag_nested,0.02312056622288841
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-08,2021-01-18,2022-01-07,378,market_1,0.003124794172767009
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-08,2021-01-18,2022-01-07,378,block_2_3,0.32867541686613366
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-08,2021-01-18,2022-01-07,378,block_4_6,0.24382863253863452
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-08,2021-01-18,2022-01-07,378,top_3,0.220103427519225
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-08,2021-01-18,2022-01-07,378,top_6,0.024823882928348695
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-08,2021-01-18,2022-01-07,378,flag_nested,0.0826840348734469
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-26,2021-02-05,2022-01-27,379,market_1,0.0036703188350013516
3.1 Global Damping,dax_full,29,250,test,0.1,2021-11-26,2021-02-05,2022-01-27,379,block_2_3,0.12299908528102677
