label,N,days,T,horizon,step,component,n_origins,n_finite_addition,mean_addition_cosine,median_addition_cosine,q25_addition_cosine,q75_addition_cosine,positive_addition_fraction,mean_addition_previous_speed,mean_addition_next_speed,mean_full_cosine,mean_deletion_outgoing_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine,calendar_null_mean,calendar_null_q95,calendar_p,volatility_null_mean,volatility_null_q95,volatility_p
nikkei_full,131,6629,250,42,14,market_1,450,450,0.08303029949620418,0.08311593199846726,-0.019982030184498328,0.1705918942797081,0.7133333333333334,0.046065488944756955,0.04595653912136316,0.1680552330364434,0.6619005099222469,0.44683915673778346,0.003966128109473015,-0.015755144093702253,-0.0023100022349642514,0.01,0.017254503933114625,0.0333008242212818,0.01
nikkei_full,131,6629,250,42,14,block_2_3,450,450,0.06303433733875569,0.048976076901890764,-0.07609598829228555,0.2036089573523393,0.62,0.2815332462975135,0.2811581450616403,0.11643866112292219,0.6329690123653594,0.44234704284086046,-0.0007665907679396768,-0.003632794632634093,0.018287011664588168,0.01,0.030927542883053848,0.05228676473273923,0.02
nikkei_full,131,6629,250,42,14,block_4_6,450,450,0.03038751920605808,0.02842122990291414,-0.12769058249734783,0.189365836994454,0.5355555555555556,0.7341120567978019,0.7298413398417433,0.05606231580643194,0.5339767951878869,0.3938473529269992,-0.0055771034137829505,0.003175787621573493,0.02482231048890428,0.02,0.019882412613582628,0.03785496908167755,0.2
nikkei_full,131,6629,250,42,14,top_3,450,450,0.0617654560081916,0.05058744127462608,-0.06830823710610093,0.19507170981889022,0.6222222222222222,0.2846675017251248,0.28430509253075076,0.11578544586300325,0.6329435457818711,0.4410268489261693,-0.0019915053763122693,-0.004165361237476083,0.017227839837762552,0.01,0.030038787715740718,0.05092317801825462,0.02
nikkei_full,131,6629,250,42,14,top_6,450,450,0.02313146990926416,0.020609561097698455,-0.10811228042276018,0.1524053818126349,0.5355555555555556,0.7285664804502432,0.7243317179689645,0.05555896931799476,0.5445618594697239,0.397629212130657,-0.015482938235413638,0.002125117657827004,0.01753975856570839,0.03,0.015583855328261296,0.035491290840460855,0.27
nikkei_full,131,6629,250,42,14,flag_nested,450,450,0.03578031027902804,0.037438716103260744,-0.08834621011002203,0.16843565809049166,0.5755555555555556,0.35068261514521665,0.349049399093874,0.07057906048909175,0.556747582412495,0.39213018030595503,-0.0066470328823767235,-0.00018388803492141198,0.01636729199051202,0.01,0.01902725763167039,0.03454208511060666,0.05
