label,mean_full_cosine,mean_deletion_attributed_fraction,mean_full_residual_cosine,mean_addition_cosine,positive_addition_fraction,calendar_null_mean,calendar_null_q95,calendar_p,volatility_null_mean,volatility_null_q95,volatility_p,calendar_p_holm,volatility_p_holm,passes_both_raw,passes_both_holm
sp500_full,0.1544852224612579,0.4507889744549406,0.0337761397505083,0.0977349507174272,0.7062780269058296,0.010692403643292513,0.03533524363833379,0.01,0.05635691244159145,0.07699096653365456,0.01,0.04,0.04,True,True
nikkei_full,0.0705790604890917,0.392130180305955,-0.0066470328823767,0.035780310279028,0.5755555555555556,-0.00018388803492141198,0.01636729199051202,0.01,0.01902725763167039,0.03454208511060666,0.05,0.04,0.15000000000000002,True,False
dax_full,0.05614575919407,0.391066889866191,0.0012818860452643,0.0200291599918521,0.5454545454545454,-0.0016325612157329966,0.02217295056899899,0.07,0.014676763998351855,0.03926798439881947,0.35,0.14,0.7,False,False
cac40_full,0.062227221180493,0.4017915020558532,-0.012757513676868,0.0168708405445918,0.5237068965517241,0.0005731390261837744,0.02350288907210954,0.09,0.017597006914388657,0.0401509056253292,0.52,0.14,0.7,False,False
