date,start,component,addition_cosine,addition_previous_speed,addition_next_speed,full_cosine,deletion_outgoing_cosine,deletion_attributed_fraction,full_residual_cosine
2001-02-14,42,market_1,-0.4498348925423196,0.07075176233083105,0.06651391348175603,0.013857048155650822,0.8244233139154453,0.6796738005273248,-0.1938323910898441
2001-02-14,42,block_2_3,-0.424041172259598,0.5192424875270655,0.5984062537263355,-0.1232470055969132,0.37834898785078824,0.14314795660771606,-0.35845399635836817
2001-02-14,42,block_4_6,-0.5134527051205182,0.6984268192495705,0.7117909747576772,-0.4684063214580581,0.5515530527504535,0.3042107699983443,-0.4852431744869489
2001-02-14,42,top_3,-0.42645882527335144,0.5232698156145329,0.6010592589781353,-0.1257757852943023,0.3767627910860974,0.14195020074698628,-0.35533027595231625
2001-02-14,42,top_6,-0.2818728789527718,0.675637747194725,0.5440278168498744,-0.34904808644041274,0.8030356748915364,0.6448662951485051,-0.31035789768499317
2001-02-14,42,flag_nested,-0.3699212434010686,0.4151593743247703,0.4173438500870879,-0.23725183568727884,0.6123851520479745,0.37501557444882083,-0.3980506995364713
2001-03-06,56,market_1,-0.29494475153111877,0.07449063293685107,0.07525782190819347,-0.11166248727262812,0.598097056699285,0.35772008923234766,-0.20269304914340905
2001-03-06,56,block_2_3,-0.4236374409091811,0.5680244564187872,0.6107776350102487,-0.12320708691922926,0.5167629657812927,0.26704396280307763,-0.40373405929523803
2001-03-06,56,block_4_6,-0.20794292076939538,0.7312280100768417,0.7532053788047725,-0.08557974568014044,0.531942008410301,0.28296230031158487,-0.16862713099968552
2001-03-06,56,top_3,-0.4225302309234839,0.5729025802466958,0.6146301872432643,-0.126604261863635,0.5163887417164018,0.26665733257144875,-0.4073732225785438
2001-03-06,56,top_6,0.15434888536481978,0.6065868809804418,0.639570465819473,-0.18395176488952783,0.6864881512142169,0.47126598175751344,-0.04197978514350733
2001-03-06,56,flag_nested,-0.21991365130465873,0.4198562260774951,0.4469476765498975,-0.1483235369177774,0.5889278732133991,0.34683603984765754,-0.29545198167206116
2001-03-28,70,market_1,0.25330880832016855,0.06951617180969512,0.06744516731459275,-0.10893962275150548,0.5823032121766201,0.33907703091121,0.06765724743471344
2001-03-28,70,block_2_3,0.1899671390454295,0.36838352392652446,0.38154995204451897,-0.10308656137774756,0.7704529122171259,0.5935976899438502,0.18157699690792442
2001-03-28,70,block_4_6,-0.04296714620791589,0.5039691209411447,0.8982989873590198,-0.10250165725726808,0.4882662783017962,0.23840395852668705,-0.024679425887464204
2001-03-28,70,top_3,0.18263888692114644,0.3722543550277742,0.38554237859697554,-0.1052271867160553,0.7694323515123077,0.5920261435537596,0.16818845639915747
2001-03-28,70,top_6,0.006152851128362282,0.4967195941232885,0.9018833350561837,0.008770555458424202,0.45881506913342784,0.21051126766391204,-0.08988354643257973
2001-03-28,70,flag_nested,0.07855207293387959,0.3035544854219593,0.435502105812944,-0.05012275406050293,0.6067475161294532,0.36814254832926097,0.014405590650263112
2001-04-17,84,market_1,-0.10772184368267493,0.06651391348175605,0.07106853444256017,0.23497283237577324,0.6014277319012754,0.3617153166999122,0.225588973884171
2001-04-17,84,block_2_3,0.3019302368352359,0.5984062537263355,0.35999924359203916,0.14479751399738094,0.7954183855110636,0.6326904080090267,-0.008807703639426106
2001-04-17,84,block_4_6,-0.10715245112951474,0.7117909747576773,1.0289902664771295,0.32389563153217177,-0.42028907096370866,0.17664290317153764,0.16825648979598384
2001-04-17,84,top_3,0.2934096181517297,0.6010592589781353,0.3668398665505891,0.14720727111923754,0.7915465448908634,0.6265459327286638,-0.007542615322258509
2001-04-17,84,top_6,-0.21092439582180494,0.5440278168498743,1.0381001492263937,0.23862837498448217,-0.4251163702511683,0.1807239282555283,0.12478501287952828
2001-04-17,84,flag_nested,0.006012885338282738,0.41734385008708785,0.47907885828473823,0.20455760866395414,-0.13359936028281807,0.017848789067978044,0.18820996872973514
2001-05-07,98,market_1,-0.15662702001182643,0.0752578219081935,0.07817721938100658,-0.04000356541379733,0.5808037813696912,0.337333032453332,0.0672860101616958
2001-05-07,98,block_2_3,0.11125722847276738,0.6107776350102485,0.37754856836415435,-0.14753100139571326,0.7580823701389791,0.5746888799155319,-0.4328090547810368
2001-05-07,98,block_4_6,0.14605377862447402,0.7532053788047726,0.7260192712840982,0.37321938516350883,0.8524152095088675,0.726611689402047,0.09619915796988954
2001-05-07,98,top_3,0.10430926787834831,0.6146301872432642,0.3854911354584743,-0.1456450691901639,0.7519756589675902,0.5654673916797411,-0.4154160918335029
2001-05-07,98,top_6,-0.019141386921568842,0.639570465819473,0.6990377204796665,0.32411429109314915,0.8489511428094346,0.7207180428774451,0.110885839032954
2001-05-07,98,flag_nested,0.03559457015985914,0.44694767654989737,0.3702545591590584,0.13900954002294938,0.821139309933742,0.6742697663184616,-0.10415552090168109
2001-05-25,112,market_1,0.23035333316868054,0.06744516731459275,0.07260215848258207,0.13927967934588295,0.6657855101945586,0.44327034558502865,0.24600981610666292
2001-05-25,112,block_2_3,0.0697010185779802,0.3815499520445191,0.38237741767049754,0.040665401437129114,0.8535458959178233,0.728540596438159,-0.21712620106620156
2001-05-25,112,block_4_6,-0.2045431769253159,0.8982989873590197,0.6310751293570147,0.3607008893880573,-0.6633074931786621,0.43997683050696046,0.1594575172780556
2001-05-25,112,top_3,0.07135606989683503,0.38554237859697543,0.3870016146696904,0.04023290255843233,0.8505168302360846,0.723378878514837,-0.20446642148045693
2001-05-25,112,top_6,-0.2887487553071076,0.9018833350561838,0.648125664939477,0.5750115633662164,-0.7210516408660376,0.5199154687956051,0.39208785806019747
2001-05-25,112,flag_nested,-0.1521980461979547,0.435502105812944,0.3538440846769271,0.37041293970862116,-0.31511266300010204,0.09929599038301595,0.3121146204890997
