label,N,T_in,T_out,step,n_origins,n_train,n_validation,n_test,block_length_origins,independent_blocks,random_floor,frozen_capture,ceiling_capture,naive_headroom,ceiling_bias,real_headroom,validation_selected_ewma_half_life,rie_shrinkage_invisible,rie_invisible_after_renormalisation,N_m,features,n_parameters,n_train_m,n_validation_m,n_test_m,block_length_origins_m,independent_test_blocks,selected_half_life,selected_fit,fit_agreement_ridge,fit_agreement_geometric,fit_agreement_direct,selected_epsilon,baseline_half_life,gap_floor_bound_fraction,max_offdiagonal_collinearity,validation_gate_improvement,validation_gate_ci_low,validation_gate_ci_high,stopping_rule_passed,test_frozen_capture,test_ceiling_capture,test_naive_headroom,test_model_capture,test_versus_ewma,test_versus_ewma_ci_low,test_versus_ewma_ci_high,test_versus_frozen,test_versus_frozen_ci_low,test_versus_frozen_ci_high,test_versus_frozen_win_fraction,beta_fast_slow,beta_momentum,beta_stress
cac40_full,23,750,42,14,432,202,55,121,57,2.12280701754386,0.2608695652173913,0.6178748468791609,0.7836781712117452,0.1658033243325842,0.0775709931577531,0.0882323311748311,252.0,True,False,23,fast_slow+momentum+stress,5,202,55,121,57,2.12280701754386,252.0,gradient,0.4453522972380574,-0.159533575865594,0.921818160846896,0.02,252.0,0.0,0.3305014332237062,0.0003514771696531,0.0003514771696531,0.0003514771696531,True,0.6178748468791609,0.7836781712117452,0.1658033243325842,0.6218684150596338,-0.0001930887778118,-0.001810540839107,0.0012881573906988,0.0039935681804729,-0.0040620511626249,0.0120728126698305,0.628099173553719,-0.1953355760772938,0.9630392915847888,0.1854705787515094
dax_full,29,750,42,14,429,201,55,120,57,2.1052631578947367,0.2068965517241379,0.5792971833888295,0.7486644830424118,0.1693672996535823,0.0828597552247674,0.0865075444288149,252.0,True,False,29,fast_slow+momentum+stress,5,201,55,120,57,2.1052631578947367,inf,gradient,0.7326371617013593,0.7691422888736705,1.0,0.2,252.0,0.0,0.3123959767123191,0.0009765774730419,0.0009765774730419,0.0009765774730419,True,0.5792971833888295,0.7486644830424118,0.1693672996535823,0.5846161635450362,-0.0029050911788638,-0.0045653815898719,-0.0013714423599289,0.0053189801562067,0.0031993823512607,0.007741151670171,0.7083333333333334,0.6875440792240627,-0.7031335737749131,0.1813458479107108
nikkei_full,131,750,42,14,417,196,53,114,57,2.0,0.0458015267175572,0.4724607872783187,0.6469428921897901,0.1744821049114713,0.0885024469369655,0.0859796579745058,252.0,True,False,131,fast_slow+momentum+stress,5,196,53,114,57,2.0,252.0,gradient,0.2127317652945433,0.8722977535330053,0.993637968060407,0.0,252.0,0.0,0.1546212869630096,0.0,0.0,0.0,False,0.4724607872783187,0.6469428921897901,0.1744821049114713,0.4805865851474837,0.0,0.0,0.0,0.0081257978691651,0.0064791769831529,0.0097819271256536,0.8947368421052632,-0.1348172204058689,-0.984094218884661,0.1156844217681199
sp500_full,357,750,42,14,421,195,54,118,57,2.0701754385964914,0.0168067226890756,0.4423527571828045,0.6140130212075695,0.1716602640247649,0.0783872145973968,0.0932730494273681,252.0,True,False,357,fast_slow+momentum+stress,5,195,54,118,57,2.0701754385964914,252.0,gradient,0.5347142638052881,0.9665994662852396,1.0,0.1,252.0,0.0,0.4887515759061352,8.74342603225921e-05,8.74342603225921e-05,8.74342603225921e-05,True,0.4423527571828045,0.6140130212075695,0.1716602640247649,0.4560984576561402,-8.215331001824889e-05,-0.0001694012165087,5.645326189668374e-06,0.0137457004733356,0.0093524424857388,0.0180440448168249,0.9322033898305084,-0.5630367481623767,-0.7705245232013167,-0.2988002332062677
