arm,N,T,horizon,step,q,deletion_fraction,origins,bootstrap_block_origins,independent_blocks,observed_addition_cosine,observed_full_cosine,deletion_attributed_fraction,projection_residual_cosine,positive_addition_fraction,n_origins_run
A,357,750,42,14,0.476,0.056,418,60,6.966666666666667,0.1422816486956389,0.2110795308407632,0.4700567023992098,0.11065660092392567,0.7511961722488039,418
A,357,500,42,14,0.714,0.084,436,42,10.380952380952381,0.1274906850947627,0.1673077547740159,0.45647738649441716,0.07163828739062039,0.7178899082568807,436
A,357,1008,42,14,0.3541666666666667,0.041666666666666664,400,78,5.128205128205129,0.1824399271979414,0.24462782066151142,0.4886703584114415,0.15042108938487098,0.7825,400
B,357,750,84,14,0.476,0.112,412,66,6.242424242424242,0.19228885037297883,0.26185860117618465,0.46311273740870246,0.12166590565267123,0.837378640776699,412
