date,start,component,addition_cosine,addition_previous_speed,addition_next_speed,full_cosine,deletion_outgoing_cosine,deletion_attributed_fraction,full_residual_cosine
2004-06-23,112,market_1,0.30283831099026143,0.030507587468245338,0.03560815702487963,0.34003249707693917,0.5758052519651703,0.33155168819067304,0.288026203312138
2004-06-23,112,block_2_3,0.8608388806959247,0.4947154128360241,0.4067151040650327,0.8785343423007287,0.9308073813265242,0.8664023811319417,0.35677869001550405
2004-06-23,112,block_4_6,0.7534233649165418,0.5482326459451065,0.4418358584046399,0.6560079024757874,0.8482305830456671,0.7194951220139922,0.5529368019206574
2004-06-23,112,top_3,0.8575169723555114,0.49545378857846123,0.40817748248680624,0.8760901449137299,0.9279649719955723,0.8611189892507427,0.36689306273920513
2004-06-23,112,top_6,0.07031829598722773,0.28224439426278347,0.24051458049377633,0.1622907003699841,0.7281370993814585,0.5301836354956442,0.18761627206822273
2004-06-23,112,flag_nested,0.7377335956935125,0.3098911337564271,0.25777012463591215,0.7176649422313686,0.8420371717887989,0.7090265986740791,0.5019838500240685
2004-07-14,126,market_1,0.2935886273503446,0.03321368807857023,0.036985683337493296,0.3075891761547595,0.5586974626656044,0.3121428547889843,0.2708013213563449
2004-07-14,126,block_2_3,0.827673690022613,0.6765752078743612,0.2985102251642363,0.8549769861951706,0.7942112237778597,0.6307714679747254,0.7086151114115904
2004-07-14,126,block_4_6,0.6592161633810735,0.71414574718706,0.35722098846104633,0.6901293103180491,0.7527623109952253,0.5666510968548721,0.6272627728951999
2004-07-14,126,top_3,0.8221592797469096,0.677193361825356,0.30048945729655663,0.8509264054043453,0.7885957902680457,0.6218833204284833,0.7065222360504777
2004-07-14,126,top_6,-0.07498527214111564,0.29251131627272065,0.2616060864695866,0.23799758817609065,0.7427704044579042,0.5517078737385586,0.09237427442682959
2004-07-14,126,flag_nested,0.6496456855947592,0.41015514609371445,0.20705603790694724,0.6943161649212553,0.7213189572324415,0.5203010380628967,0.6088612121348089
2004-08-03,140,market_1,0.3192864636764255,0.031881464021749295,0.0369800794333385,0.30777241219071044,0.573120919532511,0.32846758840579116,0.2283600221448319
2004-08-03,140,block_2_3,0.8308401451525476,0.657545550480989,0.33339639813231725,0.8409657025043895,0.7173090616818252,0.5145322899708605,0.7580908191685797
2004-08-03,140,block_4_6,0.6875029736072978,0.6936253971615493,0.3878541438371875,0.6804866467970864,0.6934268299883113,0.48084076854763824,0.6533845206777089
2004-08-03,140,top_3,0.8267284412681635,0.6581859890291772,0.3350757035691384,0.8375363832742663,0.7126080535376765,0.5078102379667558,0.7553645628068553
2004-08-03,140,top_6,-0.028030680164529993,0.28890472622770114,0.25908125425652956,0.21671609850193063,0.7256128863422301,0.5265140608259019,0.10578682374045446
2004-08-03,140,flag_nested,0.681360786631625,0.39916205974398333,0.22356196314863094,0.6928015054683638,0.6700773979829062,0.449003719287542,0.6463320694779788
2004-08-23,154,market_1,0.23835375241376505,0.03150998723111632,0.036435266223582556,0.2647341843482369,0.5905104970487041,0.34870264712470755,0.166145201039738
2004-08-23,154,block_2_3,0.8189315824741329,0.6633507657968142,0.3432827885034866,0.8765020903472943,0.8850653605888674,0.7833406925143014,0.538342450224156
2004-08-23,154,block_4_6,0.7180139948726404,0.7041629253261662,0.38364854235066187,0.7517827012122784,0.800501653164694,0.6408028967194082,0.572182658420266
2004-08-23,154,top_3,0.8147908324340329,0.6640258583841799,0.3450562829182515,0.8732457885277987,0.8812937514644781,0.7766786763703333,0.5402085087221096
2004-08-23,154,top_6,0.04086129695185991,0.29943443214322313,0.23788769576105714,0.23898848278777152,0.6911421168558012,0.4776774256919183,0.11717596963206971
2004-08-23,154,flag_nested,0.6948103077682769,0.40362501907307874,0.22460461716311106,0.7636352867737369,0.7944949285242651,0.6312221914507772,0.5524400226281666
2004-09-13,168,market_1,0.21561076671586285,0.030931877206350628,0.038068480524264994,0.2325603361856011,0.5678361993566291,0.3224379492997814,0.10452770565575768
2004-09-13,168,block_2_3,0.7714827955345998,0.652542423192596,0.35374567899659004,0.8572488679693832,0.7796521719447357,0.6078575092181437,0.6469646194708972
2004-09-13,168,block_4_6,0.7122990820090382,0.6966216132644587,0.38465064585746966,0.7496575888470508,0.7458551175319657,0.5562998563486224,0.6138040192163882
2004-09-13,168,top_3,0.7677587804349317,0.6532562398380416,0.3554471132996331,0.8535839368641623,0.776729080072582,0.6033080638303998,0.6436146558428918
2004-09-13,168,top_6,0.16125510767698853,0.309929510597629,0.22417324152104884,0.29557289633523,0.7339353385814629,0.5386610812186865,0.17726683920684397
2004-09-13,168,flag_nested,0.6767940014038454,0.3990163775834713,0.2279013668880674,0.7493641631057076,0.7283130686901179,0.5304399260248167,0.5895264744680291
2004-10-01,182,market_1,0.2312917198416698,0.03149058949550619,0.03676234179520589,0.21797148261144617,0.6336855810108384,0.40155741558104385,0.1670099364334053
2004-10-01,182,block_2_3,0.6040427180616611,0.337760634654752,0.35930408594930235,0.7721642779662891,0.7193205487843303,0.5174220519033899,0.5494722376734931
2004-10-01,182,block_4_6,0.5280896162412656,0.3935543924742794,0.3887243384738176,0.7285451252640472,0.7072524609210461,0.5002060434788758,0.5480227586787002
2004-10-01,182,top_3,0.5998853602674001,0.33892001535303445,0.3605567643906468,0.7673159274153809,0.71732223128692,0.5145511834984455,0.546472619537091
2004-10-01,182,top_6,0.14066698700994804,0.25517702018215793,0.22824570801646624,0.38917733078887284,0.7417383634839056,0.5501757998637825,0.12111264779664621
2004-10-01,182,flag_nested,0.5039813410933054,0.22390429823308233,0.23101489222170937,0.6811331498606067,0.6842342295974397,0.46817648095280184,0.5019280798265926
2004-10-21,196,market_1,0.20553879497152497,0.035367885726375524,0.03423504361160857,0.22735922860977525,0.6344952708163986,0.40258424868837484,0.09035062095407718
2004-10-21,196,block_2_3,0.6489176372046401,0.33533619512881047,0.42880447421578194,0.7365841439691148,0.4679023141101625,0.21893257554964507,0.6684923112482791
2004-10-21,196,block_4_6,0.5678113128120947,0.3846698070932858,0.4545762111473495,0.6491206890288254,0.5561860873183856,0.3093429637265349,0.5808857190745134
2004-10-21,196,top_3,0.6450082593673787,0.33697725403135753,0.4294173968178659,0.7328153803142053,0.4691427801631847,0.22009494817924236,0.6648282558526187
2004-10-21,196,top_6,0.11311136736010663,0.24972633130223804,0.22760479708525722,0.25594698333776394,0.7554050711992726,0.5706368215935783,0.03442115119416132
2004-10-21,196,flag_nested,0.5460464382645859,0.22247692916316328,0.266969028884881,0.6312340479268526,0.5276833648703046,0.2784497335608469,0.5672917344907505
2004-11-10,210,market_1,0.2004635595105983,0.03568160575687536,0.03380921797774917,0.1561005043683659,0.6334915858386856,0.4013115893284126,0.058811713259632165
2004-11-10,210,block_2_3,0.685598097872378,0.2650468960411304,0.48620503068084087,0.7555860439655745,0.1873383550079417,0.03509565925708169,0.7530503594249769
2004-11-10,210,block_4_6,0.5827640621707335,0.3189142441676111,0.511559802036425,0.6307626765359736,0.4455767418234749,0.1985386328540235,0.6490140367429462
2004-11-10,210,top_3,0.6794604636715952,0.2672087043846638,0.48671328236288997,0.7514949993398174,0.19403892258333047,0.03765110347729972,0.749069547208155
2004-11-10,210,top_6,0.07668302219365206,0.23989438460249618,0.23076334995105977,0.1895723058690216,0.7750159955004181,0.6006497932815038,0.05214977016526221
2004-11-10,210,flag_nested,0.5474545154038223,0.18618510551688702,0.2982978772578269,0.6333894440001445,0.40153011624042634,0.16122643424805005,0.6422363681405259
2004-12-01,224,market_1,0.15307786644643886,0.035608157024879634,0.03505064528075313,0.19592334957573257,0.6133370668242109,0.37618235754052654,0.05513447952426193
2004-12-01,224,block_2_3,0.6172884154161309,0.40671510406503253,0.2419023401458818,0.7146712059812763,0.7342970431384327,0.5391921475618452,0.4857258036428492
2004-12-01,224,block_4_6,0.5231463739354054,0.44183585840463985,0.2925251224458168,0.5733955237388011,0.7229697263810357,0.5226852252634696,0.4129197425562473
2004-12-01,224,top_3,0.6126238558133332,0.4081774824868062,0.24291224670438952,0.7102722941648607,0.7324932365226968,0.5365463415514953,0.48505165934873706
2004-12-01,224,top_6,0.11787055895531193,0.24051458049377641,0.22610090956825538,0.24116913827723294,0.7414385681751187,0.5497311503775701,0.01906349718967019
2004-12-01,224,flag_nested,0.4864526907063102,0.25777012463591215,0.17151561003454072,0.5753373515741717,0.7067099526919844,0.49943895723390686,0.41832907325112123
2004-12-21,238,market_1,0.2379788577205272,0.0369856833374933,0.034877723675278714,0.2856063684538896,0.6238139825079903,0.38914388477247963,0.18362726357328032
2004-12-21,238,block_2_3,0.7652835739539602,0.2985102251642363,0.4973774207875817,0.7900816751094945,-0.46303356143466107,0.21440007901486613,0.7485828133499864
2004-12-21,238,block_4_6,0.5995713086161554,0.3572209884610464,0.5283345397595357,0.5910800307470365,0.05036211746139625,0.002536342875195552,0.5900975084812095
2004-12-21,238,top_3,0.7595193227629458,0.3004894572965566,0.49782953188687346,0.7839614041942099,-0.4452397882393664,0.19823846903143583,0.7441565606080532
2004-12-21,238,top_6,-0.04285950703354983,0.26160608646958666,0.23425851752031343,0.21538418224110295,0.6925012761254495,0.47955801743537596,-0.07025016826416233
2004-12-21,238,flag_nested,0.5978007791638252,0.2070560379069472,0.3049164564053671,0.615709832280957,0.014558470862401383,0.00021194907385158057,0.6165112079931753
2005-01-11,252,market_1,0.27628475697004107,0.03698007943333848,0.03185551818213456,0.33853593203414345,0.641682667036258,0.4117566451747652,0.22260256389754146
2005-01-11,252,block_2_3,0.7946998068901625,0.33339639813231736,0.6424199356219008,0.8050767209416005,0.2845153705573125,0.08094899608336492,0.7859382171893357
2005-01-11,252,block_4_6,0.6185949932083755,0.38785414383718747,0.6749108814350846,0.6210740376747852,0.34087694480308683,0.11619709149828672,0.5648635139370886
2005-01-11,252,top_3,0.7901210568538801,0.33507570356913835,0.6427759893262309,0.8007119653409585,0.2852868742220686,0.08138860060339848,0.7811489849935331
