arm,N,T,horizon,step,q,deletion_fraction,origins,bootstrap_block_origins,independent_blocks,observed_addition_cosine,observed_full_cosine,deletion_attributed_fraction,projection_residual_cosine,positive_addition_fraction,n_origins_run,n_null,null_mean,null_sd,null_q95,excess,z,mde_excess,p
A+B,357,357,42,14,1.0,0.11764705882352941,446,32,13.9375,0.0977349507174272,0.1544852224612579,0.4507889744549406,0.0337761397505083,0.7062780269058296,446,99,0.05635691244159145,0.014030457239882336,0.07699096653365456,0.04137803827583575,2.949158218323522,0.020634054092063106,0.01
A,357,500,42,14,0.714,0.084,436,42,10.380952380952381,0.1274906850947631,0.1673077547740158,0.456477386494417,0.0716382873906205,0.7178899082568807,436,99,0.06823026759301679,0.01636868766721631,0.09229773993930439,0.05926041750174632,3.620352389057727,0.024067472346287602,0.01
A,357,750,42,14,0.476,0.056,418,60,6.966666666666667,0.1422816486956387,0.2110795308407631,0.47005670239921,0.1106566009239255,0.7511961722488039,418,99,0.08158088390208336,0.018509153716887237,0.10961729820691725,0.06070076479355534,3.27949973953556,0.02803641430483389,0.01
A,357,1008,42,14,0.3541666666666667,0.041666666666666664,400,78,5.128205128205129,0.1824399271979406,0.2446278206615103,0.4886703584114421,0.1504210893848702,0.7825,400,99,0.07867956077092002,0.02202983024785615,0.1142552212510183,0.10376036642702059,4.70999391550546,0.035575660480098276,0.01
B,357,500,56,14,0.714,0.112,434,44,9.863636363636363,0.134711796541947,0.1907511814642475,0.445133366634711,0.0759542893383322,0.7603686635944701,434,99,0.04599867781716857,0.01973655019951491,0.0770246002193414,0.08871311872477844,4.494864493945799,0.031025922402172834,0.01
B,357,750,84,14,0.476,0.112,412,66,6.242424242424242,0.1922888503729792,0.261858601176185,0.4631127374087025,0.1216659056526714,0.837378640776699,412,99,0.03755361586133642,0.026621342856303746,0.07664288502821896,0.15473523451164278,5.812450384147416,0.039089269166882545,0.01
B,357,1008,112,14,0.3541666666666667,0.1111111111111111,390,88,4.431818181818182,0.2480145793847302,0.3292083275255693,0.4737748748019587,0.1698750603755138,0.8461538461538461,390,99,0.0333132760650816,0.03575771512879446,0.09252503840312501,0.2147013033196486,6.0043350797533765,0.05921176233804341,0.01
