estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-03-12,2018-12-11,2020-05-13,334,flag_nested,0.059965550865345524
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,market_1,0.005192776575943081
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,block_2_3,0.08625156303385928
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,block_4_6,0.11371530598043063
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,top_3,0.05719954804756192
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,top_6,0.060667618770846886
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-02,2019-01-02,2020-06-03,335,flag_nested,0.04101998113145063
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,market_1,0.0036507938143983676
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,block_2_3,0.05241444655504135
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,block_4_6,0.06464770930254904
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,top_3,0.03470948805910975
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,top_6,0.03518849827413965
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-04-23,2019-01-23,2020-06-23,336,flag_nested,0.02451626004921592
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,market_1,0.002296107342328546
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,block_2_3,0.02689086762313464
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,block_4_6,0.05520410954882863
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,top_3,0.017933600189144805
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,top_6,0.031128654984479365
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-05-13,2019-02-12,2020-07-14,337,flag_nested,0.01711945417198424
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,market_1,0.002008465254734637
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,block_2_3,0.02124335957164003
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,block_4_6,0.06815982442626851
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,top_3,0.0144816176977877
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,top_6,0.03704323653561673
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-03,2019-03-05,2020-08-03,338,flag_nested,0.01784443982937969
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,market_1,0.0019021309677003106
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,block_2_3,0.01851856894138515
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,block_4_6,0.0665612923776755
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,top_3,0.012710455181764058
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,top_6,0.036669732989285254
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-06-23,2019-03-25,2020-08-21,339,flag_nested,0.017094106379583206
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,market_1,0.0016581229254902796
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,block_2_3,0.018196141910953867
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,block_4_6,0.0690691758616994
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,top_3,0.012616045028200537
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,top_6,0.03794925072507116
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-07-14,2019-04-12,2020-09-11,340,flag_nested,0.017407806226253993
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,market_1,0.0009596340973566653
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,block_2_3,0.011946038161642636
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,block_4_6,0.07767226447330788
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,top_3,0.00819005590487428
