component,combined_skill_percent,median_panel_skill_percent,worst_panel_skill_percent,best_panel_skill_percent,panels_improved,n_panels
block_2_3,-58.32573938796776,-57.17359239595092,-78.45526749355925,-40.50050526640993,0,4
block_4_6,-63.72849570664602,-66.46983523161938,-68.41539987112193,-53.55891249222339,0,4
flag_nested,-62.90526359128611,-64.89804057674127,-68.60064531382281,-53.22432789783908,0,4
market_1,-63.91687188540735,-63.56738829295545,-71.92662365154999,-56.60608730416855,0,4
top_3,-58.43480394802347,-57.42187478703319,-77.37473547774626,-41.520730740281245,0,4
top_6,-67.34438529587229,-66.29781013457958,-76.95777624152979,-59.82414467280022,0,4
