label,component,estimator,reference,n_examples,block_length_origins,model_mean_loss,model_median_loss,model_q25_loss,model_q75_loss,retained_mean_loss,skill_percent,origin_win_fraction,paired_improvement,improvement_ci_low,improvement_ci_high,skill_ci_low,skill_ci_high
sp500_full,block_2_3,3.1 Global Damping,1.6 Retained-Window Flag,118,32,0.03544792730014304,0.01569151262440799,0.01148297984942201,0.024673404545854594,0.02522975076347838,-40.50050526640993,0.05084745762711865,-0.010218176536664663,-0.015176473689231865,-0.005930589824576118,-60.153086059021824,-23.506335358496735
sp500_full,block_4_6,3.1 Global Damping,1.6 Retained-Window Flag,118,32,0.09251558980422432,0.0654370024738958,0.05340399977859518,0.09847961389355564,0.06024761982402652,-53.55891249222339,0.09322033898305085,-0.0322679699801978,-0.03830861424255606,-0.027302759190852805,-63.585274164272846,-45.31757315990194
sp500_full,flag_nested,3.1 Global Damping,1.6 Retained-Window Flag,118,32,0.02341236296755305,0.01747423943574459,0.013776481663084025,0.02326060748885964,0.015279794852918546,-53.22432789783908,0.025423728813559324,-0.008132568114634512,-0.009352024733864754,-0.007095221788831151,-61.20517208435199,-46.43532100482301
sp500_full,market_1,3.1 Global Damping,1.6 Retained-Window Flag,118,32,0.0034740344688523397,0.0029856561575249962,0.0023315675314932727,0.0038300904081686737,0.002118525770520937,-63.983583168690394,0.0423728813559322,-0.0013555086983314027,-0.0016019554399441297,-0.001090239660663493,-75.61651891306543,-51.4621854420684
sp500_full,top_3,3.1 Global Damping,1.6 Retained-Window Flag,118,32,0.024072857675874765,0.010952123598907553,0.007975846208056433,0.01699207323613187,0.017010128162815424,-41.520730740281245,0.05084745762711865,-0.007062729513059343,-0.010631032080739126,-0.004135086435694988,-62.49824797898252,-24.30955484941256
sp500_full,top_6,3.1 Global Damping,1.6 Retained-Window Flag,118,32,0.04269019675793205,0.03213897517073446,0.026785044191641183,0.045299133132087076,0.02671073062541927,-59.82414467280022,0.0847457627118644,-0.015979466132512783,-0.019188724651654835,-0.012676887887172809,-71.83901077342259,-47.459906900146144
nikkei_full,block_2_3,3.1 Global Damping,1.6 Retained-Window Flag,115,24,0.04343489047247054,0.0366934606627366,0.026507242743231352,0.05094797019844366,0.0264350589321942,-64.30790104868245,0.034782608695652174,-0.01699983154027634,-0.0227652015388551,-0.012615675062784298,-86.11746089633367,-47.72327194406278
nikkei_full,block_4_6,3.1 Global Damping,1.6 Retained-Window Flag,115,24,0.20695880665962457,0.18752169758189727,0.1208759078681659,0.2891858775645886,0.12528817466012665,-65.18622545268022,0.0782608695652174,-0.08167063199949792,-0.10203368532573377,-0.06466106651893108,-81.43919855367348,-51.60987195666254
nikkei_full,flag_nested,3.1 Global Damping,1.6 Retained-Window Flag,115,24,0.047289879562264193,0.04406811955579259,0.03263172360873511,0.06038570685465383,0.028524096154579952,-65.78923064200626,0.034782608695652174,-0.01876578340768424,-0.02218048154694146,-0.01583231011579247,-77.76050615851001,-55.50503696941986
nikkei_full,market_1,3.1 Global Damping,1.6 Retained-Window Flag,115,24,0.004536613072635878,0.0043575072584759456,0.003569745470652974,0.005232909685741138,0.0026386914232843883,-71.92662365154999,0.02608695652173913,-0.0018979216493514896,-0.00223470048997873,-0.0015276736458311871,-84.68972424207111,-57.895123027674316
nikkei_full,top_3,3.1 Global Damping,1.6 Retained-Window Flag,115,24,0.029884606770566324,0.025236356261663023,0.018325232357290742,0.03471703356527074,0.018174182244558582,-64.43439582825734,0.02608695652173913,-0.011710424526007736,-0.015976810802778987,-0.008665462743264464,-87.90937929304908,-47.6800695990541
nikkei_full,top_6,3.1 Global Damping,1.6 Retained-Window Flag,115,24,0.1074484188435904,0.094741124351859,0.06745264751334501,0.1472476405716847,0.06475941479589689,-65.91937895398995,0.06956521739130435,-0.042689004047693525,-0.05407191731755815,-0.03285559956747149,-83.49661201846455,-50.734861751025576
dax_full,block_2_3,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.10617049265026575,0.06430556671589283,0.04088047375067616,0.12541472942006704,0.0707617965118844,-50.039283743219386,0.2,-0.03540869613838135,-0.04762390351904582,-0.02233001962675667,-67.30171627432807,-31.556603601784413
dax_full,block_4_6,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.22019184961954508,0.1967344665219301,0.13028038599586061,0.28165452007257796,0.1307432988836202,-68.41539987112193,0.06666666666666667,-0.08944855073592489,-0.11425983615055317,-0.06853663056940683,-87.39249898555825,-52.42075972888981
dax_full,flag_nested,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.055923858458788035,0.052268308908129224,0.0342171524323996,0.06871674825107339,0.034098489352354704,-64.00685051147627,0.08333333333333333,-0.02182536910643333,-0.026732085778601623,-0.017540801531012434,-78.3966864407605,-51.44157956604942
dax_full,market_1,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.004956837732268374,0.004130529412269213,0.0029199867931870016,0.00602577470611626,0.0031651628730375875,-56.60608730416855,0.15,-0.0017916748592307862,-0.002101241924280034,-0.0015136124573282108,-66.3865339183473,-47.820997466572905
dax_full,top_3,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.07140787413618511,0.04402698965705606,0.027913873604698436,0.084631063436527,0.047475687088493194,-50.409353745809035,0.18333333333333332,-0.02393218704769191,-0.032689406991045805,-0.015183678889586608,-68.85504770076055,-31.982009783838848
dax_full,top_6,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.09140686350791062,0.07646095150199177,0.05372459630983384,0.12370004490651021,0.05165461809553333,-76.95777624152979,0.09166666666666666,-0.0397522454123773,-0.050990081924207134,-0.030388599339174115,-98.7135009495237,-58.83036301414814
cac40_full,block_2_3,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.03900994352248839,0.028275742437653295,0.020842149570029694,0.0393999939645015,0.02185978820933169,-78.45526749355925,0.09166666666666666,-0.0171501553131567,-0.02774518698794429,-0.010100960194139499,-126.92340256114738,-46.20795086124172
cac40_full,block_4_6,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.20322725940553965,0.1893420417303176,0.1209596984422652,0.2771217030508179,0.12114639993995256,-67.75344501055855,0.13333333333333333,-0.08208085946558706,-0.10212710899642433,-0.064989795056068,-84.3005727343484,-53.64566762882005
cac40_full,flag_nested,3.1 Global Damping,1.6 Retained-Window Flag,120,24,0.04364369801591079,0.04046275747864661,0.02810477677813049,0.056097903826451676,0.025885842806043304,-68.60064531382281,0.09166666666666666,-0.017757855209867477,-0.02178154583030503,-0.014540917879990019,-84.14462682752563,-56.173244923651076
