label,component,estimator,reference,n_examples,block_length_origins,model_mean_loss,model_median_loss,model_q25_loss,model_q75_loss,frozen_mean_loss,skill_percent,origin_win_fraction,paired_improvement,improvement_ci_low,improvement_ci_high,skill_ci_low,skill_ci_high
sp500_full,block_2_3,3.1 Global Damping,1.1 Frozen Flag,118,32,0.03544792730014304,0.01569151262440799,0.01148297984942201,0.024673404545854594,0.03828077821076803,7.400191540066798,0.8050847457627118,0.0028328509106249934,0.0013699249006274288,0.0048147488695622995,3.5786234362447775,12.577458177712687
sp500_full,block_4_6,3.1 Global Damping,1.1 Frozen Flag,118,32,0.09251558980422432,0.0654370024738958,0.05340399977859518,0.09847961389355564,0.09523372325422258,2.854171145595464,0.652542372881356,0.0027181334499982524,6.394036239485892e-06,0.005984034599574307,0.006714046265331106,6.283524779977538
sp500_full,flag_nested,3.1 Global Damping,1.1 Frozen Flag,118,32,0.02341236296755305,0.01747423943574459,0.013776481663084025,0.02326060748885964,0.024393609772681003,4.022556785453189,0.6949152542372882,0.000981246805127949,0.0002926005318225472,0.001753027704649582,1.199496649119302,7.186421857960688
sp500_full,market_1,3.1 Global Damping,1.1 Frozen Flag,118,32,0.0034740344688523397,0.0029856561575249962,0.0023315675314932727,0.0038300904081686737,0.0036701731970689446,5.344127311845779,0.7711864406779662,0.00019613872821660485,6.605721195857272e-05,0.00033458818422919936,1.79983909237109,9.116414029081966
sp500_full,top_3,3.1 Global Damping,1.1 Frozen Flag,118,32,0.024072857675874765,0.010952123598907553,0.007975846208056433,0.01699207323613187,0.025938052480752306,7.190959329971416,0.7796610169491526,0.001865194804877543,0.0008594342702842753,0.003138256828033175,3.3134109468011546,12.099045718108412
sp500_full,top_6,3.1 Global Damping,1.1 Frozen Flag,118,32,0.04269019675793205,0.03213897517073446,0.026785044191641183,0.045299133132087076,0.04357260364022176,2.0251415076678163,0.6440677966101694,0.0008824068822896982,-0.0003507121148745935,0.0022726337068765113,-0.8048913435846464,5.215739976526555
nikkei_full,block_2_3,3.1 Global Damping,1.1 Frozen Flag,115,24,0.04343489047247054,0.0366934606627366,0.026507242743231352,0.05094797019844366,0.04469537968553056,2.820177883997456,0.6956521739130435,0.0012604892130600323,0.00012884052368700673,0.002711430786017189,0.28826362947022205,6.066467731327883
nikkei_full,block_4_6,3.1 Global Damping,1.1 Frozen Flag,115,24,0.20695880665962457,0.18752169758189727,0.1208759078681659,0.2891858775645886,0.20836039945249463,0.672677148130354,0.5391304347826087,0.0014015927928700284,0.00022383640443362528,0.0027058771124458397,0.10742751742739824,1.298652296480536
nikkei_full,flag_nested,3.1 Global Damping,1.1 Frozen Flag,115,24,0.047289879562264193,0.04406811955579259,0.03263172360873511,0.06038570685465383,0.047805247170246964,1.0780565701238034,0.6260869565217392,0.0005153676079827558,0.00026694798903264367,0.0008138575379461387,0.5584072980147393,1.7024439494011598
nikkei_full,market_1,3.1 Global Damping,1.1 Frozen Flag,115,24,0.004536613072635878,0.0043575072584759456,0.003569745470652974,0.005232909685741138,0.004673386581592217,2.9266465884733224,0.8260869565217391,0.0001367735089563386,8.457134971621017e-05,0.00018417357501259715,1.8096373633913423,3.9409017806921818
