label,alpha,validation_mean_complete_flag_loss,n_validation_examples,selected
sp500_full,0.225,0.024397337345386863,54,True
sp500_full,0.2,0.024410410773536367,54,False
sp500_full,0.25,0.024413447142301595,54,False
sp500_full,0.17500000000000002,0.024452656855750793,54,False
sp500_full,0.275,0.024458723817716157,54,False
sp500_full,0.15000000000000002,0.024524037944318042,54,False
sp500_full,0.30000000000000004,0.024533124344649115,54,False
sp500_full,0.125,0.02462448923467122,54,False
sp500_full,0.325,0.024636579329529926,54,False
sp500_full,0.1,0.0247539187649527,54,False
sp500_full,0.35000000000000003,0.024768993401088544,54,False
sp500_full,0.07500000000000001,0.02491220749566469,54,False
sp500_full,0.375,0.024930245672398314,54,False
sp500_full,0.05,0.025099209469471886,54,False
sp500_full,0.4,0.025120190273875447,54,False
sp500_full,0.025,0.02531475205089884,54,False
sp500_full,0.42500000000000004,0.025338656954769244,54,False
sp500_full,0.0,0.02555863624535036,54,False
sp500_full,0.45,0.025585451750410784,54,False
sp500_full,0.47500000000000003,0.02586035771224094,54,False
sp500_full,0.5,0.02616313569740185,54,False
sp500_full,0.525,0.026493525214454677,54,False
sp500_full,0.55,0.026851245321580616,54,False
sp500_full,0.5750000000000001,0.027235995573433106,54,False
sp500_full,0.6000000000000001,0.02764745701263754,54,False
sp500_full,0.625,0.028085293201780506,54,False
sp500_full,0.65,0.02854915129159573,54,False
sp500_full,0.675,0.029038663120937228,54,False
sp500_full,0.7000000000000001,0.029553446344034576,54,False
sp500_full,0.7250000000000001,0.030093105580448296,54,False
sp500_full,0.75,0.030657233583086724,54,False
sp500_full,0.775,0.031245412419612296,54,False
sp500_full,0.8,0.031857214662545506,54,False
sp500_full,0.8250000000000001,0.03249220458338723,54,False
sp500_full,0.8500000000000001,0.03314993934609811,54,False
sp500_full,0.875,0.03382997019532646,54,False
sp500_full,0.9,0.03453184363483853,54,False
sp500_full,0.925,0.03525510259169154,54,False
sp500_full,0.9500000000000001,0.03599928756179562,54,False
sp500_full,0.9750000000000001,0.03676393773263364,54,False
sp500_full,1.0,0.03754859207904802,54,False
nikkei_full,0.1,0.07014450208587542,54,True
nikkei_full,0.07500000000000001,0.0701773988677631,54,False
nikkei_full,0.125,0.0701834114044134,54,False
nikkei_full,0.05,0.07028224932322223,54,False
nikkei_full,0.15000000000000002,0.07029382735718052,54,False
nikkei_full,0.025,0.07045904825747616,54,False
nikkei_full,0.17500000000000002,0.07047530013282362,54,False
nikkei_full,0.0,0.0707076375095286,54,False
nikkei_full,0.2,0.07072723178849093,54,False
nikkei_full,0.225,0.07104887911832197,54,False
nikkei_full,0.25,0.07143935716221546,54,False
nikkei_full,0.275,0.07189764333677616,54,False
nikkei_full,0.30000000000000004,0.0724225821668984,54,False
nikkei_full,0.325,0.07301289059311995,54,False
nikkei_full,0.35000000000000003,0.07366716382670059,54,False
nikkei_full,0.375,0.07438388172136019,54,False
nikkei_full,0.4,0.07516141562777759,54,False
nikkei_full,0.42500000000000004,0.07599803569431265,54,False
nikkei_full,0.45,0.07689191857499768,54,False
nikkei_full,0.47500000000000003,0.07784115550365502,54,False
nikkei_full,0.5,0.0788437606910521,54,False
nikkei_full,0.525,0.07989768000032525,54,False
nikkei_full,0.55,0.08100079985447843,54,False
nikkei_full,0.5750000000000001,0.08215095632862439,54,False
nikkei_full,0.6000000000000001,0.08334594437877295,54,False
nikkei_full,0.625,0.08458352715839543,54,False
nikkei_full,0.65,0.085861445373712,54,False
nikkei_full,0.675,0.08717742662865115,54,False
nikkei_full,0.7000000000000001,0.08852919471072632,54,False
nikkei_full,0.7250000000000001,0.08991447876965386,54,False
nikkei_full,0.75,0.09133102234139875,54,False
nikkei_full,0.775,0.09277659217147077,54,False
nikkei_full,0.8,0.09424898679269351,54,False
nikkei_full,0.8250000000000001,0.09574604481433042,54,False
nikkei_full,0.8500000000000001,0.097265652881351,54,False
nikkei_full,0.875,0.0988057532647545,54,False
