date,start,past_start,future_start,component,cosine,positive_cosine,incoming_speed,outgoing_speed,erse_outgoing_cosine,outgoing_erse_attributed_fraction,outgoing_residual_energy_fraction,residual_cosine,positive_correlation_fraction,all_correlations_positive,erse_rotations
2001-02-14,42,0,84,market_1,0.013857048155651043,True,0.07707457076532442,0.11770290197824727,0.10435128309802903,0.010889190284205097,0.9891108097157949,0.008697862083063664,0.8916256157635468,False,26
2001-02-14,42,0,84,block_2_3,-0.1232470055969126,False,0.6797842317276441,0.5657680756439397,0.032186933169331175,0.0010359986668468935,0.9989640013331531,-0.12356528879400001,0.8916256157635468,False,26
2001-02-14,42,0,84,block_4_6,-0.46840632145806066,False,0.9667331774336732,0.820752392773882,0.04533108058798731,0.0020549068672744975,0.9979450931327255,-0.4685371035049519,0.8916256157635468,False,26
2001-02-14,42,0,84,top_3,-0.12577578529430172,False,0.6837379324719113,0.5664124663003792,0.01505987231104995,0.00022679975402506436,0.9997732002459749,-0.1259066346006859,0.8916256157635468,False,26
2001-02-14,42,0,84,top_6,-0.34904808644041435,False,0.9768767077032233,0.9427939729721551,0.0014467901746075189,2.0932018094388383e-06,0.9999979067981906,-0.34906313423317814,0.8916256157635468,False,26
2001-02-14,42,0,84,flag_nested,-0.23725183568727967,False,0.5664106518841505,0.5185927236663633,0.024322616268602146,0.0005915896621497829,0.9994084103378502,-0.23756070403667712,0.8916256157635468,False,26
2001-03-06,56,14,98,market_1,-0.11166248727262683,False,0.10082574626273702,0.09333395376076759,-0.027120204510296935,0.0007355054926804216,0.9992644945073196,-0.1106070221637949,0.8990147783251231,False,25
2001-03-06,56,14,98,block_2_3,-0.12320708691922992,False,0.780227669663518,0.6598447232128203,-0.027521631572954838,0.0007574402044377981,0.9992425597955622,-0.12380962670538562,0.8990147783251231,False,25
2001-03-06,56,14,98,block_4_6,-0.08557974568013677,False,0.9023981533555531,0.787041162606892,0.023484852338307386,0.0005515382893522824,0.9994484617106477,-0.08671592699060418,0.8990147783251231,False,25
2001-03-06,56,14,98,top_3,-0.12660426186363577,False,0.7819999990506825,0.664378474417756,-0.025321541782815572,0.0006411804782587849,0.9993588195217412,-0.12600779976857565,0.8990147783251231,False,25
2001-03-06,56,14,98,top_6,-0.18395176488952525,False,0.8280960322437521,0.9039550323552346,-0.021759813234315774,0.0004734894719922167,0.9995265105280078,-0.1835140064219662,0.8990147783251231,False,25
2001-03-06,56,14,98,flag_nested,-0.1483235369177767,False,0.5729726611140952,0.5404010203246267,-0.016871367483810046,0.000284643040773469,0.9997153569592265,-0.14802470017879926,0.8990147783251231,False,25
2001-03-28,70,28,112,market_1,-0.10893962275150966,False,0.12403527917667459,0.08294368248974572,-0.026298853294165838,0.0006916296845875802,0.9993083703154124,-0.10780084585791888,0.9261083743842364,False,26
2001-03-28,70,28,112,block_2_3,-0.1030865613777479,False,0.5868332757476625,0.6057101910956239,0.017240335929848107,0.00029722918297381273,0.9997027708170262,-0.101713926526685,0.9261083743842364,False,26
