date,start,past_start,future_start,component,cosine,positive_cosine,incoming_speed,outgoing_speed,erse_outgoing_cosine,outgoing_erse_attributed_fraction,outgoing_residual_energy_fraction,residual_cosine,positive_correlation_fraction,all_correlations_positive,erse_rotations
2001-02-15,42,0,84,market_1,0.15924463811813763,True,0.12594576870566318,0.11734103306654058,-0.12029429277528576,0.014470716874306233,0.9855292831256938,0.19628907682493216,0.9038167938931297,False,128
2001-02-15,42,0,84,block_2_3,0.14496864776326562,True,0.3219467645536702,0.5695923586482633,0.05270213740488666,0.0027775152870435083,0.9972224847129565,0.1362511895845893,0.9038167938931297,False,128
2001-02-15,42,0,84,block_4_6,0.45972051220423193,True,1.0761821205601763,1.476633199357835,-0.04378959242393029,0.0019175284046539787,0.998082471595346,0.459481330816984,0.9038167938931297,False,128
2001-02-15,42,0,84,top_3,0.12614348628791297,True,0.31969563344236285,0.5783307110017365,-0.030509996980495342,0.0009308599157497044,0.9990691400842503,0.12903628342676876,0.9038167938931297,False,128
2001-02-15,42,0,84,top_6,0.46566680494506796,True,1.1125694764959755,1.5305805994458548,-0.008488901341573884,7.206144598681519e-05,0.9999279385540132,0.46603869490522093,0.9038167938931297,False,128
2001-02-15,42,0,84,flag_nested,0.39143223842100855,True,0.5061942077970862,0.7181252562775658,-0.025198821394974598,0.0006349805996956892,0.9993650194003043,0.3943483561521834,0.9038167938931297,False,128
2001-03-07,56,14,98,market_1,0.0027263120145639645,True,0.1262934411166353,0.10741828568638398,-0.21000615470999573,0.04410258501607878,0.9558974149839212,0.0034064502320138752,0.9142689371697005,False,126
2001-03-07,56,14,98,block_2_3,0.041730499976090275,True,0.4326343779786637,0.5395508737667343,,0.0,1.0,0.041730499976090275,0.9142689371697005,False,126
2001-03-07,56,14,98,block_4_6,-0.2958475930593452,False,1.4724567509479287,0.891857267572563,-0.008996278959810781,8.093303512279881e-05,0.9999190669648772,-0.2960201361646716,0.9142689371697005,False,126
2001-03-07,56,14,98,top_3,0.045988921560611844,True,0.4288556852008204,0.5497728748111139,-0.04016152920115597,0.0016129484277752626,0.9983870515722247,0.046127099901349375,0.9142689371697005,False,126
2001-03-07,56,14,98,top_6,-0.2780277996246866,False,1.4874364866477017,0.992184864402107,-0.017519334033893247,0.000306927064991136,0.9996930729350089,-0.2780141267381954,0.9142689371697005,False,126
2001-03-07,56,14,98,flag_nested,-0.1843878656367087,False,0.6678325512286587,0.5257000668162393,-0.05097681639349219,0.0025986358096158346,0.9974013641903842,-0.18453239961064838,0.9142689371697005,False,126
2001-03-27,70,28,112,market_1,0.12223296192020502,True,0.11161422195589689,0.09114872981790596,-0.06762441874389763,0.004573062010450046,0.99542693798955,0.13283259177464435,0.9308279506752789,False,125
2001-03-27,70,28,112,block_2_3,0.05406570670867071,True,0.4407877757455165,0.5052066800003951,,0.0,1.0,0.05406570670867071,0.9308279506752789,False,125
2001-03-27,70,28,112,block_4_6,-0.23651804222574072,False,1.104706304622877,0.934750638485723,-0.00489971670577273,2.4007223796806976e-05,0.9999759927762032,-0.23652999739621294,0.9308279506752789,False,125
2001-03-27,70,28,112,top_3,0.05794839025787462,True,0.4499731817415733,0.5114416191370825,-0.010532532109884696,0.00011093423264574298,0.9998890657673543,0.058267260617748715,0.9308279506752789,False,125
2001-03-27,70,28,112,top_6,-0.19338857649539654,False,1.1381447633697344,0.9886924557679637,-0.006723485529802611,4.520525766948946e-05,0.9999547947423305,-0.1933568241938674,0.9308279506752789,False,125
2001-03-27,70,28,112,flag_nested,-0.11059851470734793,False,0.5439166048541112,0.5083480397896888,-0.014563151421156903,0.00021208537931560745,0.9997879146206844,-0.11021763235903008,0.9308279506752789,False,125
2001-04-16,84,42,126,market_1,0.06033708630234471,True,0.11734103306654063,0.08165086243638146,-0.10893183234505543,0.011866144098051201,0.9881338559019488,0.08970788193951443,0.9382266588373459,False,124
2001-04-16,84,42,126,block_2_3,0.3385984069360817,True,0.5695923586482639,0.30904664867788006,,0.0,1.0,0.3385984069360817,0.9382266588373459,False,124
2001-04-16,84,42,126,block_4_6,0.3263988315706935,True,1.476633199357837,1.3277944131978174,0.021370366647812666,0.0004566925706619429,0.9995433074293381,0.3260937873568001,0.9382266588373459,False,124
2001-04-16,84,42,126,top_3,0.3218152841812866,True,0.5783307110017373,0.3180502546298222,-0.029307658025440553,0.0008589388189360614,0.9991410611810639,0.32383947074559233,0.9382266588373459,False,124
2001-04-16,84,42,126,top_6,0.32914865641939806,True,1.5305805994458563,1.3541677834652506,-0.008640120012316604,7.465167382725291e-05,0.9999253483261727,0.32931787465992074,0.9382266588373459,False,124
2001-04-16,84,42,126,flag_nested,0.317246017113123,True,0.7181252562775666,0.588229475450838,-0.019362004095270197,0.0003748872025851613,0.9996251127974148,0.31857760658080964,0.9382266588373459,False,124
2001-05-04,98,56,140,market_1,0.0453424822466812,True,0.10741828568638404,0.08443564428218625,0.04137208602663351,0.001711649502195045,0.998288350497805,0.03960790049025235,0.9438637698179683,False,124
2001-05-04,98,56,140,block_2_3,0.29512159254511344,True,0.5395508737667339,0.6859685699239472,,0.0,1.0,0.29512159254511344,0.9438637698179683,False,124
2001-05-04,98,56,140,block_4_6,0.12658499462387804,True,0.8918572675725632,1.723726773634105,0.015949805201240553,0.00025439628595747,0.9997456037140425,0.1258646794468564,0.9438637698179683,False,124
2001-05-04,98,56,140,top_3,0.2889496861268594,True,0.5497728748111134,0.6902688514012442,0.005472864785546051,2.995224896074067e-05,0.9999700477510393,0.28892685090849873,0.9438637698179683,False,124
2001-05-04,98,56,140,top_6,0.08189941075454221,True,0.9921848644021073,1.6602018852484857,0.0022893394178657616,5.2410749702413995e-06,0.9999947589250298,0.0818770179678926,0.9438637698179683,False,124
2001-05-04,98,56,140,flag_nested,0.14300028939855813,True,0.5257000668162392,0.7907790191075612,0.00556088794075863,3.0923474689692476e-05,0.9999690765253103,0.14289447618399692,0.9438637698179683,False,124
2001-05-24,112,70,154,market_1,0.18565780640911722,True,0.09114872981790594,0.07847377070332894,-0.11079932803346361,0.012276491092667041,0.987723508907333,0.17572648877004157,0.9500880798590722,False,125
2001-05-24,112,70,154,block_2_3,0.12788659090035207,True,0.5052066800003954,0.6974546764646413,,0.0,1.0,0.12788659090035207,0.9500880798590722,False,125
2001-05-24,112,70,154,block_4_6,0.09751654306791327,True,0.9347506384857233,0.9209778732279196,0.002290302183568071,5.245484092086805e-06,0.9999947545159079,0.09765754311808564,0.9500880798590722,False,125
2001-05-24,112,70,154,top_3,0.12476084984649906,True,0.511441619137083,0.7011640060972588,-0.012582647482224558,0.00015832301766194323,0.9998416769823381,0.1245805248045515,0.9500880798590722,False,125
