leading_share,spike_ratio,leading_participation,participation_fraction,effective_rank,component,replicate
0.04103931576519537,5.376150365240594,48.701595536875956,0.3717679048616485,60.765661405789274,market_1,0
0.046760939872662846,6.125683123318833,41.57333141760243,0.31735367494353,69.49295014335391,block_2_3,0
0.023297348832973745,3.0519526971195607,3.9966088053589077,0.030508464163045097,99.03890209644867,block_4_6,0
0.057412431185933234,7.521028485357253,27.741305296291284,0.2117656892846663,65.87809300481986,top_3,0
0.01893912988430387,2.4810260148438066,5.744874555224501,0.04385400423835497,104.74973807229267,top_6,0
0.01981035046366519,2.59515591074014,7.640734235120109,0.05832621553526801,107.70514829936978,flag_nested,0
0.04579585512711724,5.999257021652358,57.19470086529093,0.43660076996405295,59.07694916257278,market_1,1
0.053207434886854636,6.9701739701779575,14.955139956427079,0.11416137371318381,67.72508738777837,block_2_3,1
0.020095719301931565,2.632539228553035,8.164873129517533,0.062327275797843765,99.94685474410623,block_4_6,1
0.06284278946399152,8.23240541978289,13.282219910726544,0.10139099168493546,65.61711502712966,top_3,1
0.020158905633052563,2.640816637929886,10.125880624502184,0.07729679866032202,104.37592650377893,top_6,1
0.022072110908535166,2.891446529018107,14.790878407311723,0.11290746875810476,106.83288456621025,flag_nested,1
0.03705571840643979,4.854299111243613,42.4783951796969,0.3242625586236405,60.87519677756938,market_1,2
0.05528464531736024,7.242288536574192,26.631492070889507,0.20329383260220998,67.02436146522567,block_2_3,2
0.022852177086390955,2.993635198317215,1.8637074656511918,0.014226774546955662,99.49101826143871,block_4_6,2
0.05311289063306469,6.957788672931474,22.596734797185654,0.17249415875714239,68.25830523268819,top_3,2
0.01846425826917292,2.418817833261653,4.207447421620776,0.032117919249013555,104.8953297946519,top_6,2
0.019487288418002548,2.5528347827583335,11.0319245802998,0.08421316473511298,108.52767113897116,flag_nested,2
0.041517648859110814,5.438812000543517,39.217945346013074,0.29937362859551964,60.94630584618209,market_1,3
0.05373342854293609,7.039079139124628,33.81889642894194,0.25815951472474763,66.29074220940115,block_2_3,3
0.0203383481949912,2.6643236135438473,9.941645144581598,0.07589042095100457,100.2872732771141,block_4_6,3
0.0496428964140351,6.503219430238597,38.65325214209552,0.2950629934511108,70.36882573407254,top_3,3
0.01901091100871846,2.490429342142118,14.039443250288123,0.10717132252128338,103.68353413014928,top_6,3
0.02244064627550436,2.9397246620910713,5.041822326116735,0.03848719332913538,106.71712905209519,flag_nested,3
0.04742451802549798,6.2126118613402355,32.943617872180276,0.2514779990242769,58.64573963104647,market_1,4
0.055531849563609036,7.274672292832784,25.968940963332102,0.19823619055978703,67.51202712847626,block_2_3,4
0.019559591576967808,2.562306496582783,13.49046001455487,0.10298061079812877,100.62878866767966,block_4_6,4
0.04715384310441754,6.177153446678697,20.315308484147597,0.15507869071868394,70.23768990181686,top_3,4
0.01801519086691974,2.359990003566486,13.396386477715868,0.10226249219630434,105.13889953995543,top_6,4
0.020272399564681125,2.6556843429732275,14.358362954414742,0.10960582407950185,107.30638692494058,flag_nested,4
0.04176205323055011,5.470828973202064,30.596925610884906,0.2335643176403428,60.29596707922037,market_1,5
0.051557007340053834,6.753967961547052,35.89529097917401,0.274009854802855,67.4916563831614,block_2_3,5
0.019181388553848266,2.512761900554123,19.423095880123963,0.1482679074818623,100.89038446816205,block_4_6,5
