leading_share,spike_ratio,leading_participation,participation_fraction,effective_rank,replicate
0.05261871609035732,18.784881644257563,32.19368725091011,0.09017839566081264,64.8253890977841,0
0.06309706556957556,22.525652408338477,16.87479073170013,0.04726832137731129,64.67896913123323,1
0.06012984100220805,21.466353237788272,41.143891503731744,0.11524899580877239,64.5099148579141,2
0.061024062055927815,21.78559015396623,46.80781742834467,0.13111433453317833,62.4378004644508,3
0.06527750943493739,23.30407086827265,39.540427250338894,0.11075749930066917,62.98509135032677,4
0.059422621984892184,21.213876048606508,26.949855536649245,0.07548979141918556,63.30316154555519,5
0.05592280482034305,19.96444132086247,52.85418435229478,0.1480509365610498,63.79787926428043,6
0.06900324453655007,24.634158299548375,7.420563097341923,0.020785891028968974,60.4720228597714,7
0.0640702460462379,22.87307783850693,62.804885276970445,0.1759240483948752,63.90280131713035,8
0.06180502410538855,22.064393605623714,46.355221019632864,0.1298465574779632,62.13826355840628,9
0.05681020194156819,20.281242093139845,48.155240774904534,0.13488862962158132,64.65249834232121,10
0.06111760155650336,21.8189837556717,43.736613538043265,0.12251152251552735,64.17515547115666,11
0.05874802609277339,20.9730453151201,74.41249353582678,0.20843835724321227,65.52773639729074,12
0.05613390283454247,20.03980331193166,15.965550992333322,0.04472143135107373,67.27554459932692,13
0.06048170680798971,21.59196933045233,31.33892482603683,0.0877841031541648,66.18772100952512,14
0.05747280198181679,20.517790307508594,37.527595520844514,0.10511931518443841,65.88157397749546,15
0.062282760093575085,22.234945353406307,24.557401024633194,0.06878823816423864,63.83203421545655,16
0.05624711754871878,20.080220964892604,53.35447850391836,0.14945232073926712,67.23630099314691,17
0.05804005156742577,20.720298409571,25.801446327055523,0.07227295889931519,63.44759560503755,18
0.060757328957864086,21.69036643795748,51.04883377029191,0.1429939321296692,62.951263445120375,19
0.056047924225521295,20.009108948511102,65.51824927092908,0.1835245077617061,65.97611379187983,20
0.05790012625874561,20.670345074372182,7.291814780129118,0.02042525148495551,64.00742907873402,21
0.05722198165708668,20.428247451579946,40.02502607914989,0.11211491898921537,66.30079482147517,22
0.06025283927149411,21.510263619923396,43.82739160001077,0.12276580280115061,63.23463591305381,23
0.05972890898484321,21.323220507589028,52.41958697169927,0.14683357695153856,61.08161160785898,24
0.06255294331832442,22.33140076464182,52.19942068289723,0.14621686465797543,64.48557153652523,25
0.05745746937554821,20.51231656707071,44.480171744111,0.12459431861095517,63.72483377481551,26
0.06094962249253589,21.759015229835313,55.557460622640086,0.15562313899899183,63.61826420319747,27
0.054851437714472116,19.581963264066545,47.511063402557006,0.13308421121164427,64.58720745976274,28
0.05884458276391838,21.007516046718862,78.51939058279329,0.21994227054003723,65.79054986209545,29
0.052142117360490146,18.61473589769498,37.45083434997247,0.10490429789908254,67.64578040508067,30
0.062456108649376375,22.296830787827368,40.9523014259422,0.11471232892420785,61.01157840166993,31
0.05825232417988673,20.796079732219564,28.977815327563047,0.08117035105759957,65.0241821278508,32
0.0643446470419104,22.97103899396201,39.65652902785223,0.11108271436373174,62.4286366100718,33
0.061108557000674135,21.815754849240665,34.42169707930026,0.09641931954986067,62.520188553771646,34
0.058439422759990124,20.862873925316475,43.52832159095534,0.12192807168334831,61.43301459874423,35
0.06267646143727168,22.37549673310599,63.54467393851482,0.17799628554205832,64.12962694138548,36
0.06326622959916321,22.58604396690127,38.59126268365246,0.10809877502423658,62.882172640972136,37
0.053945950579473205,19.258704356871934,43.35918895020281,0.12145431078488181,65.38947648348433,38
