date,start,past_start,future_start,original_cosine,residual_cosine,erse_outgoing_cosine,erse_incoming_cosine,incoming_erse_attributed_fraction,outgoing_erse_attributed_fraction,incoming_residual_energy_fraction,outgoing_residual_energy_fraction,incoming_speed,outgoing_speed,erse_speed,static_loss,erse_loss,erse_skill,top_cross_covariance_energy,covariance_transition_energy,top_cross_covariance_share,positive_correlation_fraction,all_correlations_positive,minimum_correlation,erse_rotations,minimum_deviation_before,minimum_deviation_after
2001-08-06,42,0,84,0.47029481567963183,0.47039996937260065,-0.006590616783477271,0.010483077859008904,0.00010989492139823476,4.343622958657978e-05,0.9998901050786018,0.9999565637704134,0.2916968032073234,0.2941021647964005,0.2597890528902379,0.02827531428890584,0.05046187055564418,-0.78466170313953,31.244027558740527,98.84128154457451,0.3161030196138279,0.8689610675730967,False,-0.21468634973798678,308,6.504364441837799e-09,0.14999999999999464
2001-08-24,56,14,98,0.2156101045045133,0.21567832337821277,-0.029030341000445038,-0.0007836312857241773,6.140779919006079e-07,0.0008427606986021186,0.9999993859220081,0.9991572393013979,0.22315844348763275,0.3109296934228258,0.2614556481512552,0.0315758335910048,0.055208634058551066,-0.7484458137719185,34.2163704602508,117.13219433863878,0.2921175570341359,0.8633902999402008,False,-0.21020376250807812,309,5.36134214219979e-07,0.14999999999999486
2001-09-20,70,28,112,0.24374935143633036,0.24349751069863626,0.017881141268136537,0.018622405271572356,0.00034679397809878054,0.0003197352130509534,0.9996532060219012,0.999680264786949,0.24860029592563784,0.3104572444621235,0.26382054146363865,0.03142906564439022,0.0530545671822941,-0.6880733198558775,31.251532768064862,97.98001274527928,0.3189582435482034,0.8798193434677242,False,-0.20151229092596956,305,1.4082948521818022e-06,0.14999999999999442
2001-10-10,84,42,126,0.01206307743629778,0.012083381460821515,-0.010172580136114726,0.00193227763809077,3.7336968706780382e-06,0.00010348138662563677,0.9999962663031293,0.9998965186133744,0.2941021647964009,0.3157767582708291,0.2639216967636016,0.03248783591829518,0.05558147991306761,-0.7108397140656415,35.88406248417505,112.2832059980259,0.3195853036544569,0.88539011110062,False,-0.2294064199508806,307,2.472646609404793e-09,0.14999999999999503
2001-10-30,98,56,140,0.33709453062165345,0.337422030664536,-0.028736673391225157,0.006313473231093626,3.985994423971739e-05,0.0008257963975939475,0.9999601400557603,0.999174203602406,0.3109296934228255,0.25194495920741555,0.25517573942751237,0.020877334194827697,0.043199576001021534,-1.0692093922472203,29.83923315399261,108.28315626361723,0.2755667103140998,0.8891196928209486,False,-0.22906429651672097,303,3.912769907258455e-07,0.14999999999999417
2001-11-19,112,70,154,0.06792429717377561,0.06807224047016537,-0.03002947556209852,0.003887166917916316,1.5110066647672227e-05,0.0009017694025347245,0.9999848899333523,0.9990982305974653,0.3104572444621241,0.24816606131794955,0.2624481050288578,0.02030098468120863,0.04388157298718701,-1.1615489926360807,30.65160886126978,112.99774353705246,0.2712585924445383,0.8900324174613665,False,-0.23278276757622826,309,6.960638501498998e-09,0.14999999999999442
2001-12-10,126,84,168,0.07436660776562105,0.07485738642210321,-0.015577485865871333,0.02891368697450091,0.0008360012944592654,0.00024265806590151318,0.9991639987055407,0.9997573419340985,0.315776758270829,0.2001445363086566,0.26133806603560733,0.013270408766902442,0.03593571238153285,-1.7079582108397182,31.658043773486497,115.9658095740162,0.2729946342786532,0.8958234979385012,False,-0.23641436870534518,313,1.970435122592213e-06,0.1499999999999945
2001-12-31,140,98,182,0.01527425847701052,0.015264857577845256,-0.0035501381415847214,-0.002690698705613196,7.239859524554859e-06,1.2603480824435742e-05,0.9999927601404754,0.9999873965191756,0.2519449592074155,0.24546932800845767,0.2637934635514722,0.019865415122177026,0.0425571578067833,-1.1422737730395593,38.12159472653184,129.51410492229368,0.2943431894881578,0.8999779687155761,False,-0.23356679967552052,311,7.25137175777803e-10,0.14999999999999455
2002-01-22,154,112,196,0.18568114990327203,0.18568155286907742,-0.0001628041985259321,0.0013776820915462553,1.8980079453667642e-06,2.650520714020388e-08,0.9999981019920546,0.9999999734947929,0.24816606131794927,0.23608553795202508,0.2626223264239333,0.018389660853046053,0.040765721042629544,-1.2167739453377213,32.4957952210425,120.17988485411183,0.27039296351872555,0.8989393510213074,False,-0.2384657581909151,301,4.763342736421186e-08,0.1499999999999943
2002-02-11,168,126,210,0.031365094228530774,0.031384016991459394,-0.010440810758669383,0.0016444784596806655,2.7043094044110205e-06,0.00010901052929845889,0.9999972956905956,0.9998909894707015,0.2001445363086566,0.2911165473515997,0.2639677522648202,0.027734837786028255,0.050831103263075494,-0.8327528596068534,36.10001293642745,110.32092562829291,0.327227248419399,0.9113398168256066,False,-0.2210918915892452,306,2.8308944665083402e-08,0.14999999999999472
2002-03-04,182,140,224,-0.09687933518950963,-0.09678746602503613,-0.0043800152554222364,0.03385004816426039,0.0011458257607228628,1.9184533637806034e-05,0.9988541742392771,0.9999808154663622,0.24546932800845808,0.28132681468868787,0.2628994513697015,0.025900843382062,0.04853896402394412,-0.8740302509825018,30.607319046830526,99.34258236136858,0.30809868557164477,0.9180121486796966,False,-0.22783043566415678,306,1.2952909482757315e-07,0.1499999999999944
