mode,n_triples,mean_cosine,median_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,static_loss,constant_velocity_loss,constant_velocity_skill,replicate
standardised,176,0.002930355712346465,0.001003874609274374,0.5,0.3383614482671299,0.3386537983422126,0.03834955170250823,0.0739987403811073,-0.9295855387083303,0
standardised,176,0.017739330416636185,0.03491233460439751,0.5625,0.3322756926118808,0.3312794896719841,0.0367712314872577,0.07018986895994916,-0.9088256259318372,1
standardised,176,0.010612206010671144,0.010014641312942845,0.5227272727272727,0.3742277252804938,0.37630724754496825,0.04919395953125139,0.08610045773849578,-0.7502241852233675,2
standardised,176,0.03789558989458423,0.03782931568155106,0.5965909090909091,0.35218315961349306,0.3534904786555393,0.04332991274197936,0.07793350663771494,-0.7986075139775333,3
standardised,176,0.01985540733166911,0.011768671762749474,0.5170454545454546,0.38247903351289864,0.3843815957406541,0.05228163396923628,0.09451617155216124,-0.8078274219160162,4
standardised,176,0.008268575586522163,0.0016685847745124007,0.5056818181818182,0.3369220266228172,0.33872769477402276,0.0387946650473278,0.07372771450193599,-0.9004601383203437,5
standardised,176,-0.00036535080634283947,0.013850908183013436,0.5397727272727273,0.3669731553524929,0.36668899982836867,0.04663515986499822,0.08792112947148206,-0.8852970532533933,6
standardised,176,-0.02240840582543012,0.0010359076535948852,0.5,0.362858345465984,0.3636594513810621,0.04530977127402947,0.08830499831292349,-0.9489173268799505,7
standardised,176,-0.023547985064755073,-0.013317105157111566,0.4659090909090909,0.3687591723025631,0.3679950672716173,0.047289174493089225,0.08835192327648969,-0.8683329583053161,8
standardised,176,-0.007488681946640335,-0.007857718493902516,0.4659090909090909,0.3329919961055733,0.331211901195702,0.037106653426450364,0.0730824909882402,-0.9695252532837018,9
standardised,176,-0.006672527092370029,0.016012301625211146,0.5227272727272727,0.35070025521763615,0.35029242758787577,0.0411252872953407,0.08028573498538932,-0.9522230789251,10
standardised,176,0.03143508062961577,0.04060471720894479,0.5795454545454546,0.34767885668067,0.3503555658400844,0.04185385800395987,0.07826285464674256,-0.8699077786171581,11
standardised,176,0.031350886880242526,0.02913010424881634,0.5738636363636364,0.34131701195524916,0.3425178562801738,0.03917555302031301,0.07371205546797098,-0.8815830227016928,12
standardised,176,-0.04555634310438444,-0.03716593001828529,0.4034090909090909,0.3614477266320667,0.36198206363199187,0.04485877778794818,0.08985940888183074,-1.0031622195906658,13
standardised,176,0.045420353439687304,0.045649876381947105,0.5795454545454546,0.3813635732279199,0.3837486457299686,0.05101930428062744,0.08805126201549353,-0.7258420759948996,14
standardised,176,0.0008770705172623794,0.0017915177387874493,0.5113636363636364,0.34898886269283325,0.34230359795885473,0.039998323037667934,0.07863414040221187,-0.9659359300678461,15
standardised,176,0.030540558650933847,0.026382461578582723,0.5852272727272727,0.34376185226117556,0.34545278778326066,0.040405488183934794,0.07494702002754004,-0.8548722808734421,16
standardised,176,-0.011200664521448878,-0.0038984601012169015,0.4715909090909091,0.37322627198189634,0.3739915070061626,0.04867405263133662,0.08942727136976979,-0.837267836461105,17
standardised,176,0.03484084179442628,0.04603743857879267,0.6193181818181818,0.3330081006979441,0.335610619239174,0.037951624950532246,0.07003429781620601,-0.84535702772916,18
standardised,176,0.03452927378619411,0.0009682038849946617,0.5113636363636364,0.3632542862257822,0.3624681067313636,0.045178353673852985,0.08058388570342878,-0.7836835375890818,19
standardised,176,-0.0056969192622207815,0.0011922185117810365,0.5,0.33702054701067397,0.3372007408963044,0.03815194810551264,0.07457438743396795,-0.9546678777116646,20
standardised,176,-0.002641599148741587,-0.015108559562229697,0.48863636363636365,0.3405590622395641,0.3384834159378002,0.03871762901164263,0.0754603630383033,-0.948992357347396,21
standardised,176,0.04114132682564213,0.05062985943709512,0.5852272727272727,0.38100922722017944,0.3745594907844458,0.048787266372494906,0.0858761747965156,-0.7602169824569334,22
standardised,176,0.05317055975942504,0.03477208640307284,0.5965909090909091,0.3551546431067036,0.33928669712887877,0.038833007892744915,0.0729653548424586,-0.8789519226526501,23
standardised,176,-0.027858499792311586,0.00010967106051324935,0.5,0.3612583785504875,0.3574444725646057,0.04403840961464566,0.08736607930017887,-0.9838609083449714,24
standardised,176,0.039157587263972504,0.03128161124267666,0.5625,0.352543710619855,0.3524728543713027,0.042595442055154885,0.078069010537352,-0.8328019799926956,25
standardised,176,-0.014370351783429623,-0.007018164816935432,0.4772727272727273,0.36020472531383496,0.36187340249679206,0.0443111127117765,0.08599455922748442,-0.9406996115588353,26
standardised,176,0.027192196242191803,0.01147834869569114,0.5284090909090909,0.3532760132881648,0.3479974606003093,0.04096197441645944,0.07793046897123153,-0.9025076325402253,27
standardised,176,0.03292282460027278,0.04138857425662737,0.5738636363636364,0.3576137824000154,0.35415117372768745,0.043060759569824185,0.08075650866565436,-0.8754083641907313,28
standardised,176,-0.02758474171882911,-0.01510602133830052,0.48863636363636365,0.36053298088894575,0.3585459140872676,0.04330739080378579,0.08611192581796821,-0.9883886842344838,29
