n_triples,mean_original_cosine,median_original_cosine,q25_original_cosine,q75_original_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_erse_skill,median_erse_skill,q25_erse_skill,q75_erse_skill,mean_top_cross_covariance_share,median_top_cross_covariance_share,q25_top_cross_covariance_share,q75_top_cross_covariance_share,all_positive_window_fraction,mean_positive_correlation_fraction,mean_erse_rotations,replicate
446,0.05696063872434614,0.02858544870466651,-0.15648707070331158,0.24746253357103584,0.05727490356749342,0.02861233900370814,-0.15647574244935786,0.2480001658349098,-0.01586360542840157,-0.014150665496602483,-0.025638540760925366,-0.005997752347867272,0.0004212365184592073,0.00020670414841456042,4.3974692874759747e-05,0.0006597501897467883,0.9995787634815408,0.9997932958515854,0.9993402498102533,0.9999560253071252,-2.5694558271710055,-2.391797073351758,-3.529711208145751,-1.2288742357197733,0.40025717270143,0.41089658414337493,0.3650150634950932,0.4435107414892689,0.0,0.9917601443761864,347.0986547085202,0
446,0.052735183398407846,0.037245942627953964,-0.18263704547387194,0.30309735881189714,0.05303676185460095,0.03751789347501201,-0.18253147744709883,0.3034980294791504,-0.015851400410043612,-0.013794447766509387,-0.023161807177985695,-0.006294390910187984,0.00044791041464526136,0.0001934432773779693,5.115624872095714e-05,0.0005364693601487835,0.9995520895853548,0.999806556722622,0.9994635306398512,0.999948843751279,-2.3908586588390035,-2.15082212777774,-3.4222211029982237,-0.9971564642676485,0.389963401871425,0.3969970624907624,0.35424376171520805,0.43047757715447776,0.0,0.9913395599586134,346.82959641255604,1
446,0.022258557237358846,0.05127130740764676,-0.18367236100362833,0.24989176669391053,0.0225907376052747,0.05142889077507469,-0.18287651384126719,0.2508123432097893,-0.016094937108032562,-0.013360581112566114,-0.024605635892103923,-0.006110929366922764,0.00047051789774297625,0.00018500017228317844,4.3049617081764024e-05,0.0006054549362757289,0.999529482102257,0.9998149998277168,0.9993945450637243,0.9999569503829182,-2.2950954699965442,-1.9961330011954168,-3.364307972093785,-0.9645557992911272,0.39973093661590914,0.39943486974407044,0.36115530329711,0.4385788407019948,0.0,0.9908481254143214,346.7780269058296,2
446,0.06603541233970892,0.05219463632729031,-0.14963324037114542,0.3060539403668977,0.0663684695346278,0.052425722545788075,-0.14932151198488358,0.3068339180491688,-0.016709419654518446,-0.014632736529940413,-0.025645092741628694,-0.006207203969237172,0.00048260831775601354,0.00021505071555105726,4.501693630198922e-05,0.0006676958896227048,0.999517391682244,0.9997849492844489,0.9993323041103773,0.999954983063698,-2.3773568871157216,-2.303907609579455,-3.4504968286596265,-1.0366378165239984,0.40732027080998784,0.4084906323040739,0.369325096852894,0.449409198720517,0.0,0.9915798082219738,347.19282511210764,3
446,0.07259038179126873,0.04362792219101208,-0.1367320294902219,0.3176908769492012,0.07422209162733082,0.04430638318400462,-0.13667121779072777,0.31807255002589374,-0.01880557332440111,-0.013733988225335626,-0.024630149082054135,-0.006738980863988084,0.0024143178893621738,0.00018862258423429923,5.3447549416857365e-05,0.0006066447962498889,0.9975856821106378,0.9998113774157658,0.9993933552037502,0.9999465524505832,-2.3269685963861577,-2.2048759430029734,-3.432374816093983,-0.9538808946847945,0.40071227770102186,0.4093243536897308,0.3611558585945739,0.4438524835851376,0.0,0.9900908264751963,346.8789237668162,4
446,0.005493296716631807,0.029670943413410797,-0.2120667413790627,0.23988263656147124,0.005728659309053865,0.029794811218337554,-0.2113835365707361,0.24068985138362012,-0.015800414899267128,-0.014216125315295248,-0.023327085047721463,-0.007118641678876166,0.00041847563134082057,0.00021633608586762998,5.926216168225529e-05,0.0005454076972527255,0.9995815243686592,0.9997836639141324,0.9994545923027472,0.9999407378383177,-2.3969088005752104,-2.1273212799003285,-3.475445873630413,-1.114455300312184,0.39631432534955324,0.40113634915634844,0.35582166762413064,0.4445771755314106,0.0,0.9908010919387658,346.5291479820628,5
446,0.043101247072932204,0.027191296257842355,-0.17036063391386044,0.2842106420397932,0.04339369091225859,0.027340429964135753,-0.17014703157327088,0.2842357014997085,-0.015688343508766345,-0.012996980988909477,-0.024438732429014547,-0.006370894421356149,0.0004353236404753157,0.0001705376861544372,4.7049773004737006e-05,0.0005972521380510909,0.9995646763595247,0.9998294623138455,0.9994027478619489,0.9999529502269953,-2.493438125320802,-2.253899890924227,-3.60805669146213,-1.1706127619451066,0.3940510099622126,0.4010632104513474,0.3562681395809997,0.43305695958971935,0.0,0.9914461174201126,346.7085201793722,6
446,0.0019981494687605554,0.025183975210893432,-0.19768591356431217,0.24553647858814698,0.002278520193623991,0.025773938824790312,-0.1975747515867378,0.24591129457901914,-0.015463936869133625,-0.013419458569944745,-0.02287317582385199,-0.006170399869205044,0.00041824263699988924,0.00018079935917186818,4.7983052112260394e-05,0.0005231890067659561,0.9995817573629999,0.9998192006408282,0.999476810993234,0.9999520169478877,-2.3637402653295054,-2.1271094550305127,-3.443520567160585,-1.0630221503109878,0.4041856997828521,0.40954437577864733,0.3658427397925933,0.4468170203916958,0.0,0.9927398026273541,347.2309417040359,7
446,0.05556980006111682,0.054290309499979615,-0.1345172049409687,0.2669123158424696,0.055884412600469634,0.05443032213638385,-0.134329487375241,0.26717535966735223,-0.016513295464741794,-0.014032447357925977,-0.02414503040691044,-0.006460625584372972,0.0004942604855554237,0.00020614177791605792,5.236967881502852e-05,0.0005829896305031002,0.9995057395144444,0.999793858222084,0.9994170103694969,0.9999476303211849,-2.656591213070499,-2.3262403233679896,-3.712975070738554,-1.3489989599043652,0.39979964559332726,0.40716505971689176,0.36476760061591984,0.44445749673931123,0.0,0.9915029951114823,346.9529147982063,8
446,0.06115328204536515,0.06909888122492419,-0.13393100256667323,0.2907134649662181,0.06144413203749063,0.06926927226334864,-0.1335400769829302,0.29085858959189026,-0.01658807539764774,-0.015134506577784597,-0.023594305993980463,-0.007667297871976223,0.0004455191770833946,0.000229057561817958,7.319252843965285e-05,0.0005566930933158798,0.9995544808229166,0.999770942438182,0.9994433069066841,0.9999268074715604,-2.4490528080139375,-2.292478960829185,-3.410045703572498,-1.2019530743273856,0.4011202821906904,0.4053944303546686,0.3615620947359264,0.4465776804605296,0.0,0.9919396337161357,346.46860986547085,9
446,0.07352090630150573,0.07377997304298567,-0.1357955967479102,0.2972117418644501,0.07383477087122572,0.0748711626963569,-0.1356396743710345,0.2975926498417906,-0.016482646642782362,-0.015243808735138881,-0.02445824575140417,-0.006657539129319385,0.0004469478950620927,0.00023395113511104348,5.630835733447248e-05,0.0005982059295250586,0.999553052104938,0.999766048864889,0.9994017940704749,0.9999436916426655,-2.426320759246609,-2.1306228431802436,-3.2133913765998625,-1.2396672481166422,0.40826781317061206,0.41654289573945896,0.3695555749401228,0.44811277423681706,0.0,0.9915497815995447,346.5470852017937,10
446,0.05467846801126005,0.04259763617259278,-0.12976679007338313,0.2494380904189438,0.0549947680591499,0.04328138881431535,-0.1299899717421926,0.24989034406753338,-0.016171758089393085,-0.013370793264089569,-0.02423693952634917,-0.007510176065739327,0.0004288279245685205,0.00018020504608695642,6.186299967281261e-05,0.0005932477508718559,0.9995711720754316,0.999819794953913,0.9994067522491281,0.9999381370003272,-2.540490645938061,-2.3729802363386545,-3.42577368247508,-1.402550894476776,0.4041546533443233,0.4091055583386438,0.3658690091047293,0.44570958095769636,0.0,0.9913139085432127,346.7085201793722,11
446,0.088210776298367,0.08105620413864095,-0.12909271388905097,0.3371758715433366,0.08852174300521157,0.08131552646434598,-0.12867192427236132,0.33776208652095596,-0.015738308455362282,-0.014953333008649686,-0.02360205355550349,-0.005704978132033082,0.0004372156762717175,0.0002347203168691081,4.413632834493475e-05,0.0005570574006978912,0.9995627843237284,0.9997652796831309,0.9994429425993021,0.999955863671655,-2.3648245466836286,-2.2258715718392246,-3.264411477997225,-0.9881048332692217,0.39544173862071674,0.40344433924851114,0.3594584292426478,0.4385700468908228,0.0,0.9918463077275047,346.71973094170403,12
446,0.032243062671223,0.037096676947082574,-0.14059299146286874,0.22287727820974376,0.03253378310027565,0.03736457243198789,-0.1402829357020583,0.22352657983514743,-0.017268655139808457,-0.014626157160790357,-0.02600074711793534,-0.005767305350690654,0.0005592874662040736,0.00022217452121220393,5.01844362582049e-05,0.0006808107624780291,0.999440712533796,0.9997778254787878,0.9993191892375219,0.9999498155637419,-2.5403249872993077,-2.4337143853222387,-3.5183289156812885,-1.217766728158778,0.3975037361730881,0.4019803744990118,0.35612466328446224,0.44259078743006264,0.0,0.9905921758031574,346.7152466367713,13
446,0.06337728700209788,0.07952351495092028,-0.20894713950520577,0.3153400983717265,0.06370829217434286,0.08018554426013579,-0.20698195376625475,0.31286154095893587,-0.019007078569139812,-0.012439983526772905,-0.02327006174161958,-0.005525055848638115,0.0036451766747590338,0.00016324100190739932,3.5931447267822936e-05,0.0005414997522375231,0.9963548233252411,0.9998367589980925,0.9994585002477625,0.9999640685527322,-2.1109940986457363,-1.8638949234425,-3.1200548632662004,-0.8634156627482337,0.39907482583904436,0.40554469492477646,0.3640548947708139,0.4425867025571126,0.0,0.9920902608032682,346.7825112107623,14
446,0.03282516752996732,0.041426405831161625,-0.20362269538214506,0.27532448249340774,0.03314676234628776,0.04270056935726857,-0.20345698102236032,0.276529897303555,-0.017176430306913133,-0.014069200068878351,-0.02505949816820454,-0.007219637381428272,0.0005121360465891751,0.00020416579200022156,5.6895996826011874e-05,0.0006279784892430362,0.9994878639534109,0.9997958342079998,0.999372021510757,0.999943104003174,-2.4310221596094,-2.165729155151851,-3.509653077448786,-1.184516189623759,0.39842203214052857,0.40166576317818126,0.359177591867425,0.44126591285070377,0.0,0.9906464071999537,346.95515695067263,15
