mode,n_triples,mean_cosine,median_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,static_loss,constant_velocity_loss,constant_velocity_skill,replicate
standardised,462,0.017773100598308212,0.028711757230270078,0.5173160173160173,0.5104284719691823,0.5094102912686983,0.08638789979030824,0.1443588958916903,-0.6710545833629094,0
standardised,462,0.040167954033608816,0.05700900338580193,0.5476190476190477,0.5253662022182304,0.5257701445865977,0.09156580167006177,0.14472045674187126,-0.5805077234330474,1
standardised,462,0.02991364484620062,0.032526357794673916,0.5324675324675324,0.5389429195467986,0.5359892407061628,0.0947750373814864,0.14926065002603886,-0.5748941298249048,2
standardised,462,0.013531680393765894,0.033574696838568605,0.5411255411255411,0.5384981065192005,0.5408498047993656,0.09536470555967318,0.14750625907735315,-0.546759445349025,3
standardised,462,-0.02702932593697738,-0.001515059378179223,0.49783549783549785,0.5303556472633134,0.5311212126276881,0.09284230285220428,0.1560217560221805,-0.6805028659247243,4
standardised,462,0.009750904415217742,0.01231788112537921,0.5238095238095238,0.5181139867219992,0.5174922083236867,0.0897390062901678,0.1493537243063292,-0.6643122147285583,5
standardised,462,0.028131342754953517,0.03914803522655584,0.5324675324675324,0.5322249660853261,0.5344086295564671,0.0938851608156044,0.14853111781953326,-0.5820510560902858,6
standardised,462,0.009106768213014378,0.017768322796318948,0.5346320346320347,0.49532727985138925,0.4958146770216926,0.08271101801371913,0.143739728755773,-0.737854668067695,7
standardised,462,0.016790629600102903,0.011404541601528137,0.512987012987013,0.5341425306864984,0.5328250535359239,0.09402211282947406,0.1548339235621955,-0.6467820058778571,8
standardised,462,0.04335045865888063,0.02274134185370067,0.5432900432900433,0.5190125526680166,0.5195793629429613,0.09006020172690964,0.14701783763844728,-0.6324395772979812,9
standardised,462,0.014478147899099828,0.009362631319455719,0.5086580086580087,0.5219226369679687,0.5264679032151348,0.09190509677911878,0.15150348277895193,-0.648477484802281,10
standardised,462,0.02465773621907883,0.014841657735395043,0.5173160173160173,0.5308556942438227,0.5305865800309506,0.09309345191232718,0.15330581747115019,-0.6467948531496,11
standardised,462,0.025435515357915193,0.026607819363615903,0.525974025974026,0.4915460491455701,0.49199721225624204,0.08156347938454954,0.1382882211843792,-0.6954674105108731,12
standardised,462,0.02046115590686838,0.02686377267803868,0.538961038961039,0.5023485805413221,0.5031171062216263,0.08417436919095357,0.14384716403455566,-0.7089188243066189,13
standardised,462,0.04987962325956291,0.050333086606432445,0.5497835497835498,0.567497918647446,0.5628667774607775,0.10269648453466051,0.1598363857972824,-0.5563958836715284,14
standardised,462,0.035432258733368936,0.035262483169557754,0.5476190476190477,0.49253879387573307,0.49260073719886066,0.08133088498207124,0.1360449382290302,-0.6727340205263996,15
standardised,462,0.0222089266438549,0.01592887611104886,0.5216450216450217,0.554876483762604,0.5534187541306803,0.10003720235220338,0.15624982831464726,-0.5619172132036914,16
