label,N,days,T,step,horizon,delta,mode,calendar_shuffles,coherence_shuffles,component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_incoming_speed,median_incoming_speed,q25_incoming_speed,q75_incoming_speed,mean_outgoing_speed,median_outgoing_speed,q25_outgoing_speed,q75_outgoing_speed,positive_fraction,all_positive_window_fraction,mean_positive_correlation_fraction,null_mean_cosine_mean,null_mean_cosine_q95,p_upper_mean_cosine,p_holm_mean_cosine,null_mean_residual_cosine_mean,null_mean_residual_cosine_q95,p_upper_mean_residual_cosine,p_holm_mean_residual_cosine,null_mean_erse_outgoing_cosine_mean,null_mean_erse_outgoing_cosine_q95,p_upper_mean_erse_outgoing_cosine,p_holm_mean_erse_outgoing_cosine,leading_share,spike_ratio,leading_participation,participation_fraction,effective_rank,null_leading_share_mean,null_leading_share_q95,p_upper_leading_share,p_holm_leading_share
cac40_full,23,6828,250,14,42,0.25,standardised,99,999,market_1,464,0.18682064577803575,0.22452476178045272,0.01767311150601341,0.37990406723748893,0.1882405994978464,0.21957103927080468,0.014145141379227469,0.39176758538449,-0.06341583617740948,-0.06575003846838116,-0.20903785931314806,0.07106797407813198,0.04549204062926178,0.023988166566599578,0.004817881823297926,0.0617154395416358,0.9545079593707383,0.9760118334334005,0.9382845604583642,0.9951821181767021,0.055917394875532135,0.05254188530822663,0.04338256737445512,0.06565471238629186,0.05589328316589646,0.05254188530822662,0.04338256737445513,0.06565471238629185,0.7693965517241379,0.36637931034482757,0.9768808777429466,0.02676605586784295,0.057433285749027854,0.01,0.03,0.03176696147836447,0.06262397697096841,0.01,0.03,-0.07529493785772806,-0.059061881810326136,0.14,0.42000000000000004,0.14271884891591302,3.2825335250659995,6.7988342798669175,0.2956014904289964,13.720631912889449,0.10383797745925019,0.11753559268178837,0.001,0.003
cac40_full,23,6828,250,14,42,0.25,standardised,99,999,block_2_3,464,0.08216402480378003,0.08285265922575222,-0.11696858428761885,0.2989047590256412,0.08191184275734092,0.08285075853715518,-0.1166896474863938,0.2916521502431403,-0.007475484036323823,-0.00897329208161051,-0.056402394037481915,0.044357320414265114,0.007622859665721105,0.0019702855129535846,0.0002215516709595522,0.007009892290615549,0.9923771403342789,0.9980297144870465,0.9929901077093845,0.9997784483290404,0.44906956141746324,0.34449049861795866,0.25051239936512587,0.5513516949840828,0.4462231272404561,0.34303567007827773,0.250512399365126,0.5474194391936242,0.6099137931034483,0.36637931034482757,0.9768808777429466,0.024208283385041978,0.06534200149637982,0.02,,0.023957423967870036,0.06738434620342382,0.01,,-0.004100410465795716,0.002478238890277081,0.8,,0.14050150921347473,3.231534711909919,6.438327014780711,0.2799272615122048,12.524438221338484,0.09993531373174533,0.12465467558579608,0.016,
cac40_full,23,6828,250,14,42,0.25,standardised,99,999,block_4_6,464,0.05360983999721269,0.05371914425891049,-0.15088704498618327,0.26265989027487646,0.0548134213704796,0.052542656740237975,-0.14523822545104506,0.25527685160295377,-0.011844765252223517,-0.0032638902785284366,-0.02456416938980015,0.022343085976363225,0.02288424443247731,0.0005479491196860864,0.00012475499032632564,0.002042299511244572,0.9771157555675228,0.999452050880314,0.9979577004887554,0.9998752450096737,1.0056352030666544,0.9708308479212335,0.7447368038477882,1.2369505609287417,1.0024108738732513,0.9670191033179586,0.7422156826165685,1.2327453394990315,0.5711206896551724,0.36637931034482757,0.9768808777429466,0.02667742404625608,0.050803223057146366,0.06,,0.02643407188754219,0.05292264295140712,0.05,,-0.0020788026968645763,0.00842243846250737,0.89,,0.10066829462143562,2.3153707762930194,6.3476498335939135,0.2759847753736484,15.976287517519332,0.07066180127993105,0.07504337526086817,0.001,
cac40_full,23,6828,250,14,42,0.25,standardised,99,999,top_3,464,0.08297631052954375,0.08885278187879961,-0.11534191761242792,0.2907906016296572,0.08300643623138476,0.09319834649287126,-0.11324971319968569,0.2901528189620679,-0.007238211617454662,-0.00582815842680514,-0.025721729991269603,0.010904629898845242,0.0021908237289747843,0.0003345225641603333,6.014857537761653e-05,0.0012163043290590592,0.9978091762710253,0.9996654774358397,0.9987836956709409,0.9999398514246224,0.4507176357939104,0.34561685138306547,0.2518344206575953,0.5528083531962554,0.447911949922082,0.34461794570330995,0.2518344206575956,0.5492185501453825,0.6163793103448276,0.36637931034482757,0.9768808777429466,0.024063787979412964,0.06484812242205651,0.01,,0.023981291823974363,0.06661127508601357,0.01,,-0.009897843512661543,-0.004911035262595487,0.27,,0.140286521997396,3.226590005940108,6.332414167754406,0.2753223551197568,12.52459573277802,0.10070516007727613,0.12037798736458463,0.019,
cac40_full,23,6828,250,14,42,0.25,standardised,99,999,top_6,464,0.058974080951781284,0.0776781592725875,-0.11931722362149431,0.24906947859147288,0.058982777301791744,0.07440853578764109,-0.119272894156845,0.24474945397755762,-0.014165222145493695,-0.0047306643463339276,-0.014991541427631488,0.007822406097320893,0.022583492692811062,0.00013527074016117524,3.7592942672942664e-05,0.0004383570351330357,0.9774165073071889,0.9998647292598388,0.9995616429648669,0.9999624070573271,0.9371987859053186,0.8957449885873913,0.704402705732656,1.1126506390896038,0.9351192548188322,0.8921108215391724,0.7006752519296651,1.1126506390896043,0.6099137931034483,0.36637931034482757,0.9768808777429466,0.03281434404937278,0.05674248331612041,0.05,0.05,0.03287496056302369,0.05839980286902523,0.06,0.06,-0.0030491875125582438,0.006663059580408666,0.98,1.0,0.10582109802600341,2.4338852545980783,7.189369633454556,0.31258128841106764,15.959648951086832,0.07575394845090659,0.07998962395298975,0.001,0.003
cac40_full,23,6828,250,14,42,0.25,standardised,99,999,flag_nested,464,0.06222722118049366,0.07050839887123303,-0.10120924124510937,0.2349825624285303,0.06299776405898497,0.0700385203343003,-0.10114483030063638,0.2344474686495879,-0.01639674724283089,-0.008174154674181356,-0.030322745611389732,0.011894339254015243,0.013193677674563625,0.0004906760163543855,0.0001097350846157863,0.001802913379116311,0.9868063223254363,0.9995093239836457,0.9981970866208837,0.9998902649153842,0.4848404073599075,0.4614483193650767,0.3661460181827981,0.579535374206501,0.4830726261708702,0.4610018312956702,0.36406420735964395,0.5792479112815248,0.6056034482758621,0.36637931034482757,0.9768808777429466,0.02726340406071152,0.052695624963232095,0.02,0.04,0.027291364082140262,0.05233311009647521,0.02,0.04,-0.009846367623339188,-0.0004973435294697851,0.93,1.0,0.10357959415736244,2.382330665619336,5.914848379721102,0.2571673208574392,16.287720608622333,0.07415023342150226,0.0836645732914499,0.002,0.003
