date,start,past_start,future_start,original_cosine,residual_cosine,erse_outgoing_cosine,erse_incoming_cosine,incoming_erse_attributed_fraction,outgoing_erse_attributed_fraction,incoming_residual_energy_fraction,outgoing_residual_energy_fraction,incoming_speed,outgoing_speed,erse_speed,static_loss,erse_loss,erse_skill,top_cross_covariance_energy,covariance_transition_energy,top_cross_covariance_share,positive_correlation_fraction,all_correlations_positive,minimum_correlation,erse_rotations,minimum_deviation_before,minimum_deviation_after
2001-02-14,42,0,84,-0.12577578529430172,-0.125867252763531,0.009378991558327944,0.008659013060519385,7.497850718229948e-05,8.796548265133097e-05,0.9999250214928177,0.9999120345173487,0.6837379324719113,0.5664124663003792,0.41379270433257065,0.09931858990810527,0.15153353748707143,-0.5257318657793888,0.37432186702107373,1.3635281001572155,0.27452449786543764,0.8916256157635468,False,-0.15410958515212128,26,6.56174047934493e-05,0.34999999999999765
2001-03-06,56,14,98,-0.12660426186363577,-0.12574483510275025,-0.031229712393668865,0.03147781937223359,0.0009908531124308562,0.0009752949361914176,0.9990091468875691,0.9990247050638086,0.7819999990506825,0.664378474417756,0.4033502397703462,0.13387954610408434,0.1873586121652598,-0.3994565833051025,0.3553524973651747,1.1585579743954373,0.30671965082334873,0.8990147783251231,False,-0.12472266703303643,25,0.0009068950571671499,0.34999999999999803
2001-03-28,70,28,112,-0.1052271867160557,-0.10528057364098323,0.0001628730902043211,0.030333031386541455,0.000920092793096905,2.6527643526286226e-08,0.9990799072069031,0.9999999734723565,0.589421744066443,0.6111768751195941,0.4089459716559593,0.11684124747378306,0.16904555267553745,-0.4467968832108544,0.3588979615582062,0.9366708736402363,0.3831633625623492,0.9261083743842364,False,-0.10947142554641102,26,0.0031588111383232475,0.34999999999999787
2001-04-17,84,42,126,0.14720727111923756,0.14716497958190258,-0.0035913017835325096,-0.027185072681909724,0.0007390281767205575,1.2897448500415187e-05,0.9992609718232794,0.9999871025514996,0.5664124663003799,0.6163902018895194,0.4107306343845407,0.1173922159538409,0.1699315486048385,-0.4475538026444299,0.3831446446717308,1.0914135157266822,0.3510536008129113,0.9285714285714286,False,-0.1264892319027202,24,0.0005116457359936322,0.34999999999999787
2001-05-07,98,56,140,-0.1456450691901651,-0.14549311105444793,-0.017197136984507828,0.010558939641121897,0.00011149120634490473,0.0002957415204638547,0.9998885087936551,0.9997042584795361,0.6643784744177561,0.5758929107232089,0.43891384513361364,0.10352490693454186,0.1651552989679912,-0.5953194632902963,0.4070443353859332,1.2248322714254418,0.3323265926951949,0.9285714285714286,False,-0.13623193942619158,25,3.397012415410792e-05,0.34999999999999826
2001-05-25,112,70,154,0.04023290255843157,0.041945439305526085,-0.04956993712512029,0.03304604097099123,0.0010920408238566104,0.0024571786665884554,0.9989079591761434,0.9975428213334115,0.6111768751195938,0.7230617696002385,0.4752717475466813,0.15751980125939088,0.23627197179353918,-0.49995092619794246,0.38617816917896874,1.2168634758503933,0.31735537867885455,0.9334975369458128,False,-0.12280060282795599,26,1.9077652176152317e-07,0.34999999999999776
2001-06-14,126,84,168,0.030318212744665625,0.030413817754906626,-0.019262332403163118,0.004653275456633687,2.165297247525011e-05,0.00037103744960986784,0.9999783470275247,0.9996289625503901,0.6163902018895195,0.6983733439607722,0.43638717483339284,0.1454760667013475,0.20754830749448003,-0.4266835239679847,0.41512616688270754,1.3205650848441943,0.3143549467171365,0.9359605911330049,False,-0.1210899298664826,25,6.350566500340628e-06,0.34999999999999826
2001-07-04,140,98,182,0.21571537140823363,0.21557893979435394,-0.020282849011427295,-0.009380494963156258,8.799368575374e-05,0.0004113939640201236,0.9999120063142463,0.9995886060359799,0.5758929107232086,0.6070150575254323,0.42292061837501305,0.1149217035724767,0.17365803297313276,-0.5110986660897636,0.45716302596713376,1.33657508700135,0.3420406608002802,0.9187192118226601,False,-0.11814842285175517,23,7.212209571979601e-06,0.34999999999999803
2001-07-24,154,112,196,0.18390127885131285,0.18510460921621047,-0.03457962473011667,0.02930050092661945,0.0008585193545505021,0.0011957504464755742,0.9991414806454495,0.9988042495535244,0.7230617696002388,0.7219367516108233,0.43946701179123865,0.15266820290046437,0.21886221278816986,-0.4335808546253881,0.5612595139281638,1.880652377428851,0.2984387336353432,0.9285714285714286,False,-0.10681246916021724,25,2.7487484490492247e-05,0.34999999999999776
2001-08-13,168,126,210,-0.0490638334340674,-0.04932732813579537,-0.025128154249352767,-0.009772476054112156,9.550128822810589e-05,0.000631424135979497,0.9999044987117719,0.9993685758640205,0.6983733439607718,0.5433840942139344,0.43882971124313064,0.091948918122491,0.15480968720642338,-0.6836488168375354,0.6303631450884097,2.2638294425359793,0.2784499279160653,0.9261083743842364,False,-0.1139292150476816,26,7.587852917010285e-05,0.34999999999999776
