,raw,raw,raw,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,standardised,standardised,standardised,N
,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg,q,d_emp,d_th,ratio,excess,n_pairs,n_indep,gap,angle_deg,
T,,,,,,,,,,,,,,,,,,,
132,1.0,0.21374930808758236,0.11830793428708493,1.8067199750855278,0.09544137380049743,195,10.594696969696969,1.8576297962347308,41.32126246789241,1.0,0.1902138609272673,0.1543998908992588,1.2319559283327217,0.03581397002800851,195,10.594696969696969,1.6997009062780168,26.08682781584809,132
229,0.5764192139737991,0.14108256083245413,0.06689569874970265,2.1089930065657807,0.07418686208275148,107,6.106986899563319,2.012312974921472,36.8253262918631,0.5764192139737991,0.12664479099688714,0.08693914861176966,1.4567061331877618,0.03970564238511748,107,6.106986899563319,1.8390908218351472,27.413864682951615,132
326,0.4049079754601227,0.11537666727665377,0.045581142250873764,2.531236857594153,0.06979552502578001,68,4.289877300613497,2.122395191497434,35.798255293295384,0.4049079754601227,0.09770068110704104,0.05954130504733709,1.6408891445924156,0.03815937605970395,68,4.289877300613497,1.9248054034100883,26.895704781979653,132
424,0.3113207547169811,0.10109528121914474,0.034453819888016886,2.934225625713737,0.06664146133112786,47,3.2983490566037736,2.2179792938101284,35.03588316551826,0.3113207547169811,0.08060442508799842,0.0451260216104846,1.7862072084207563,0.03547840347751382,47,3.2983490566037736,1.9980761746004772,25.96871240993807,132
521,0.2533589251439539,0.0901202194280448,0.028164406805910876,3.1997911423836993,0.06195581262213392,34,2.68426103646833,2.247485081594433,33.86183012279253,0.2533589251439539,0.07148628801643916,0.03640512029094548,1.963632792451421,0.03508116772549368,34,2.68426103646833,2.063968521148302,25.828085807141328,132
618,0.21359223300970873,0.08197141106584,0.02385656635273064,3.436010440641534,0.058114844713109355,26,2.26294498381877,2.2832236373375148,32.8590950885092,0.21359223300970873,0.06635527492785209,0.03052263965865557,2.173969082291844,0.03583263526919653,26,2.26294498381877,2.1131519752942185,26.09337967310865,132
716,0.18435754189944134,0.07986397269372388,0.020543010455897064,3.887646986559274,0.05932096223782681,20,1.9532122905027933,2.3184484047161655,33.1781062909886,0.18435754189944134,0.06299610176110426,0.02629411168697115,2.3958254422536402,0.03670199007413311,20,1.9532122905027933,2.1627406515105685,26.39646278081215,132
813,0.16236162361623616,0.08000595537276793,0.017900214750335573,4.469552823173145,0.06210574062243236,15,1.7201722017220171,2.3760455322377023,33.90020846266558,0.16236162361623616,0.06384262513604817,0.02282106523041035,2.797530461066046,0.04102155990563783,15,1.7201722017220171,2.2122359503105202,27.845973073806338,132
911,0.14489571899012074,0.08456227850821302,0.015753302602963152,5.367907964410402,0.06880897590524987,11,1.5351262349066959,2.39998827289728,35.56209440080224,0.14489571899012074,0.06575317193664167,0.02013252475186498,3.266017190941271,0.04562064718477669,11,1.5351262349066959,2.2483199827880225,29.297500894913252,132
1008,0.13095238095238096,0.09220751483805734,0.014230341424826761,6.479641779865437,0.07797717341323057,8,1.3874007936507937,2.366064929119982,37.681962581237435,0.13095238095238096,0.06776318993337367,0.017984530050218724,3.7678599187277375,0.04977865988315495,8,1.3874007936507937,2.2835937046944563,30.539428101940942,132
1105,0.11945701357466064,0.1030007385531283,0.012821588855552022,8.03338335938972,0.09017914969757627,6,1.2656108597285067,2.3373385887127824,40.27332888054909,0.11945701357466064,0.07213571640698788,0.016107292511658492,4.478450761031123,0.05602842389532939,6,1.2656108597285067,2.2915946177750444,32.29786404324004,132
1203,0.10972568578553615,0.11656575566941106,0.011817714497103764,9.86364628270369,0.1047480411723073,4,1.1625103906899419,2.2917419281666316,43.085035161810275,0.10972568578553615,0.08071308654365546,0.014640206191211046,5.51311132435484,0.06607288035244441,4,1.1625103906899419,2.2869283889423904,34.89613129691295,132
1300,0.10153846153846154,0.1270677254395846,0.011383999113704536,11.161958479653705,0.11568372632588007,2,1.0757692307692308,2.263648117820681,45.027350756384884,0.10153846153846154,0.08753485323258058,0.01383764760388335,6.325847841942087,0.07369720562869722,2,1.0757692307692308,2.2575974246003976,36.712692715179,132
1398,0.0944206008583691,0.1456572542231536,0.011032281417259501,13.202822581671953,0.13462497280589408,1,1.0003576537911303,2.2392454773662704,48.108075967122694,0.0944206008583691,0.09802315478933447,0.013147419751279924,7.45569523478489,0.08487573503805455,1,1.0003576537911303,2.2571939126445812,39.17633811153473,132
