n_triples,mean_original_cosine,median_original_cosine,q25_original_cosine,q75_original_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_erse_skill,median_erse_skill,q25_erse_skill,q75_erse_skill,mean_top_cross_covariance_share,median_top_cross_covariance_share,q25_top_cross_covariance_share,q75_top_cross_covariance_share,all_positive_window_fraction,mean_positive_correlation_fraction,mean_erse_rotations,replicate
462,0.017773100598308212,0.028711757230270078,-0.22994818344027787,0.27130987245750166,0.015081854263147634,0.023372141287481704,-0.23522222854073366,0.2667448835922617,-0.005883543241425493,-0.006617435171902235,-0.019961109445759996,0.006452015303242836,0.003995334297747715,0.0002226528402616279,4.351485669057409e-05,0.0007143052565115049,0.9960046657022522,0.9997773471597384,0.9992856947434885,0.9999564851433094,-0.8598077259919175,-0.7643706382300818,-1.144300374221034,-0.44231562363477295,0.3949572936587031,0.3978382547296806,0.3433560511202446,0.4505587147149126,0.3917748917748918,0.9948713027530762,26.567099567099568,0
462,0.040167954033608816,0.05700900338580193,-0.19893913162520027,0.28364450610229575,0.04083122973643838,0.05551537588537519,-0.19219428576568287,0.2770908993337922,-0.006367613035387255,-0.00888389969158036,-0.022674496948063352,0.005946206470100605,0.009475534701270735,0.0002553833580223319,5.6842468955681236e-05,0.0008473467949286773,0.9905244652987293,0.9997446166419777,0.9991526532050713,0.9999431575310443,-0.9225143566430124,-0.7456356333061376,-1.2354713933011618,-0.40218125229607254,0.3942463233052517,0.4017391289871004,0.3417290631060596,0.45684461395354414,0.33766233766233766,0.9949299469003903,26.415584415584416,1
462,0.02991364484620062,0.032526357794673916,-0.24957997157363174,0.3031521516061206,0.029902233837511873,0.03292739180561603,-0.25004671783392585,0.30347522190161547,-0.009930024207125984,-0.008667956577485248,-0.02069595209423732,0.0056262986504574,0.008873928173205188,0.0002473333063462424,5.881211065769665e-05,0.0009151131155768488,0.9911260718267949,0.9997526666936538,0.9990848868844231,0.9999411878893423,-0.9044997861028387,-0.7064729858644239,-1.2452046637980962,-0.3869068427883283,0.395382823331674,0.40412933863289935,0.3385645786080578,0.4552205353784463,0.34415584415584416,0.9952764804981553,26.567099567099568,2
462,0.013531680393765894,0.033574696838568605,-0.25384265047065,0.27956909118880585,0.01606899560468102,0.03345467575004827,-0.25409779765375706,0.27747834493673007,-0.006798334722267024,-0.006634894572420664,-0.020469374581412313,0.007588649694239295,0.011979104235931518,0.00022087352917993242,4.695380143651673e-05,0.0008167222025476095,0.9880208957640685,0.99977912647082,0.9991832777974524,0.9999530461985635,-0.8890547240499949,-0.7654428984091888,-1.2134872051635657,-0.3910722994768179,0.3981823615631851,0.4038229035121406,0.3381418398046563,0.46031502483461284,0.3787878787878788,0.9960068666965218,26.461038961038962,3
462,-0.02702932593697738,-0.001515059378179223,-0.28427377454785374,0.21473076380604925,-0.022718469667363787,-0.0015573513686913572,-0.2561169526556532,0.21463938420408793,-0.00430106065458633,-0.0071550861662305325,-0.025416467107059366,0.006320240850682525,0.011102500821579011,0.0002380405197483504,4.153784094210189e-05,0.0008862476938135688,0.988897499178421,0.9997619594802516,0.9991137523061864,0.9999584621590579,-0.8820787924384266,-0.7648010729498365,-1.206704466321121,-0.38634038703011137,0.39072518225377284,0.3949853538551249,0.3364238533867989,0.4519855457953105,0.4069264069264069,0.9954470816539781,26.452380952380953,4
462,0.009750904415217742,0.01231788112537921,-0.2621937721749924,0.2754936271411473,0.010527287531367262,0.012564218474451553,-0.2622383413612053,0.27564534918736605,-0.007878482867323842,-0.007495811545217779,-0.025949349082147306,0.006609642655125166,0.003126780329949528,0.0002995685830818329,5.001053345565776e-05,0.0010303514467592811,0.9968732196700505,0.9997004314169182,0.9989696485532407,0.9999499894665443,-0.9317811751847952,-0.7963714394819712,-1.258074329232425,-0.3824259562884425,0.39127936199447555,0.3969216446310528,0.33856870201953415,0.4493025858009757,0.329004329004329,0.9950845541978547,26.476190476190474,5
462,0.028131342754953517,0.03914803522655584,-0.25755710906776225,0.3145141832146617,0.029959479489215252,0.04381762598096306,-0.2577260399874305,0.31487364519576266,-0.0014909591564769668,-0.005688696738303009,-0.02103670682396813,0.006884194947271549,0.005577616370707389,0.00017940818129064118,3.4663641839433046e-05,0.0006686992967163408,0.9944223836292926,0.9998205918187093,0.9993313007032837,0.9999653363581605,-0.8670558985078428,-0.7034234461067967,-1.2155137862425893,-0.3658488210000509,0.38690382850325084,0.38906643480448566,0.33120782837820145,0.44891470517625026,0.36147186147186144,0.9957829526795043,26.53030303030303,6
462,0.009106768213014378,0.017768322796318948,-0.22517275573770618,0.2503243773597368,0.00964441681231312,0.018282484819814357,-0.22316116979420322,0.24807344059161196,-0.004551639930567499,-0.004049547374403931,-0.01875423941800541,0.00892653421354071,0.006472347510607251,0.0002004684699378756,4.708503014275167e-05,0.0008472363851040887,0.9935276524893928,0.9997995315300621,0.9991527636148959,0.9999529149698573,-0.9303283097665481,-0.8477868850386546,-1.1907433124747848,-0.46142511791804325,0.3821040175498837,0.37824677075574853,0.3270864763978014,0.44006681826462546,0.4264069264069264,0.9943648305717271,26.538961038961038,7
462,0.016790629600102903,0.011404541601528137,-0.22227307023874399,0.25728527902939313,0.01535520815669306,0.010211396011820147,-0.22477873463324632,0.2566882203248336,-0.011066250480914166,-0.007677668240535504,-0.025963548127577132,0.00873446327064202,0.004409689645749832,0.00029984110428699084,6.889659220540856e-05,0.0010802257472979082,0.9955903103542502,0.9997001588957131,0.9989197742527021,0.9999311034077946,-0.8817151831923765,-0.7315416484707967,-1.2736628522507707,-0.3772733791900847,0.38825678021618565,0.39375037003567825,0.3352624722900313,0.44495833803248475,0.3484848484848485,0.9942582048493377,26.5021645021645,8
462,0.04335045865888063,0.02274134185370067,-0.19600704881452768,0.28133305468016806,0.04217217475479404,0.021631344882640083,-0.19621897336527658,0.2813236919066343,-0.006756738844568186,-0.006527955961833114,-0.023192435678095372,0.008560455558087739,0.0035892076473815373,0.00030129114746724195,5.210015308429461e-05,0.0010792958436016964,0.9964107923526183,0.9996987088525328,0.9989207041563983,0.9999478998469157,-0.9639907599898755,-0.8356307536185306,-1.2611475391839022,-0.4239188670425545,0.3868434370247439,0.3949849645825984,0.32980412526498587,0.4498555849305443,0.35714285714285715,0.9950632290533769,26.595238095238095,9
