n_triples,mean_original_cosine,median_original_cosine,q25_original_cosine,q75_original_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_erse_skill,median_erse_skill,q25_erse_skill,q75_erse_skill,mean_top_cross_covariance_share,median_top_cross_covariance_share,q25_top_cross_covariance_share,q75_top_cross_covariance_share,all_positive_window_fraction,mean_positive_correlation_fraction,mean_erse_rotations,replicate
464,0.020302816720845294,0.03219609027567699,-0.19732892639512525,0.24065337822071478,0.021971185548798258,0.03202120647612277,-0.19768503201076976,0.2425166473545025,-0.004765310017965533,-0.007502009672922184,-0.02641907312933539,0.009453916703347847,0.006216144770328793,0.00031787222385865066,7.888467834044066e-05,0.0011924721468568322,0.9937838552296713,0.9996821277761414,0.9988075278531432,0.9999211153216596,-1.0133853961965875,-0.9089459497338314,-1.4226435863173192,-0.4394348896165597,0.4060140668474808,0.4171633026815812,0.343853867479478,0.47646372124263225,0.6228448275862069,0.997052610058607,21.67241379310345,0
464,0.007610701311962354,0.004430093970702296,-0.20624462820659728,0.2437670958155763,0.010496088574723417,0.006858310486411548,-0.19895448380734293,0.2420700183933698,-0.007750617904465376,-0.007802680350471601,-0.027985164866339583,0.010528783335083199,0.009386364779131066,0.00042959350179500033,8.017282082106725e-05,0.0015221201193448552,0.9906136352208689,0.9995704064982049,0.9984778798806552,0.9999198271791789,-1.0203434530024829,-0.8795313455647571,-1.3558748387937951,-0.5357939779756542,0.38083048145756065,0.38174501138041506,0.31576426305907085,0.44389770577971893,0.5366379310344828,0.9962689109990459,21.754310344827587,1
464,0.022962395281700295,0.04874857180500243,-0.19464414203944813,0.2654308726054058,0.022058706112871564,0.051911466473358314,-0.19495533423464828,0.26419143542529766,-0.010257293407189463,-0.005628640328891425,-0.025414193077662846,0.01343657181529919,0.004709042243541251,0.00042857430141346464,7.314328950003279e-05,0.0013133664143512025,0.9952909577564587,0.9995714256985866,0.9986866335856488,0.9999268567105,-0.9890493340085335,-0.8364061279048688,-1.3462415388044127,-0.5015473880186119,0.39778833645641326,0.40542353863908276,0.3350033253503946,0.4706915093219885,0.5862068965517241,0.9965755758484394,21.73491379310345,2
464,0.05118830216958786,0.0684368373825086,-0.18439123020290407,0.3158153044881101,0.05146894166907836,0.06876551730810787,-0.18430692461479858,0.31271980746955136,-0.013411887744782332,-0.008747545263864853,-0.02752675627504199,0.008628749702111665,0.00458330075394786,0.0003419385966432209,7.672771446601279e-05,0.0011950789354674696,0.9954166992460523,0.9996580614033568,0.9988049210645326,0.999923272285534,-0.8856385495309186,-0.7469380505744139,-1.2045062709374696,-0.4344932621406079,0.39487808763807347,0.400079726415454,0.3380128976718227,0.459805045278539,0.5646551724137931,0.9969674253782199,21.760775862068964,3
464,0.004474878483873574,0.005402283411040873,-0.2133794872835127,0.23639378971339925,0.006134503462306684,0.002807129176516379,-0.21068947216855982,0.23630381889733648,-0.011412689693485202,-0.00846984829861453,-0.027579213160759033,0.00795041171988723,0.0028325213613077257,0.0003131178409046531,7.014916226824597e-05,0.0011763316316282524,0.9971674786386922,0.9996868821590954,0.9988236683683718,0.9999298508377318,-0.9497077471919594,-0.7910201320126559,-1.1972008130730236,-0.44436368329633813,0.39027729669035377,0.391572166650627,0.32865452702539694,0.45887062895273706,0.5387931034482759,0.9963455772113942,21.713362068965516,4
464,-0.012779692742187725,-0.024941192552760238,-0.2551912735818387,0.21797451369352466,-0.0126316987208847,-0.024933136206114738,-0.2587800695347169,0.2185390269058261,-0.00932993435250075,-0.00621422491071328,-0.02417117617321811,0.011553833734965985,0.005512695026833808,0.0003612768151975976,7.934187469524345e-05,0.0012690157012490155,0.9944873049731663,0.9996387231848024,0.998730984298751,0.9999206581253047,-0.9186215976564358,-0.7681436739286048,-1.180771265148688,-0.425361126271288,0.38091531585771066,0.38339226802967963,0.32396322952973333,0.445749375329777,0.603448275862069,0.9971803870791877,21.698275862068964,5
464,0.02257978504007212,0.015849713352675623,-0.20979171429069482,0.25748350321762586,0.021566514450992853,0.01719458811410834,-0.20946739470432738,0.25570008518810616,-0.008734298121390337,-0.008441601534667255,-0.027603028312296274,0.008692225701756604,0.010356725099565374,0.0003729809292535857,7.533930937028699e-05,0.0012100347651719245,0.9896432749004347,0.9996270190707464,0.9987899652348281,0.9999246606906297,-1.070784431017141,-0.8884662038182362,-1.4738047616862697,-0.4670444937388253,0.3924858124444329,0.3969956386171859,0.3230623625592582,0.46760763493110497,0.5474137931034483,0.9971889055472263,21.691810344827587,6
464,0.02365876280592428,0.026197382966854317,-0.20974278587566478,0.24841475786868267,0.020331632341561198,0.02584834182982583,-0.2096300617161605,0.24703333619576803,-0.007445477376027349,-0.010480076323666251,-0.027919236507732776,0.008615622274272226,0.0058492604178904785,0.0004516437339651125,8.935533978676746e-05,0.0012506865142959678,0.9941507395821095,0.9995483562660349,0.9987493134857041,0.9999106446602133,-0.933151018267923,-0.7568125160966633,-1.266229311819969,-0.449893947597111,0.38673959726738283,0.39432650420750126,0.3218572152587668,0.45804361747030686,0.5646551724137931,0.9964137249557039,21.68103448275862,7
464,0.006582922831449232,-0.004044616510015228,-0.2191221792501265,0.2685749200502802,0.007564255552145468,-0.00046317632115859845,-0.2192078107407653,0.26967637284504486,-0.012343751878629336,-0.008950897524654385,-0.025615988690087618,0.00714622090294203,0.004750385123253524,0.0003027644033297139,6.896738096451305e-05,0.0011009508216373587,0.9952496148767466,0.9996972355966702,0.9988990491783627,0.9999310326190355,-0.933266868201367,-0.7613578670653124,-1.2326066974699794,-0.41061534257733084,0.3966715716226599,0.40114423312059555,0.3280264064691869,0.4748386095783567,0.5280172413793104,0.9965670573804006,21.700431034482758,8
464,0.015746904294897775,0.023148120713710783,-0.22427583795397762,0.24872182288271544,0.015736778490194673,0.02608961278056995,-0.22756209842706301,0.24822626100849188,-0.010330970478727391,-0.007606775955829028,-0.02546407008983912,0.012473305683057335,0.0029170902612157554,0.00040203497142549116,9.3624478609583e-05,0.001269343409848217,0.9970829097387842,0.9995979650285745,0.9987306565901518,0.9999063755213904,-0.9645598716745662,-0.8459314702751264,-1.2796972132893814,-0.4782777119074519,0.392279506413646,0.39889673231624734,0.32309364137859997,0.4599488436248674,0.5862068965517241,0.9958770614692654,21.724137931034484,9
