mode,n_triples,mean_cosine,median_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,static_loss,constant_velocity_loss,constant_velocity_skill,replicate
standardised,464,0.020302816720845294,0.03219609027567699,0.5366379310344828,0.4852342238582478,0.4853737968680908,0.08107071257110554,0.13507569629603505,-0.6661466516352967,0
standardised,464,0.007610701311962354,0.004430093970702296,0.5086206896551724,0.4625244385378405,0.46255285361164283,0.07370124117079747,0.12584967331756255,-0.7075651823273197,1
standardised,464,0.022962395281700295,0.04874857180500243,0.5538793103448276,0.4753533914274372,0.4699942049074039,0.0757817949662937,0.13094609248212896,-0.7279360107578778,2
standardised,464,0.05118830216958786,0.0684368373825086,0.5818965517241379,0.4919013767644317,0.4892097301715908,0.08113955148101044,0.13268194961817828,-0.6352314894078581,3
standardised,464,0.004474878483873574,0.005402283411040873,0.5021551724137931,0.4965766111447786,0.4982299265917154,0.08313411306831392,0.1400577319501558,-0.6847203486138831,4
standardised,464,-0.012779692742187725,-0.024941192552760238,0.47629310344827586,0.5110260942887064,0.509986735126171,0.0871211175095987,0.14940622722777083,-0.7149255140271793,5
standardised,464,0.02257978504007212,0.015849713352675623,0.5107758620689655,0.4767166287770216,0.47777413377183264,0.07826336206247687,0.1316624573257359,-0.6823000425234869,6
standardised,464,0.02365876280592428,0.026197382966854317,0.5258620689655172,0.5036877192491536,0.5036508124665393,0.08516291722804663,0.14216721933186915,-0.6693559116954411,7
standardised,464,0.006582922831449232,-0.004044616510015228,0.4978448275862069,0.5172082819521829,0.5158636118634717,0.08934393325570358,0.1425336916816777,-0.5953371033458343,8
standardised,464,0.015746904294897775,0.023148120713710783,0.5323275862068966,0.4613374743511732,0.46054422046183885,0.07305191845364833,0.12642638185960903,-0.7306373950990344,9
standardised,464,0.023164257073313904,0.03751922489217828,0.5280172413793104,0.5094996971675168,0.508074366327564,0.08577646446467008,0.14187883534931806,-0.6540531978647317,10
standardised,464,0.014451497658030775,0.022694259925832738,0.5323275862068966,0.45747232155526246,0.45711099482227757,0.07209261787291654,0.12528261874154062,-0.7378009349360342,11
standardised,464,0.04546618552944983,0.06677021535867975,0.5711206896551724,0.488028778829356,0.48679597973349137,0.08086404503248665,0.13259298776205397,-0.6397026355630062,12
standardised,464,0.058109123699111635,0.047871609663720935,0.5538793103448276,0.4727259942585591,0.4767112319310559,0.07732861153412486,0.12765387099085926,-0.6507974016128044,13
standardised,464,0.03431163820096487,0.051122007196727645,0.5711206896551724,0.4500483905982979,0.4507142902458653,0.06972146372145789,0.1211780253333204,-0.7380304265761697,14
standardised,464,0.03620009455427769,0.05592564990045305,0.5797413793103449,0.4653540307094181,0.46438023383055904,0.07419248630676022,0.12320296832182474,-0.6605855182211198,15
standardised,464,0.016261467517963937,0.027996923857756376,0.5193965517241379,0.5041043416773549,0.5048945949273786,0.0853173517005519,0.140965106708956,-0.6522442844184548,16
standardised,464,0.020333883568782456,0.05658457808275393,0.5603448275862069,0.5350539105502884,0.5352218747272588,0.0953031934723121,0.15132353967413137,-0.5878118472293852,17
standardised,464,0.03804412089018042,0.05374353101385432,0.5581896551724138,0.5479897107420048,0.5494912640054679,0.0981691060917682,0.15175305963157462,-0.545833161501097,18
standardised,464,0.03557528896499497,0.052218849803943174,0.5581896551724138,0.4728051629355341,0.4726130165790668,0.07601072698513026,0.12712762795428625,-0.6724958831028658,19
standardised,464,-0.0430950263025988,-0.052391444276982314,0.4418103448275862,0.47479274430278173,0.47510700806245965,0.0777149593206805,0.13944665251416827,-0.7943347552787117,20
