mode,n_triples,mean_cosine,median_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,static_loss,constant_velocity_loss,constant_velocity_skill,replicate
standardised,446,0.05696063872434614,0.02858544870466651,0.5538116591928252,0.34863501088178195,0.34904656497325504,0.04739860943307012,0.07500638695593821,-0.5824596513079574,0
standardised,446,0.052735183398407846,0.037245942627953964,0.5695067264573991,0.36916225368230915,0.36989044030467033,0.052590018464222114,0.08808687632114835,-0.6749732913875159,1
standardised,446,0.022258557237358846,0.05127130740764676,0.5605381165919282,0.3693828932236103,0.37081255793541373,0.05286668909926798,0.0884672366747025,-0.6734022535170918,2
standardised,446,0.06603541233970892,0.05219463632729031,0.5852017937219731,0.38233462390134637,0.38434801245605893,0.05655762989168413,0.09029693439284855,-0.5965473547208391,3
standardised,446,0.07259038179126873,0.04362792219101208,0.5672645739910314,0.38112382042625137,0.38068132848242897,0.056324710378610865,0.08685706692949421,-0.5420774708941587,4
standardised,446,0.005493296716631807,0.029670943413410797,0.5493273542600897,0.3609938532937399,0.361372913988053,0.04987481112957192,0.08834131767906639,-0.7712611973519192,5
standardised,446,0.043101247072932204,0.027191296257842355,0.5381165919282511,0.34208365527690604,0.3394213972668191,0.04471616979857479,0.07736736212754174,-0.7301875915590521,6
standardised,446,0.0019981494687605554,0.025183975210893432,0.5336322869955157,0.37762488890336854,0.37492706390911945,0.0542264964644327,0.0966460689361658,-0.7822665161404299,7
standardised,446,0.05556980006111682,0.054290309499979615,0.5695067264573991,0.34660353966120105,0.3393833070247902,0.04471342348063678,0.07703764916418619,-0.7229199458982931,8
standardised,446,0.06115328204536515,0.06909888122492419,0.5896860986547086,0.33925671379005573,0.33882578305312794,0.0442349342617421,0.07537968169692545,-0.7040758159805793,9
standardised,446,0.07352090630150573,0.07377997304298567,0.6031390134529148,0.3385621140416349,0.3383352871874248,0.043734032585088026,0.0732248744128954,-0.6743224917672661,10
standardised,446,0.05467846801126005,0.04259763617259278,0.594170403587444,0.33070923834772603,0.32504259695375587,0.040968945803857806,0.07069914864397925,-0.7256765400422367,11
standardised,446,0.088210776298367,0.08105620413864095,0.5986547085201793,0.3827545536323145,0.3821340170458265,0.055931210417425846,0.0897524166623144,-0.6046929074567511,12
standardised,446,0.032243062671223,0.037096676947082574,0.57847533632287,0.37122425088051497,0.3719770218269959,0.05333120744160759,0.08816682953602872,-0.6531939508881868,13
standardised,446,0.06337728700209788,0.07952351495092028,0.5896860986547086,0.4056338103909961,0.4049303155540203,0.06129614452755893,0.09241132866405946,-0.5076205751001361,14
standardised,446,0.03282516752996732,0.041426405831161625,0.5448430493273543,0.3244524277437348,0.3255697835444014,0.03993238798478742,0.07190167716730521,-0.8005854594695605,15
standardised,446,0.040896183067401656,0.04439203399191614,0.5605381165919282,0.3627829386363142,0.36149558387086017,0.05041574858848795,0.08518123735471592,-0.6895759705959499,16
standardised,446,0.04236798194339873,0.05464500259475835,0.5627802690582959,0.3415505996132889,0.3416342757358772,0.04528480716325686,0.07987486779778362,-0.7638336740581817,17
standardised,446,0.08145409415349959,0.07961742647429587,0.5986547085201793,0.3502572826825459,0.3480128797592899,0.04700524716837168,0.0784626455001907,-0.6692316332076582,18
standardised,446,0.06390606908684619,0.06379576630257344,0.5762331838565022,0.37805069141013425,0.37793442137630306,0.05548447238974069,0.08655551470764135,-0.559995273986706,19
