,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
5,2.440853934360851,0.10918915335171198,0.03732228931755758,0.5757386237406851,0.05432758418961819,0.018970601407483138,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
10,6.411748595112947,0.24715121202084836,0.08283777069420081,1.4516440415873584,0.1215774678245361,0.040894783092288306,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
15,10.913114009116228,0.3918943942014133,0.13213473537082923,2.5890259520760983,0.19748683421302934,0.06749056759037471,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
20,16.012647803417714,0.528740024893511,0.18528767521459644,3.925467475453946,0.2734973424131079,0.09646051999098042,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
25,21.32724852659102,0.6625297279602351,0.23954388340563826,5.4140867478919095,0.35746142035240125,0.12666723013244519,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
30,26.978231418164512,0.8053983474679686,0.29531288758379703,7.064988293364737,0.44705995280202526,0.15724373245823925,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
35,32.7360475086062,0.9446490861923065,0.3508392503249358,8.788148684216422,0.5297181703991359,0.19067776766547415,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
40,38.68763389344524,1.1029948863458563,0.40743542403809024,10.673114624217714,0.6192663708615831,0.22516846694670994,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
45,44.62202709524772,1.2501209396951545,0.4637519463140933,12.618183848355251,0.7099658073952915,0.26218289949687545,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
50,50.28606884096401,1.3818588881975076,0.5216456443740113,14.64141691345448,0.8060956906935428,0.3000300457499972,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
55,55.681538098525685,1.4913238202171435,0.5786293901731336,16.757225960234027,0.8930903969162735,0.33791064430321993,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
60,61.02418464275053,1.5995954466874462,0.6363244493672624,18.951463212801947,0.9899872868349899,0.37586511523209254,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
65,66.4922178868522,1.7156254673874316,0.6972080991633176,21.238214989001385,1.097734592045172,0.4121023437703223,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
70,71.94338416204758,1.8344657903831885,0.7564637145453236,23.53173234479971,1.2099091917207874,0.4477328965579652,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
75,77.37553139021145,1.958034316673485,0.8124660960546285,25.85150645891494,1.3184874699382545,0.48374355169836863,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
80,82.76944187317791,2.0716850133198457,0.8598175400215723,28.114446946807963,1.4263160289499253,0.51766780193685,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
85,88.22139272184197,2.1785576972736846,0.9025746548917952,30.393311788620647,1.5374323003590524,0.5522905093046553,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
