date,start,past_start,future_start,original_cosine,residual_cosine,erse_outgoing_cosine,erse_incoming_cosine,incoming_erse_attributed_fraction,outgoing_erse_attributed_fraction,incoming_residual_energy_fraction,outgoing_residual_energy_fraction,incoming_speed,outgoing_speed,erse_speed,static_loss,erse_loss,erse_skill,top_cross_covariance_energy,covariance_transition_energy,top_cross_covariance_share,positive_correlation_fraction,all_correlations_positive,minimum_correlation,erse_rotations,minimum_deviation_before,minimum_deviation_after
2001-02-15,42,0,84,0.12614348628791297,0.12903628342676876,-0.030509996980495342,0.079474360396845,0.00631617396048767,0.0009308599157497044,0.9936838260395123,0.9990691400842503,0.31969563344236285,0.5783307110017365,0.3768399100618484,0.10231531032057406,0.15088654855522984,-0.47472111536848693,12.748177646953877,37.72875711167292,0.33789020956138816,0.9038167938931297,False,-0.2987884165077951,128,8.455919159502454e-08,0.24999999999999578
2001-03-07,56,14,98,0.045988921560611844,0.046127099901349375,-0.04016152920115597,0.002510307555553565,6.301644023376518e-06,0.0016129484277752626,0.9999936983559766,0.9983870515722247,0.4288556852008204,0.5497728748111139,0.3764550368535906,0.0931746507399797,0.14260054758878007,-0.5304650616478517,12.460174660248526,33.106953259822745,0.3763612605020254,0.9142689371697005,False,-0.26119550524595175,126,4.52337181270758e-06,0.2499999999999964
2001-03-27,70,28,112,0.05794839025787462,0.058267260617748715,-0.010532532109884696,0.02782593648096786,0.0007742827410429642,0.00011093423264574298,0.999225717258957,0.9998890657673543,0.4499731817415733,0.5114416191370825,0.3876973403027126,0.08154585290455547,0.1300375708906222,-0.5946558440295349,9.820556509253493,27.494818219682024,0.357178448345714,0.9308279506752789,False,-0.22819168122813183,125,2.172450851879243e-06,0.24999999999999567
2001-04-16,84,42,126,0.3218152841812866,0.32383947074559233,-0.029307658025440553,0.05032515589882759,0.0025326213162412126,0.0008589388189360614,0.9974673786837588,0.9991410611810639,0.5783307110017373,0.3180502546298222,0.37138482966292885,0.03301022980401003,0.07869590099264512,-1.383985251235218,7.156379487616505,23.573592376096098,0.3035761106513897,0.9382266588373459,False,-0.23295815959318866,124,1.947536551659912e-05,0.24999999999999617
2001-05-04,98,56,140,0.2889496861268594,0.28892685090849873,0.005472864785546051,0.032000846221119573,0.0010240541588677488,2.995224896074067e-05,0.9989759458411323,0.9999700477510393,0.5497728748111134,0.6902688514012442,0.36530243187419814,0.13792050236395412,0.17933851920326171,-0.3003035526220088,8.37908050155579,27.27287144583728,0.3072313275921927,0.9438637698179683,False,-0.18363414450864177,124,1.588333611345149e-05,0.2499999999999959
2001-05-24,112,70,154,0.12476084984649906,0.1245805248045515,-0.012582647482224558,-0.01645556073123206,0.00027078547897907423,0.00015832301766194323,0.9997292145210209,0.9998416769823381,0.511441619137083,0.7011640060972588,0.3766932367773826,0.1414145228749888,0.18825379511745868,-0.3312196745441489,7.855476284656788,24.838580144378852,0.3162610841278115,0.9500880798590722,False,-0.29562382672988785,125,1.5966515296137365e-06,0.24999999999999645
2001-06-13,126,84,168,0.11794309387076973,0.11793843570623294,-0.008085288151437033,-0.0010611314604278977,1.125999976148151e-06,6.537188449184939e-05,0.9999988740000239,0.9999346281155082,0.3180502546298225,0.6664883285823945,0.3795558765952302,0.13012741474177725,0.1765140976374595,-0.35647125540556734,10.201812152394268,28.428829755537606,0.35885445303660707,0.9453904873752202,False,-0.31982847022516364,123,3.9450153321909285e-06,0.249999999999996
2001-07-03,140,98,182,0.6523366991039531,0.6526457045999298,-0.014283903592099544,0.013069609793093896,0.00017081470014368438,0.0002040299018283287,0.9998291852998563,0.9997959700981717,0.690268851401244,0.6889747267558777,0.3691932753705557,0.13771829974168215,0.18295236856394195,-0.3284535817469809,10.111571958217155,29.653495658317482,0.34099089276784705,0.9482090428655314,False,-0.3148146033421854,122,1.0454239818235012e-07,0.24999999999999606
2001-07-23,154,112,196,0.232471287550943,0.23249989718556924,-0.0005997603775402535,0.013307215004597271,0.00017708197117849434,3.5971251033384277e-07,0.9998229180288215,0.9999996402874897,0.7011640060972586,0.6990793374280536,0.3686817040772099,0.14060365444775233,0.18356892929780808,-0.3055772271269197,9.753563653595393,35.484829701458075,0.274865730951912,0.9573693482090428,False,-0.21295717102494396,126,1.711201056507821e-06,0.249999999999996
2001-08-10,168,126,210,0.48847960929862205,0.48858793392541,-0.005171950648465711,0.012408383944322903,0.0001539679921097603,2.674907350996847e-05,0.9998460320078902,0.99997325092649,0.6664883285823945,0.6812051141240516,0.36574732403915333,0.13416174934762845,0.1772386635783579,-0.3210819360972421,8.176778764830942,34.42534163375673,0.23752208044358153,0.9573693482090428,False,-0.20643476228227467,125,7.898214423535838e-06,0.24999999999999578
2001-08-30,182,140,224,0.1572779131651085,0.15812080703487652,-0.027880936661355566,0.026096474705595403,0.0006810259920597694,0.0007773466291146613,0.9993189740079402,0.9992226533708853,0.6889747267558782,0.3896060077371117,0.35807834601237376,0.04890535858977696,0.09195577667457118,-0.8802801845479844,9.860579873767165,32.28825767570737,0.30539213273145865,0.9610099823840282,False,-0.19199305904127875,124,1.8195934512432854e-06,0.24999999999999545
2001-09-19,196,154,238,-0.1345702431268022,-0.13447708045867732,-0.02550896833947073,0.005445764077443405,2.9656346387185728e-05,0.000650707465744027,0.9999703436536128,0.999349292534256,0.6990793374280542,0.37270239141411,0.36216313998954897,0.04511149835584671,0.08883364845938087,-0.9692019041053979,10.986665068179718,28.108851122347573,0.3908614059094331,0.9657075748678802,False,-0.19101873755607887,124,5.07673792187696e-06,0.2499999999999964
2001-10-09,210,168,252,-0.3731327341676592,-0.3731516691659958,-0.001020339446470911,-0.007654159249599184,5.858615381826304e-05,1.0410925861403797e-06,0.9999414138461817,0.9999989589074139,0.6812051141240515,0.4903785175399146,0.36770886536374536,0.07587123461667893,0.11884541045421375,-0.5664093388574927,11.237078090840896,27.8741767387068,0.4031357839256576,0.9706400469759249,False,-0.1523137102716675,123,9.061736734433609e-08,0.249999999999996
2001-10-29,224,182,266,-0.22930071569918709,-0.22933612601971848,-0.02266258532341441,0.0010419994759696834,1.085762907693244e-06,0.0005135927735411272,0.9999989142370923,0.9994864072264589,0.3896060077371116,0.417728612071858,0.3726944406813405,0.05596060658403627,0.10212116831025453,-0.8248760073195196,9.94071817439385,25.36487925416973,0.3919087520497342,0.9689958896065767,False,-0.13198172969149635,121,3.179780601950056e-06,0.24999999999999595
2001-11-16,238,196,280,0.22889692153561964,0.22889698461973385,-4.930097888255243e-05,-0.000986851662303567,9.738762030142567e-07,2.430586509838406e-09,0.999999026123797,0.9999999975694135,0.3727023914141096,0.32267176486225113,0.3768007539633593,0.03394023794242296,0.07889912715221643,-1.3246486157835085,8.307079300647956,25.60936120636152,0.3243766696759475,0.9671168526130358,False,-0.16256676562238173,123,2.030377612077404e-07,0.24999999999999528
