,raw,standardised,T,N,null_mode1
,mode1,mode1,,,
5,0.34041402555538364,0.13787034052361583,60,26,8.121375278234934
10,0.8525834679824004,0.3307938339356467,60,26,8.121375278234934
15,1.519932564275961,0.596285166666212,60,26,8.121375278234934
20,2.2777684447315423,0.8974111413546336,60,26,8.121375278234934
25,3.0967485435211537,1.2375725891749831,60,26,8.121375278234934
30,3.986840521773168,1.6072771092910163,60,26,8.121375278234934
35,4.898656806137127,2.0046766095149393,60,26,8.121375278234934
40,5.810856414609615,2.410176878043533,60,26,8.121375278234934
45,6.73684094958398,2.818544605069043,60,26,8.121375278234934
50,7.631556302654601,3.221183886994599,60,26,8.121375278234934
55,8.473141980443843,3.605022600466827,60,26,8.121375278234934
60,9.240681117976868,3.967170094862722,60,26,8.121375278234934
65,9.715649051673246,4.19454570189955,60,26,8.121375278234934
70,10.081245139589068,4.4017185581649025,60,26,8.121375278234934
75,10.32293540508906,4.556316333081398,60,26,8.121375278234934
80,10.503108350023844,4.685760497289685,60,26,8.121375278234934
85,10.631388308845592,4.7891486071906275,60,26,8.121375278234934
90,10.68356586450595,4.846004740727186,60,26,8.121375278234934
95,10.674356160022246,4.8549789903867095,60,26,8.121375278234934
100,10.59193346142931,4.83687889580141,60,26,8.121375278234934
105,10.447991020552555,4.791707973226082,60,26,8.121375278234934
110,10.265798662142053,4.725329332885446,60,26,8.121375278234934
115,10.05455613573011,4.639773443392025,60,26,8.121375278234934
120,9.853354010025232,4.533319917100855,60,26,8.121375278234934
125,9.661593129505183,4.432685098988065,60,26,8.121375278234934
130,9.520689677257742,4.326830326423565,60,26,8.121375278234934
135,9.427129615754104,4.235802203790723,60,26,8.121375278234934
140,9.383834136916354,4.160067754545831,60,26,8.121375278234934
145,9.39409824767473,4.103361492476392,60,26,8.121375278234934
150,9.485105968971437,4.085472759519693,60,26,8.121375278234934
155,9.625046257710556,4.107264436203192,60,26,8.121375278234934
160,9.835993472809779,4.171685511036908,60,26,8.121375278234934
165,10.069560582723327,4.253114877163718,60,26,8.121375278234934
170,10.325751361576014,4.357743007997913,60,26,8.121375278234934
175,10.587701765269646,4.466784537161294,60,26,8.121375278234934
180,10.857420522184748,4.596854556874962,60,26,8.121375278234934
185,11.164535855950092,4.72816043239158,60,26,8.121375278234934
190,11.462837626419255,4.874995400794215,60,26,8.121375278234934
195,11.773958484265055,5.014960773267016,60,26,8.121375278234934
200,12.028321770786542,5.122852790470452,60,26,8.121375278234934
205,12.239697715856757,5.194249278965679,60,26,8.121375278234934
210,12.400732319454672,5.248751003807292,60,26,8.121375278234934
215,12.523255153821243,5.273407466195663,60,26,8.121375278234934
