date,start,past_start,future_start,component,cosine,positive_cosine,incoming_speed,outgoing_speed,erse_outgoing_cosine,outgoing_erse_attributed_fraction,outgoing_residual_energy_fraction,residual_cosine,positive_correlation_fraction,all_correlations_positive,erse_rotations
2001-08-06,42,0,84,market_1,0.244792363375581,True,0.10211543323895794,0.08126866611959793,-0.022132798187176485,0.000489860755594429,0.9995101392444056,0.24559078381331864,0.8689610675730967,False,309
2001-08-06,42,0,84,block_2_3,0.5030250448679232,True,0.29137734055893794,0.2854338024473771,,0.0,1.0,0.5030250448679232,0.8689610675730967,False,309
2001-08-06,42,0,84,block_4_6,0.23126142917298212,True,0.43231395584957116,0.41645410887525597,,0.0,1.0,0.23126142917298212,0.8689610675730967,False,309
2001-08-06,42,0,84,top_3,0.47029452977787656,True,0.2916974554653904,0.2941012229626402,-0.006602392681213827,4.3591589116931395e-05,0.9999564084108831,0.4703997721763767,0.8689610675730967,False,309
2001-08-06,42,0,84,top_6,0.029172234489343373,True,0.4300197772494485,0.41189509825103,-0.005640179093135173,3.1811620202604196e-05,0.9999681883797974,0.029209984744230578,0.8689610675730967,False,309
2001-08-06,42,0,84,flag_nested,0.2453799135013564,True,0.2638361834261027,0.2524137500271525,-0.009164558168851172,8.398912643015066e-05,0.9999160108735698,0.24553863291460581,0.8689610675730967,False,309
2001-08-24,56,14,98,market_1,-0.3854903736055392,False,0.13316230547370667,0.08945438790547391,-0.10351407759275234,0.010715164259878174,0.9892848357401218,-0.3878781388559968,0.8633902999402008,False,309
2001-08-24,56,14,98,block_2_3,0.13222052887840618,True,0.23798461664000897,0.30460129282472065,,0.0,1.0,0.13222052887840618,0.8633902999402008,False,309
2001-08-24,56,14,98,block_4_6,0.2289251806001247,True,0.43123973947112065,0.4504042948054411,,0.0,1.0,0.2289251806001247,0.8633902999402008,False,309
2001-08-24,56,14,98,top_3,0.21561003692365582,True,0.2231593991128988,0.3109277237918169,-0.02901853111365286,0.0008420751479941702,0.9991579248520058,0.21567806585799093,0.8633902999402008,False,309
2001-08-24,56,14,98,top_6,0.1448756522484426,True,0.4523415286872221,0.4407461383200946,-0.020697162794087575,0.00042837254772487565,0.9995716274522751,0.14489682208197568,0.8633902999402008,False,309
2001-08-24,56,14,98,flag_nested,0.07389584913266749,True,0.26159965946537145,0.2694506084554442,-0.04177989324671074,0.001745559479706671,0.9982544405202933,0.07389738530581638,0.8633902999402008,False,309
2001-09-20,70,28,112,market_1,-0.12466618898976635,False,0.09330777913212644,0.07680409734875902,0.07501867005159459,0.0056278008563099835,0.99437219914369,-0.12905564450934337,0.8798193434677242,False,305
