date,start,past_start,future_start,component,cosine,positive_cosine,incoming_speed,outgoing_speed,erse_outgoing_cosine,outgoing_erse_attributed_fraction,outgoing_residual_energy_fraction,residual_cosine,positive_correlation_fraction,all_correlations_positive,erse_rotations
2001-08-06,42,0,84,market_1,0.24479115959133932,True,0.10211549984000133,0.08126869884015961,-0.05479539990478757,0.0030025358507256295,0.9969974641492744,0.2486855643959862,0.8689610675730967,False,342
2001-08-06,42,0,84,block_2_3,0.5030251248838603,True,0.2913767031854908,0.28543473506268996,,0.0,1.0,0.5030251248838603,0.8689610675730967,False,342
2001-08-06,42,0,84,block_4_6,0.23126130800368838,True,0.4323161506647812,0.4164550522031977,,0.0,1.0,0.23126130800368838,0.8689610675730967,False,342
2001-08-06,42,0,84,top_3,0.47029481567963183,True,0.2916968032073234,0.2941021647964005,-0.01598835168053175,0.00025562738946027785,0.9997443726105397,0.4707685188696751,0.8689610675730967,False,342
2001-08-06,42,0,84,top_6,0.029171958515994714,True,0.43002202317553256,0.4118956690974433,-0.01202170289201515,0.00014452134042397535,0.999855478659576,0.02932727320845538,0.8689610675730967,False,342
2001-08-06,42,0,84,flag_nested,0.24537919210957423,True,0.2638365789221812,0.25241428160999,-0.022144550840819576,0.000490381131941664,0.9995096188680583,0.24612087161220952,0.8689610675730967,False,342
2001-08-24,56,14,98,market_1,-0.385488986381441,False,0.13316237608777215,0.08945435895061774,-0.13248735140862727,0.017552898283273,0.982447101716727,-0.38597432011513566,0.8633902999402008,False,338
2001-08-24,56,14,98,block_2_3,0.1322206606365111,True,0.23798369137896838,0.304603290179647,,0.0,1.0,0.1322206606365111,0.8633902999402008,False,338
2001-08-24,56,14,98,block_4_6,0.22892388814818074,True,0.43124222470416695,0.45040545643406893,-0.008872408923873159,7.871964011230137e-05,0.9999212803598877,0.22923969764652347,0.8633902999402008,False,338
2001-08-24,56,14,98,top_3,0.2156101045045133,True,0.22315844348763275,0.3109296934228258,-0.03725428811961128,0.0013878819832989775,0.998612118016701,0.21632040000557518,0.8633902999402008,False,338
2001-08-24,56,14,98,top_6,0.14487506574385003,True,0.4523442491650857,0.44074602845839894,-0.02676603106737825,0.0007164204190999168,0.9992835795809001,0.14508703901388492,0.8633902999402008,False,338
