n_triples,mean_cosine,median_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,static_loss,constant_velocity_loss,constant_velocity_skill,null_mean_cosine_mean,null_mean_cosine_q05,null_mean_cosine_q95,p_upper_mean_cosine,null_positive_fraction_mean,null_positive_fraction_q05,null_positive_fraction_q95,p_upper_positive_fraction,null_constant_velocity_skill_mean,null_constant_velocity_skill_q05,null_constant_velocity_skill_q95,p_upper_constant_velocity_skill,mode,label,N,days,T,P,step,horizon,block_size,shuffles
180,0.07453056419874296,0.09473999270107794,0.5888888888888889,0.6534735823103184,0.6517995023002113,0.13198138104111948,0.20664608444933005,-0.565721489040552,0.013344753506378228,-0.04113148070634024,0.08005547350866236,0.07,0.5212121212121212,0.4438888888888889,0.6233333333333333,0.09,-0.6842681014882581,-0.7821297577464246,-0.5700869079081602,0.06,raw,cac40,26,2842,250,3,14,42,21,99
180,0.07284337270596432,0.09056591392918281,0.5888888888888889,0.6086522137383051,0.6044849767368128,0.11423204515899046,0.1844712194058169,-0.6148815260119533,0.018547357298789185,-0.0400508236827681,0.07592302182440078,0.07,0.5291245791245791,0.45,0.6005555555555555,0.15,-0.6425195820871042,-0.740386284418394,-0.5246784915273237,0.35,standardised,cac40,26,2842,250,3,14,42,21,99
