,raw,standardised,T,N,null_mode1
,mode1,mode1,,,
5,0.12054231235919224,0.03733588129455262,125,29,3.9497204956141854
10,0.3098691303688798,0.09107627088440254,125,29,3.9497204956141854
15,0.5661022429938872,0.16701009880899143,125,29,3.9497204956141854
20,0.8591714406572184,0.25610461075281615,125,29,3.9497204956141854
25,1.1704641633880315,0.3553969397586449,125,29,3.9497204956141854
30,1.5072084510714587,0.4665706923290588,125,29,3.9497204956141854
35,1.8646178614026176,0.5904861082183444,125,29,3.9497204956141854
40,2.2266063148425417,0.7212013553810701,125,29,3.9497204956141854
45,2.596970938868635,0.8558871205226658,125,29,3.9497204956141854
50,2.9370745584260827,0.9920081142700381,125,29,3.9497204956141854
55,3.26487294343735,1.129077034608234,125,29,3.9497204956141854
60,3.579856084908061,1.2681384342407034,125,29,3.9497204956141854
65,3.878605213653738,1.404544105444594,125,29,3.9497204956141854
70,4.173953440462201,1.5421655525025066,125,29,3.9497204956141854
75,4.467319428077847,1.6794851949935576,125,29,3.9497204956141854
80,4.750660016677864,1.815058236354263,125,29,3.9497204956141854
85,5.029319786032967,1.9471882062004455,125,29,3.9497204956141854
90,5.302016566584308,2.0754099197056353,125,29,3.9497204956141854
95,5.566297434231685,2.1986926196378245,125,29,3.9497204956141854
100,5.81777411498952,2.3178305543685793,125,29,3.9497204956141854
105,6.065273523036214,2.432217112602672,125,29,3.9497204956141854
110,6.301307684983098,2.5370824047756,125,29,3.9497204956141854
115,6.52393362958789,2.6349569202634933,125,29,3.9497204956141854
120,6.734050792993218,2.71896480489851,125,29,3.9497204956141854
125,6.925352245462053,2.7932597054662582,125,29,3.9497204956141854
130,7.02608772132396,2.829216198093541,125,29,3.9497204956141854
135,7.108934560692044,2.8566125766641246,125,29,3.9497204956141854
140,7.156930129306342,2.876014041085105,125,29,3.9497204956141854
145,7.187620551667925,2.888228592475592,125,29,3.9497204956141854
150,7.213639668116307,2.8978525323005853,125,29,3.9497204956141854
155,7.220921497898382,2.902751189367511,125,29,3.9497204956141854
160,7.215524135217101,2.903163953425383,125,29,3.9497204956141854
165,7.195296127924095,2.8985712365812244,125,29,3.9497204956141854
170,7.164564414091008,2.895569171163667,125,29,3.9497204956141854
175,7.136431485335929,2.891988098376097,125,29,3.9497204956141854
180,7.106294416834338,2.885374979944606,125,29,3.9497204956141854
185,7.082140486407865,2.8795084786996785,125,29,3.9497204956141854
190,7.087977711656963,2.8755557670214555,125,29,3.9497204956141854
195,7.096296449223914,2.8720574996493067,125,29,3.9497204956141854
200,7.098524049494059,2.867042707140219,125,29,3.9497204956141854
205,7.122869668828527,2.8636544073585375,125,29,3.9497204956141854
210,7.158320795746129,2.8668076761659465,125,29,3.9497204956141854
215,7.205949226010904,2.876252498751855,125,29,3.9497204956141854
220,7.27240378376025,2.891430931889035,125,29,3.9497204956141854
225,7.359244348348596,2.9134462177034894,125,29,3.9497204956141854
230,7.458097236363422,2.939838482309361,125,29,3.9497204956141854
235,7.563774235567806,2.9714753273040646,125,29,3.9497204956141854
240,7.6697739990435,3.0075760297859095,125,29,3.9497204956141854
245,7.764296376647143,3.0495078901272437,125,29,3.9497204956141854
250,7.858193520505186,3.1020467124303743,125,29,3.9497204956141854
255,7.948312900315904,3.1615191789707775,125,29,3.9497204956141854
260,8.031226792181638,3.2243142591261793,125,29,3.9497204956141854
265,8.108092501825693,3.285887929673179,125,29,3.9497204956141854
270,8.181633541641716,3.348697155214137,125,29,3.9497204956141854
275,8.242882232651757,3.413069981951336,125,29,3.9497204956141854
280,8.319256528296284,3.4847710537097334,125,29,3.9497204956141854
285,8.397441732934706,3.5570889414895093,125,29,3.9497204956141854
290,8.484411462755752,3.6342048688511457,125,29,3.9497204956141854
295,8.577480374687479,3.7120715113611347,125,29,3.9497204956141854
300,8.683566362489573,3.7925745076963757,125,29,3.9497204956141854
305,8.789092064954772,3.8781199813444616,125,29,3.9497204956141854
310,8.889297345394043,3.9609242787885304,125,29,3.9497204956141854
315,8.966296959187376,4.041692426436842,125,29,3.9497204956141854
320,9.008875219778544,4.121772532229083,125,29,3.9497204956141854
325,9.056085695314474,4.206898020688244,125,29,3.9497204956141854
330,9.083380238191406,4.287978919269982,125,29,3.9497204956141854
335,9.117532521387949,4.36922155232649,125,29,3.9497204956141854
340,9.149516608709957,4.444926523338936,125,29,3.9497204956141854
345,9.173360223039484,4.516916097046144,125,29,3.9497204956141854
350,9.189979136804496,4.580984598510096,125,29,3.9497204956141854
355,9.193905385563701,4.63740598436164,125,29,3.9497204956141854
360,9.189931966308361,4.689660140665287,125,29,3.9497204956141854
365,9.201908322065453,4.739172881404944,125,29,3.9497204956141854
370,9.229117310534573,4.786942649965826,125,29,3.9497204956141854
375,9.266847586954611,4.831753871622253,125,29,3.9497204956141854
380,9.308621828417929,4.877420449125329,125,29,3.9497204956141854
385,9.353346650447303,4.924378489775953,125,29,3.9497204956141854
390,9.416059602493426,4.973988758185932,125,29,3.9497204956141854
395,9.486064532714277,5.024829437878863,125,29,3.9497204956141854
400,9.592362383184124,5.075121070112564,125,29,3.9497204956141854
405,9.715919182708145,5.1209520952701775,125,29,3.9497204956141854
410,9.847222804043696,5.167893700048535,125,29,3.9497204956141854
415,9.995508106928781,5.216279432185239,125,29,3.9497204956141854
420,10.146680419950432,5.269558125014049,125,29,3.9497204956141854
425,10.3039340457028,5.321932895027021,125,29,3.9497204956141854
430,10.476260074486369,5.376860260464825,125,29,3.9497204956141854
435,10.668230068332845,5.433876208697431,125,29,3.9497204956141854
440,10.870524954347143,5.488439142713395,125,29,3.9497204956141854
445,11.067953461907619,5.545227920106857,125,29,3.9497204956141854
450,11.253418810427165,5.5981291574133945,125,29,3.9497204956141854
455,11.443614127574737,5.655910822780389,125,29,3.9497204956141854
460,11.60484571793274,5.711643125797318,125,29,3.9497204956141854
465,11.75379247378882,5.7706652020719575,125,29,3.9497204956141854
470,11.898037632480277,5.830268185765607,125,29,3.9497204956141854
475,12.02617699704568,5.895237840437781,125,29,3.9497204956141854
480,12.155613044022342,5.961650760205279,125,29,3.9497204956141854
485,12.301301577305129,6.039544512736626,125,29,3.9497204956141854
490,12.44209961201014,6.120696495140129,125,29,3.9497204956141854
495,12.582433865133394,6.207400676546891,125,29,3.9497204956141854
500,12.722100632228976,6.297667655424207,125,29,3.9497204956141854
505,12.865661773639992,6.385193508737327,125,29,3.9497204956141854
510,13.020165258569342,6.470245113760428,125,29,3.9497204956141854
515,13.180220379221018,6.554867323713737,125,29,3.9497204956141854
