source,cell,n_null,null_mean,null_sd,null_q95,mde_normal_excess,mde_q95_excess,p_floor,observed,excess,z,powered_ratio
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,cac40_full_T750_h42_step14,99,0.045849484540435095,0.020552320421328887,0.08131123227809291,0.03380856709308602,0.03546174773765781,0.01,0.0844646743787792,0.03861518983834411,1.8788725091240719,1.0889251743601338
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,dax_full_T750_h42_step14,99,0.04028668479424824,0.020179781677242076,0.071509397296919,0.03319574085906322,0.031222712502670766,0.01,0.1172076058195391,0.07692092102529086,3.811781626559374,2.4636207061994084
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,nikkei_full_T131_h14_step14,21,0.039546140988266594,0.012044350142599247,0.0538792937168207,0.01981295598457576,0.014333152728554108,0.045454545454545456,,,,
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,nikkei_full_T750_h42_step14,107,0.05197605713053224,0.019247611868188602,0.07904845109640085,0.03166232152317025,0.027072393965868614,0.009259259259259259,0.0856410738509381,0.03366501672040586,1.7490490223384831,1.243518277801692
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,sp500_full_T1008_h112_step14,99,0.0333132760650816,0.03575771512879446,0.09252503840312501,0.05882144138686688,0.05921176233804341,0.01,0.2480145793847302,0.2147013033196486,6.0043350797533765,3.625990763353847
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,sp500_full_T1008_h42_step14,99,0.07867956077092002,0.02202983024785615,0.1142552212510183,0.03623907075772337,0.035575660480098276,0.01,0.1824399271979406,0.10376036642702059,4.70999391550546,2.9166111050859107
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,sp500_full_T357_h42_step14,99,0.05635691244159145,0.014030457239882336,0.07699096653365456,0.023080102159606444,0.020634054092063106,0.01,0.0977349507174272,0.04137803827583575,2.949158218323522,2.0053276050949105
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,sp500_full_T500_h42_step14,99,0.06823026759301679,0.01636868766721631,0.09229773993930439,0.02692649121257083,0.024067472346287602,0.01,0.1274906850947631,0.05926041750174632,3.620352389057727,2.462261788404515
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,sp500_full_T500_h56_step14,99,0.04599867781716857,0.01973655019951491,0.0770246002193414,0.03246662507820203,0.031025922402172834,0.01,0.134711796541947,0.08871311872477844,4.494864493945799,2.8593225231094372
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,sp500_full_T750_h42_step14,99,0.08158088390208336,0.018509153716887237,0.10961729820691725,0.030447557864279506,0.02803641430483389,0.01,0.1422816486956387,0.06070076479355534,3.27949973953556,2.1650687614175266
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\alarm2_window_sweep,sp500_full_T750_h84_step14,99,0.03755361586133642,0.026621342856303746,0.07664288502821896,0.04379210899861966,0.039089269166882545,0.01,0.1922888503729792,0.15473523451164278,5.812450384147416,3.9585092740167815
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\regime4_9,cac40_full_T250_h42_step14,99,0.017597006914388657,0.014179873393729952,0.0401509056253292,0.02332589173268577,0.022553898710940542,0.01,0.0168708405445918,-0.0007261663697968566,-0.05121106159649863,-0.03219693318231516
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\regime4_9,dax_full_T250_h42_step14,99,0.014676763998351855,0.013660686067898966,0.03926798439881947,0.0224718285816938,0.024591220400467614,0.01,0.0200291599918521,0.005352395993500247,0.39181018924648003,0.21765475264491013
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\regime4_9,nikkei_full_T250_h42_step14,99,0.01902725763167039,0.010787521293979474,0.03454208511060666,0.017745472528596234,0.015514827478936274,0.01,0.035780310279028,0.01675305264735761,1.5530029736031672,1.0798091483841772
C:\Users\Adarsh Arun\Downloads\Eigenvector Dynamics Beyond the RMT Null\results\regime4_9,sp500_full_T357_h42_step14,99,0.05635691244159145,0.014030457239882336,0.07699096653365456,0.023080102159606444,0.020634054092063106,0.01,0.0977349507174272,0.04137803827583575,2.949158218323522,2.0053276050949105
