component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_abs_cross_correlation,original_mean_abs_cross_correlation,median_relative_spectrum_error,median_abs_lag1_error,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,450,0.034049626050962255,0.04836127753891049,-0.17546851013918452,0.2446938316411908,0.5644444444444444,0.8708228063884879,0.871857447856776,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
block_2_3,450,0.008760450690804274,0.011152881245103247,-0.13392349563583153,0.14589620529629668,0.5177777777777778,1.4602521246246043,1.4610428580408856,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
block_4_6,450,0.021671555154818323,0.010016426666991332,-0.07598935371253204,0.12321981178373839,0.5377777777777778,1.8696968901971442,1.8706795576711017,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
top_3,450,0.02879852800960398,0.029181377271767076,-0.0846268415595123,0.13770303709409423,0.5777777777777777,1.4368577330630903,1.437901346435652,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
top_6,450,0.03452010342499857,0.03880064569558757,-0.03305637871198796,0.1005970267269564,0.6377777777777778,1.8686858708858916,1.869339435405987,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
flag_nested,450,0.029166775042982516,0.03608275665654196,-0.05947145827014545,0.1138739283240162,0.6111111111111112,1.4464673273446667,1.4476736455879338,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
market_1,450,0.034049626050962255,0.04836127753891049,-0.17546851013918452,0.2446938316411908,0.5644444444444444,0.8708228063884879,0.871857447856776,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
block_2_3,450,0.008760450690804274,0.011152881245103247,-0.13392349563583153,0.14589620529629668,0.5177777777777778,1.4602521246246043,1.4610428580408856,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
block_4_6,450,0.021671555154818323,0.010016426666991332,-0.07598935371253204,0.12321981178373839,0.5377777777777778,1.8696968901971442,1.8706795576711017,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
top_3,450,0.02879852800960398,0.029181377271767076,-0.0846268415595123,0.13770303709409423,0.5777777777777777,1.4368577330630903,1.437901346435652,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
top_6,450,0.03452010342499857,0.03880064569558757,-0.03305637871198796,0.1005970267269564,0.6377777777777778,1.8686858708858916,1.869339435405987,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
flag_nested,450,0.029166775042982516,0.03608275665654196,-0.05947145827014545,0.1138739283240162,0.6111111111111112,1.4464673273446667,1.4476736455879338,0,0.010530494605096677,0.38117296246498866,0.0007651818860846813,0.00029418488216387956,0.04067697045319869,0.026394976736517195,0.02164316268962066
