component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,464,0.028567768201675427,0.027186811571439144,-0.28736880847393464,0.34590609601670047,0.521551724137931,0.30538739703779477,0.3032293139539995,0,0.1927849989577723,0.09054719739502776,0.0618986191800725
block_2_3,464,0.05958478235579502,0.08539973872586012,-0.20966430396228128,0.3444547270119439,0.584051724137931,0.7514876952683733,0.7522794105544368,0,0.1927849989577723,0.09054719739502776,0.0618986191800725
block_4_6,464,0.026660788313443103,0.0235151408454641,-0.1705015128042912,0.2172954251757641,0.5301724137931034,1.1368394938708746,1.139255793867808,0,0.1927849989577723,0.09054719739502776,0.0618986191800725
top_3,464,0.05298986483749407,0.07531761733971382,-0.20705967359756003,0.34256448346867174,0.5797413793103449,0.7100398630187568,0.7129268566485524,0,0.1927849989577723,0.09054719739502776,0.0618986191800725
top_6,464,0.010377710073527174,-0.00047659105606370127,-0.16823960297976737,0.17204705223113048,0.4978448275862069,0.9723996959101697,0.9738290098081113,0,0.1927849989577723,0.09054719739502776,0.0618986191800725
flag_nested,464,0.04347000210510095,0.03954427798482697,-0.10921394527080748,0.2457244802936294,0.5581896551724138,0.6828273126870148,0.6827953459542024,0,0.1927849989577723,0.09054719739502776,0.0618986191800725
market_1,464,-0.01090384893946607,-0.0325499140227134,-0.3511760868686612,0.34191502117996736,0.4676724137931034,0.31442950629262983,0.31479094161856397,1,0.19033277871633672,0.0962532283129111,0.06626052517338624
block_2_3,464,0.008837409636162459,0.017654166680866876,-0.2738581620098195,0.2951817858336291,0.5280172413793104,0.7324173607163654,0.730626621537946,1,0.19033277871633672,0.0962532283129111,0.06626052517338624
block_4_6,464,0.016307789547024092,0.020553038138215914,-0.16064589334642826,0.2227007419389227,0.5323275862068966,1.125461047733169,1.1223549191415387,1,0.19033277871633672,0.0962532283129111,0.06626052517338624
top_3,464,0.022947315761937575,0.020876561165577685,-0.2100143925738326,0.26777297113421533,0.521551724137931,0.6800686627634637,0.6780932072562952,1,0.19033277871633672,0.0962532283129111,0.06626052517338624
top_6,464,0.020526305002821387,0.022823296174118685,-0.15554351898691096,0.222414208418855,0.5538793103448276,0.9891439612342375,0.9867672137674471,1,0.19033277871633672,0.0962532283129111,0.06626052517338624
flag_nested,464,0.006333700397150532,0.008430466332380242,-0.17994254003380358,0.18928510024034692,0.5107758620689655,0.6849695575965646,0.6837870892919247,1,0.19033277871633672,0.0962532283129111,0.06626052517338624
market_1,464,0.03131121133508814,0.04077321886811882,-0.27635323928961875,0.3470107812915697,0.5258620689655172,0.29309063853799544,0.292423632979217,2,0.20683754727485976,0.09393337847412403,0.06508327309986776
