component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,null_mean_cosine_mean,null_mean_cosine_median,null_mean_cosine_q25,null_mean_cosine_q75,null_mean_cosine_q95,p_upper_mean_cosine,observed_mean_relative_gap_1,observed_mean_relative_gap_3,observed_mean_relative_gap_6
market_1,462,0.1803804461315579,0.1836615076498384,0.02990535213279808,0.351303129727213,0.7835497835497836,0.059858367787574446,0.05989238970066481,0.05387063172368975,0.0552493281132345,0.039866852011068654,0.06969760751661175,0.0857147667827779,0.01,0.737770769696901,0.16618818945537397,0.06986839624770394
block_2_3,462,0.09802348885706876,0.1113208425189084,-0.10472663717671296,0.32236765978478665,0.6363636363636364,0.4604938236297725,0.45908015475397057,0.029927527683520413,0.0299350263325126,0.01950065361642945,0.03942111074549085,0.0529226723988041,0.01,0.737770769696901,0.16618818945537397,0.06986839624770394
block_4_6,462,0.040978736682937444,0.052055881171321414,-0.18548742223990716,0.2548832801532165,0.5670995670995671,0.9809122981341295,0.9814089777661117,0.019559371273229934,0.0190971537422073,0.013530589536616549,0.0259578558573628,0.03425393957673428,0.05,0.737770769696901,0.16618818945537397,0.06986839624770394
top_3,462,0.09729317779567347,0.11771197880985512,-0.10512673553903315,0.3188217501525658,0.6363636363636364,0.4626197926165708,0.46119975437231514,0.04553775594487309,0.0451866992258934,0.03641022778202,0.0537115349702518,0.07081688888265968,0.01,0.737770769696901,0.16618818945537397,0.06986839624770394
top_6,462,0.03857211444312177,0.04734964829094014,-0.1773536526851113,0.23848068824833807,0.5735930735930735,0.9104315202170894,0.9109098711722179,0.04249389813337032,0.0417770516333344,0.03635333131599445,0.0480101334400536,0.05737767826550139,0.68,0.737770769696901,0.16618818945537397,0.06986839624770394
flag_nested,462,0.05614575919406971,0.06587653289973822,-0.13981863883193343,0.24307526430008863,0.5974025974025974,0.4788172544535785,0.4784195928347062,0.042031325200980546,0.0424588188651965,0.0344719205805779,0.0499347757389252,0.05791033575175319,0.07,0.737770769696901,0.16618818945537397,0.06986839624770394
