component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,null_mean_cosine_mean,null_mean_cosine_median,null_mean_cosine_q25,null_mean_cosine_q75,null_mean_cosine_q95,p_upper_mean_cosine,leading_share,spike_ratio,leading_participation,participation_fraction,effective_rank,null_leading_share_mean,null_leading_share_q95,p_upper_leading_share,p_holm_leading_share,observed_mean_relative_gap_1,observed_mean_relative_gap_3,observed_mean_relative_gap_6
market_1,462,0.12693299593098029,0.17294559308145796,-0.1934609514047372,0.496922673771289,0.6168831168831169,0.28661827187173217,0.28479343209331015,0.02084040659128359,0.0177764134920213,0.0003728506807259,0.043370833807590395,0.07672463445220581,0.01,0.2974014474296196,8.62464197545897,9.343825827569189,0.3222008906058341,6.232060394337104,0.1265408638721011,0.16998538746065814,0.001,0.003,0.22147091488665321,0.13007854004478941,0.07013084461051775
block_2_3,462,0.0766517270308425,0.09459686031735881,-0.14584685861664803,0.30807531583078485,0.6255411255411255,0.5740231584427657,0.5696005650253897,0.0020609267553462957,0.0045272999033434,-0.01681913766996035,0.0199495827225467,0.038406730789547636,0.01,0.1482776537087974,4.300051957555124,14.238719357924136,0.4909903226870392,11.7269120593136,0.07383735205425528,0.0875508507896521,0.001,,0.22147091488665321,0.13007854004478941,0.07013084461051775
block_4_6,462,0.05059413182227158,0.05874240015236007,-0.1522064148888793,0.256748161221767,0.5887445887445888,0.9875123817544486,0.9855010711201719,0.009377060550899506,0.0081028196607363,0.00153796787497475,0.01807007937374015,0.03338610443289817,0.01,0.08875063828426724,2.57376851024375,12.568887537914849,0.433409915100512,18.773778215257593,0.05460954461974214,0.05803289669026734,0.001,,0.22147091488665321,0.13007854004478941,0.07013084461051775
top_3,462,0.07247842230658184,0.0768764495222939,-0.13348675453244846,0.29392818118593006,0.6038961038961039,0.525431954607549,0.5208260021733738,0.0022916525273856425,0.0032303431943237,-0.0103192901767878,0.0189911601079071,0.030601300659918743,0.01,0.1676140567691033,4.8608076463039955,8.508395808145046,0.2933929589015533,12.452556625610155,0.07266085729323378,0.08687756037104433,0.001,,0.22147091488665321,0.13007854004478941,0.07013084461051775
top_6,462,0.06025729541733071,0.08349418115661243,-0.13452641021847603,0.24717899333022947,0.6038961038961039,0.9133655223098412,0.9138559043607599,0.0168219078332804,0.0159087129481648,0.005412067538805999,0.02774102940836045,0.04596173088461589,0.01,0.0900429450944359,2.6112454077386413,8.349890373778067,0.2879272542682092,18.850638485022895,0.05988409424900453,0.0634789357300755,0.001,0.003,0.22147091488665321,0.13007854004478941,0.07013084461051775
flag_nested,462,0.06573823398991757,0.07593461915902713,-0.0970623318582203,0.23360858701885004,0.6190476190476191,0.5907264773332408,0.5883219365148186,0.008725028789050099,0.0083136693596181,-0.0032227591106088,0.02049718637064045,0.03505262066955432,0.01,0.11418816238219336,3.311456709083607,9.594510037839074,0.33084517371858874,16.610160243119307,0.06655738903930893,0.08323956395645042,0.006,0.006,0.22147091488665321,0.13007854004478941,0.07013084461051775
