start,component,cosine,positive_cosine,incoming_speed,outgoing_speed
42,market_1,0.009421153552668714,True,0.11040060297302963,0.18153733937617827
42,block_2_3,-0.14504733062423805,False,0.4790780243446928,0.3854796018525395
42,block_4_6,-0.17433832179756573,False,0.8894196019448367,1.382743536317556
42,top_3,-0.11042294338407194,False,0.49004302366111124,0.40399991561329607
42,top_6,-0.10984843142762495,False,0.878285071683435,1.397572843542724
42,flag_nested,-0.09793630329014485,False,0.46989338436867367,0.6425699119117814
56,market_1,-0.014429061795622632,False,0.1107113462028346,0.1911186185163742
56,block_2_3,-0.19647330150156952,False,0.5284692495610158,0.44899029468629303
56,block_4_6,-0.045783023870725185,False,1.370119846106596,1.3518846852465034
56,top_3,-0.1635756639291148,False,0.5337843633078778,0.4734990006463623
56,top_6,-0.030932508912763664,False,1.415904751452596,1.3499480786905118
56,flag_nested,-0.0559392186225375,False,0.6643517857378342,0.6441946367944055
70,market_1,0.3425919806793828,True,0.11418744863865887,0.21864128302255068
70,block_2_3,-0.5059192982726847,False,0.4908591669698324,1.1792342084040577
70,block_4_6,-0.17960590567340481,False,0.9467766674510201,1.6580823650070753
70,top_3,-0.4898841390781058,False,0.49943924144976026,1.198946837352436
70,top_6,-0.00430965082431227,False,0.9559227385874893,1.2169896599811905
70,flag_nested,-0.20539225707566175,False,0.4984810318203471,0.8796623342649187
84,market_1,0.20480882350422092,True,0.18153733937617833,0.19958655707801665
84,block_2_3,0.21940898149528532,True,0.38547960185253916,1.1358791189663267
84,block_4_6,0.43615998588917837,True,1.382743536317556,1.7312243359504194
84,top_3,0.22670940267833872,True,0.4039999156132961,1.1539424239946003
84,top_6,0.500816263502757,True,1.3975728435427244,1.3378739182970392
84,flag_nested,0.34971457955588936,True,0.6425699119117814,0.88431533022692
98,market_1,0.21866666020577102,True,0.19111861851637418,0.19875930031106534
98,block_2_3,0.3964923503309288,True,0.4489902946862928,0.6260314659732372
98,block_4_6,0.63766598979135,True,1.3518846852465036,1.6235385901362396
98,top_3,0.43367936094339615,True,0.4734990006463621,0.6454572041402575
98,top_6,0.5598059921833378,True,1.349948078690512,1.5401266183137554
98,flag_nested,0.5051247651839869,True,0.6441946367944055,0.7574355376259801
112,market_1,0.3087323065506863,True,0.2186412830225507,0.20453161006110002
112,block_2_3,-0.4337613642697306,False,1.179234208404057,0.606748865873315
112,block_4_6,0.04900922247133562,True,1.658082365007075,1.4468676340690672
112,top_3,-0.4155025363513047,False,1.198946837352436,0.6280457193985001
112,top_6,0.043583280899897096,True,1.2169896599811911,1.5269250315727543
112,flag_nested,-0.11675266017742791,False,0.8796623342649189,0.7495978900315078
126,market_1,0.18188844568009693,True,0.19958655707801662,0.2001437473618422
126,block_2_3,-0.38687836282096827,False,1.1358791189663262,0.5275145836416065
126,block_4_6,-0.07730421664686135,False,1.7312243359504198,0.9616218240962835
126,top_3,-0.3520409970115866,False,1.153942423994599,0.5347061819840944
126,top_6,0.0135060215963258,True,1.33787391829704,1.017812441184144
126,flag_nested,-0.12647895173971127,False,0.8843153302269197,0.5549937965391276
140,market_1,0.45948881336478314,True,0.1987593003110654,0.1938759606803785
