component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,null_mean_cosine_mean,null_mean_cosine_median,null_mean_cosine_q25,null_mean_cosine_q75,null_mean_cosine_q95,p_upper_mean_cosine,leading_share,spike_ratio,leading_participation,participation_fraction,effective_rank,null_leading_share_mean,null_leading_share_q95,p_upper_leading_share,p_holm_leading_share,observed_mean_relative_gap_1,observed_mean_relative_gap_3,observed_mean_relative_gap_6
market_1,464,0.16644643034414336,0.19231980253969536,-0.08953967699082498,0.4277517413832122,0.6896551724137931,0.2412045442391733,0.24179139683254275,0.021927369113298706,0.0183418464486475,0.0040326911174623,0.040265249615837204,0.07291689936099438,0.01,0.23040026730847005,5.299206148094811,13.490555889152823,0.5865459082240357,8.725296373830966,0.12954622351055067,0.15673335327384358,0.002,0.004,0.2543641861825496,0.11663692633311987,0.058505163755529145
block_2_3,464,0.10348113317383376,0.11314190697141438,-0.10640113468127325,0.33954734972838574,0.6271551724137931,0.604372516418118,0.6036131029840287,0.02822788477906019,0.0293707447825599,0.0097652070305416,0.0460843378870751,0.06653830710152837,0.01,0.12082421501522447,2.778956945350163,7.119819393062602,0.3095573649157653,13.587497700372719,0.0779190623297644,0.08680154410293096,0.004,,0.2543641861825496,0.11663692633311987,0.058505163755529145
block_4_6,464,0.03192433600713028,0.016919731242983932,-0.15324296939347548,0.2135195127824448,0.5344827586206896,1.1001986136904123,1.0965777524035807,0.020485651275760654,0.0194244772291226,0.00782649249333265,0.0296693056802686,0.05270911173434051,0.25,0.09523349064312277,2.1903702847918236,4.800985184847812,0.20873848629773092,17.135514774893736,0.06576803098860858,0.06924527138847845,0.001,,0.2543641861825496,0.11663692633311987,0.058505163755529145
top_3,464,0.09742570055237752,0.11221576609390582,-0.0904096279590994,0.3013201115377397,0.6443965517241379,0.581857989769418,0.5807914439210625,0.03160646112507832,0.030064044066623,0.0156737954442318,0.0482165672575175,0.06922235687718008,0.01,0.12597826838225237,2.8975001727918044,4.964392954613485,0.21584317193971675,14.387794646868477,0.07945825734448328,0.09008713604696102,0.002,,0.2543641861825496,0.11663692633311987,0.058505163755529145
top_6,464,0.019986507033229108,0.01840172547320366,-0.15929972582682275,0.2021780231949339,0.5237068965517241,1.0168643977384004,1.0133454049827293,0.023593919826744247,0.0238943017273637,0.012839300961416,0.03381939953132715,0.047316984965357196,0.63,0.09469639183665297,2.1780170122430182,5.282202131089554,0.22966096222128496,17.522723822421806,0.07190877963146453,0.07618250860345165,0.001,0.003,0.2543641861825496,0.11663692633311987,0.058505163755529145
flag_nested,464,0.0637229102441572,0.05720635446148887,-0.07143937093888295,0.21649452917001583,0.625,0.6126504679972764,0.6114629645308077,0.022711177090195114,0.02257732495319,0.009398154663201801,0.0360362290846928,0.046932576456052325,0.02,0.08916308592364383,2.0507509762438083,4.0180186340841715,0.17469646235148573,17.35184253594308,0.06964978452061396,0.08034708865359119,0.017,0.017,0.2543641861825496,0.11663692633311987,0.058505163755529145
