component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_abs_cross_correlation,original_mean_abs_cross_correlation,median_relative_spectrum_error,median_abs_lag1_error,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,462,0.030872677292318268,0.06576360020398597,-0.284606326918466,0.3484984413961114,0.551948051948052,0.7932674412144555,0.7960917705183586,0,0.010506554842088189,0.3698679457331794,0.0006608783403215771,4.564290336084298e-05,0.053797906426209505,0.03979960971641492,0.03483457821084476
block_2_3,462,0.0037456477659446544,-0.0013164322768032433,-0.18298693975527966,0.1964403530703485,0.5,1.2991087310403686,1.297820909614136,0,0.010506554842088189,0.3698679457331794,0.0006608783403215771,4.564290336084298e-05,0.053797906426209505,0.03979960971641492,0.03483457821084476
block_4_6,462,0.010465043302724101,0.012013544082231986,-0.12245404697424975,0.14165800969168338,0.5238095238095238,1.6504771207392692,1.6461277763414388,0,0.010506554842088189,0.3698679457331794,0.0006608783403215771,4.564290336084298e-05,0.053797906426209505,0.03979960971641492,0.03483457821084476
top_3,462,0.032093421100198624,0.043126739745208864,-0.1042272303479953,0.17874153388194086,0.5952380952380952,1.2000193784647393,1.197313695411156,0,0.010506554842088189,0.3698679457331794,0.0006608783403215771,4.564290336084298e-05,0.053797906426209505,0.03979960971641492,0.03483457821084476
top_6,462,0.036568739135613225,0.031191171653000064,-0.06682945030714627,0.13573886009040742,0.5930735930735931,1.4878370349273795,1.4844047898636945,0,0.010506554842088189,0.3698679457331794,0.0006608783403215771,4.564290336084298e-05,0.053797906426209505,0.03979960971641492,0.03483457821084476
flag_nested,462,0.02400026414379906,0.031345405342337075,-0.1081002659024507,0.15499861338611465,0.5714285714285714,1.2493948660701637,1.2494218915792017,0,0.010506554842088189,0.3698679457331794,0.0006608783403215771,4.564290336084298e-05,0.053797906426209505,0.03979960971641492,0.03483457821084476
market_1,462,0.03874414438478702,0.05521204367427949,-0.24662388800715265,0.3396368171775748,0.538961038961039,0.7579894575941183,0.7615251301200314,1,0.010229224832917005,0.3698679457331794,0.0006555111467703861,4.237003152831448e-05,0.054210656752612316,0.03819099365565156,0.036645529843044006
block_2_3,462,0.03499695875465627,0.04427867566990708,-0.14681833764802338,0.24046723336526027,0.5562770562770563,1.2786960936062153,1.2816213057052737,1,0.010229224832917005,0.3698679457331794,0.0006555111467703861,4.237003152831448e-05,0.054210656752612316,0.03819099365565156,0.036645529843044006
block_4_6,462,0.027707227435276396,0.033661284516722026,-0.107220377359624,0.16156191696564445,0.5930735930735931,1.6184031538565493,1.6181668809226923,1,0.010229224832917005,0.3698679457331794,0.0006555111467703861,4.237003152831448e-05,0.054210656752612316,0.03819099365565156,0.036645529843044006
top_3,462,0.049811084109623004,0.0546786792257336,-0.10305401490764281,0.2166975977147583,0.5844155844155844,1.199727347735021,1.201533228917676,1,0.010229224832917005,0.3698679457331794,0.0006555111467703861,4.237003152831448e-05,0.054210656752612316,0.03819099365565156,0.036645529843044006
top_6,462,0.03533271980210819,0.038259614561178636,-0.07774375140172068,0.16192896868415563,0.5844155844155844,1.4474794378667883,1.446278791686097,1,0.010229224832917005,0.3698679457331794,0.0006555111467703861,4.237003152831448e-05,0.054210656752612316,0.03819099365565156,0.036645529843044006
flag_nested,462,0.03492522589897636,0.04530747970810705,-0.0862224686523964,0.1678132878263057,0.5887445887445888,1.2151641345352115,1.2177590725291694,1,0.010229224832917005,0.3698679457331794,0.0006555111467703861,4.237003152831448e-05,0.054210656752612316,0.03819099365565156,0.036645529843044006
market_1,462,0.05867305833722826,0.08997315284881974,-0.24442838212752604,0.38637346950273477,0.5887445887445888,0.7342790635575104,0.735322454111349,2,0.010600463129487476,0.3698679457331794,0.0006633738214082963,6.583155180186345e-05,0.054208474104223324,0.03925127313586362,0.03396436818832632
block_2_3,462,0.04747173939229305,0.04380971002433964,-0.14110580458776018,0.24036553694835705,0.5757575757575758,1.2567311031014796,1.25680927117005,2,0.010600463129487476,0.3698679457331794,0.0006633738214082963,6.583155180186345e-05,0.054208474104223324,0.03925127313586362,0.03396436818832632
block_4_6,462,0.024323465055092724,0.00859013346261361,-0.10655732298684847,0.14964469790507307,0.525974025974026,1.6649785351030046,1.6663744899187858,2,0.010600463129487476,0.3698679457331794,0.0006633738214082963,6.583155180186345e-05,0.054208474104223324,0.03925127313586362,0.03396436818832632
top_3,462,0.05907323046740987,0.05461967905233692,-0.10471236008868773,0.24195443181773188,0.5930735930735931,1.17856098731307,1.1789243825158846,2,0.010600463129487476,0.3698679457331794,0.0006633738214082963,6.583155180186345e-05,0.054208474104223324,0.03925127313586362,0.03396436818832632
top_6,462,0.052426083807728736,0.04722909409336849,-0.0488791347931352,0.15354052254059142,0.6103896103896104,1.5078788231938758,1.5091286851717993,2,0.010600463129487476,0.3698679457331794,0.0006633738214082963,6.583155180186345e-05,0.054208474104223324,0.03925127313586362,0.03396436818832632
flag_nested,462,0.05048091826853455,0.06403862694232544,-0.08241319294204053,0.1950325435712923,0.6233766233766234,1.2063674736408998,1.2072334572531445,2,0.010600463129487476,0.3698679457331794,0.0006633738214082963,6.583155180186345e-05,0.054208474104223324,0.03925127313586362,0.03396436818832632
market_1,462,0.04985925333089781,0.07105296991534114,-0.22900071238072128,0.3667677484167427,0.5432900432900433,0.783624260872648,0.7850915147632027,3,0.010320279168540189,0.3698679457331794,0.0006562534809861435,4.096408994759548e-05,0.055437604576288275,0.039485323855052365,0.036400899047713625
