component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,450,0.025714579203713093,0.039425345372277515,-0.13719294945551913,0.19813939628660346,0.5555555555555556,0.24595236139727603,0.24627657561565633,0,0.38456624781119697,0.1296959162499466,0.06512582875624719
block_2_3,450,0.036658861835594934,0.03917988199229154,-0.1825787863505552,0.2495920590428894,0.5488888888888889,0.693430331082611,0.6952859983959739,0,0.38456624781119697,0.1296959162499466,0.06512582875624719
block_4_6,450,0.004526745331632767,-0.0026170789346138443,-0.14564588253660482,0.18020802824576493,0.4955555555555556,1.1769060498477013,1.1798307691801853,0,0.38456624781119697,0.1296959162499466,0.06512582875624719
top_3,450,0.03604798389898016,0.03712168422446725,-0.17694221755775388,0.2405927198799213,0.5488888888888889,0.6884757438183583,0.6901900641160387,0,0.38456624781119697,0.1296959162499466,0.06512582875624719
top_6,450,0.003110381154330439,0.0033473658153231394,-0.13047362692911935,0.13621930974334595,0.5022222222222222,1.127964890556736,1.1308065606622626,0,0.38456624781119697,0.1296959162499466,0.06512582875624719
flag_nested,450,0.015564168082953227,0.010419557573888339,-0.11763263473749717,0.15873412115557123,0.5155555555555555,0.6778626162047585,0.6793934098973565,0,0.38456624781119697,0.1296959162499466,0.06512582875624719
market_1,450,0.000586398448755948,-0.0018042059684479036,-0.16826146922387641,0.18706362167519125,0.5,0.25590378507574724,0.25321832696124263,1,0.3840094369595601,0.14182252349776792,0.06256288792538554
block_2_3,450,0.038369284998512776,0.052112116396584,-0.1500069634079355,0.2531568171111613,0.5533333333333333,0.6981006914574776,0.6946565176850259,1,0.3840094369595601,0.14182252349776792,0.06256288792538554
block_4_6,450,0.025293221747924283,0.03807614850737275,-0.1338394002933205,0.19318996253705287,0.5622222222222222,1.1946452594263366,1.1894500793405576,1,0.3840094369595601,0.14182252349776792,0.06256288792538554
top_3,450,0.03949982977577351,0.058943875967603,-0.13279120538180683,0.23832745054821833,0.5644444444444444,0.6906739763796989,0.688221368524694,1,0.3840094369595601,0.14182252349776792,0.06256288792538554
top_6,450,0.030316558908372093,0.03235050667632779,-0.11358108222583099,0.17005255530515995,0.5733333333333334,1.1503730274553148,1.1453700689648465,1,0.3840094369595601,0.14182252349776792,0.06256288792538554
flag_nested,450,0.029223193575205048,0.02814494910477442,-0.09951484899821447,0.1669404573228788,0.56,0.6973131328220628,0.69385015103184,1,0.3840094369595601,0.14182252349776792,0.06256288792538554
market_1,450,-0.010363628490502808,-0.002551111741514355,-0.1485209406530199,0.1573375518797444,0.4955555555555556,0.21597133234103555,0.21600090753812692,2,0.39604074193704575,0.1413600000872832,0.06764998726191145
block_2_3,450,0.03669365188936717,0.0494608413070269,-0.14359250411292238,0.22639100039280163,0.5933333333333334,0.6758612916913316,0.6779548555435538,2,0.39604074193704575,0.1413600000872832,0.06764998726191145
block_4_6,450,0.0071616738263337,0.015789109266429485,-0.14684027969291139,0.1558022032921512,0.5244444444444445,1.1806348608823878,1.1836044519792899,2,0.39604074193704575,0.1413600000872832,0.06764998726191145
top_3,450,0.03869644545732033,0.05835028565522478,-0.12852246605894668,0.22224603222011122,0.5911111111111111,0.688842517158825,0.6909414125898294,2,0.39604074193704575,0.1413600000872832,0.06764998726191145
top_6,450,0.01290412088206719,0.031665949034980254,-0.11729462903707924,0.15390782050183532,0.5444444444444444,1.1353953220266824,1.1365827376335038,2,0.39604074193704575,0.1413600000872832,0.06764998726191145
flag_nested,450,0.01435162337947434,0.02157057044516109,-0.10118432749016666,0.1305362927214992,0.5511111111111111,0.6624608320336296,0.6637989333736707,2,0.39604074193704575,0.1413600000872832,0.06764998726191145
market_1,450,-0.009296658151985101,-0.014619474488684822,-0.1693960430988875,0.16012135827280966,0.48,0.22406323495446379,0.225400111996757,3,0.38794861738072267,0.14495657995072025,0.06403589020080618
block_2_3,450,0.015505297801456838,0.023494047680579604,-0.1787481605266954,0.2145611371545921,0.5377777777777778,0.7145336260376202,0.7152375902864337,3,0.38794861738072267,0.14495657995072025,0.06403589020080618
block_4_6,450,0.01785833769546863,0.023314991496114608,-0.14550430363999234,0.20378632539734992,0.5266666666666666,1.1981303099843852,1.1960002088108839,3,0.38794861738072267,0.14495657995072025,0.06403589020080618
top_3,450,0.017795955158649467,0.0345731832115216,-0.16084264796671832,0.2019171861979595,0.5466666666666666,0.717351060215785,0.7180007616771786,3,0.38794861738072267,0.14495657995072025,0.06403589020080618
top_6,450,0.02113518252351253,0.015853970472361992,-0.11540311483290673,0.15956046884974523,0.54,1.1424971436644125,1.1402924442145022,3,0.38794861738072267,0.14495657995072025,0.06403589020080618
flag_nested,450,0.01333102304106423,0.02282320812879097,-0.1271641994590692,0.1468697075514361,0.5355555555555556,0.6828535246798527,0.6828960289006303,3,0.38794861738072267,0.14495657995072025,0.06403589020080618
market_1,450,0.017738923111360227,0.012817151641182425,-0.1412825779869343,0.18148139951886744,0.5244444444444445,0.21206059965418014,0.21307458500993504,4,0.39011791748605934,0.13310301843510405,0.07149517726618616
block_2_3,450,0.058026651050926734,0.04863618566195506,-0.14947141921163665,0.29120637858698056,0.5733333333333334,0.7142292889296215,0.7147334112718821,4,0.39011791748605934,0.13310301843510405,0.07149517726618616
block_4_6,450,0.04243578518906432,0.05621235951859836,-0.11486128560004955,0.19480711896817077,0.58,1.1868569286456083,1.1870465540813766,4,0.39011791748605934,0.13310301843510405,0.07149517726618616
top_3,450,0.056890266647801245,0.04211348536116814,-0.1343515135805179,0.25291794620044755,0.5888888888888889,0.7283882174015837,0.7287931914903217,4,0.39011791748605934,0.13310301843510405,0.07149517726618616
top_6,450,0.028641495789728202,0.04231520418871473,-0.09225075003721896,0.14581034379031088,0.5888888888888889,1.1171491197726708,1.1170636642554903,4,0.39011791748605934,0.13310301843510405,0.07149517726618616
flag_nested,450,0.04232262500789572,0.04128842459128644,-0.090919430071171,0.17067090673096977,0.6066666666666667,0.6738764242431979,0.6744978862643617,4,0.39011791748605934,0.13310301843510405,0.07149517726618616
market_1,450,0.026122553772017124,0.028224796409474548,-0.1193458438610823,0.1859965025637156,0.5666666666666667,0.22904263703588426,0.22712949652444356,5,0.3966945357509199,0.1408443083026105,0.07056978935572826
block_2_3,450,0.05340812072253623,0.06471343925623621,-0.14393615289671838,0.248274456279502,0.5977777777777777,0.6938089821543151,0.6967187836449028,5,0.3966945357509199,0.1408443083026105,0.07056978935572826
block_4_6,450,0.02847326039689745,0.010781776976283713,-0.12736117853316975,0.19163687975138874,0.5244444444444445,1.1405266850916234,1.14360125051022,5,0.3966945357509199,0.1408443083026105,0.07056978935572826
top_3,450,0.04900802198668818,0.05781868120550809,-0.11970115668040386,0.2187719383404125,0.5866666666666667,0.6987845091100969,0.7018253772548847,5,0.3966945357509199,0.1408443083026105,0.07056978935572826
top_6,450,0.011309139500241717,0.026032114647587232,-0.11065671454298157,0.13833631982232947,0.54,1.0979300750643457,1.09879487496641,5,0.3966945357509199,0.1408443083026105,0.07056978935572826
flag_nested,450,0.024256565523756154,0.033019216077817715,-0.09938363001451471,0.14599145407917136,0.5488888888888889,0.6653443758092256,0.6661021092103874,5,0.3966945357509199,0.1408443083026105,0.07056978935572826
market_1,450,0.016219721682754665,0.018914183309835717,-0.1481574883977555,0.19487662843707348,0.5244444444444445,0.22167947417427425,0.22198496611268834,6,0.3934712004322158,0.13066493461065642,0.06787599092615255
block_2_3,450,0.02007258740659363,0.022140636529902634,-0.18773936355496051,0.2110452252115238,0.52,0.7001383763063178,0.695399291372671,6,0.3934712004322158,0.13066493461065642,0.06787599092615255
