leading_share,spike_ratio,leading_participation,participation_fraction,effective_rank,component,replicate
0.13749256462518725,3.1623289863793067,6.520715909285957,0.283509387360259,15.733322688909302,market_1,0
0.07552587107764272,1.7370950347857825,5.4422325849586874,0.23661880804168206,20.61421821688245,block_2_3,0
0.0661079172672797,1.520482097147433,8.122331788629063,0.3531448603751767,21.555789991913816,block_4_6,0
0.07915996999470166,1.8206793098781382,4.5680357313670195,0.1986102491898704,19.875382530883286,top_3,0
0.07418478796553193,1.7062501232072345,4.385642343377726,0.19068010188598808,19.910646443724325,top_6,0
0.08474658936143535,1.9491715553130131,1.2644696075596993,0.05497693945911736,20.532814098033143,flag_nested,0
0.11860078523578883,2.727818060423143,10.293519502123406,0.44754432617927853,16.376539743692685,market_1,1
0.07400507936584534,1.7021168254144428,5.498230851910938,0.23905351530047556,20.527079716086135,block_2_3,1
0.0673157455845386,1.5482621484443877,3.0102179475692488,0.13087904119866298,21.563075972031093,block_4_6,1
0.09515677638192872,2.1886058567843607,1.2985562189615654,0.05645896604180719,19.61965823464919,top_3,1
0.0699455093300659,1.6087467145915155,2.1858312978573182,0.09503614338510079,20.00993459572184,top_6,1
0.06918452630602351,1.5912441050385406,12.04944074540409,0.5238887280610474,21.119636559632127,flag_nested,1
0.12303488550120859,2.8298023665277974,3.4466703673477546,0.14985523336294584,16.510112263899554,market_1,2
0.0714152301729585,1.6425502939780456,6.4886983350615335,0.28211731891571884,20.79322701183634,block_2_3,2
0.06550285397004328,1.5065656413109956,5.56014990139068,0.2417456478865513,21.3691224444406,block_4_6,2
0.07694271052703862,1.7696823421218881,8.489594207523554,0.3691127916314589,20.347125707172317,top_3,2
0.07219931388102992,1.6605842192636882,3.6247373148243622,0.15759727455758096,19.914571833760387,top_6,2
0.06763294972991865,1.555557843788129,5.141785602343743,0.2235558957540758,21.07524591482613,flag_nested,2
0.11017946588813099,2.5341277154270125,8.84231149324254,0.38444832579315397,16.77251798818924,market_1,3
0.0806130629694941,1.8541004482983643,2.2342999768618204,0.09714347725486175,20.413161361318327,block_2_3,3
0.06759178604552792,1.5546110790471421,2.4642232230623526,0.10714014013314577,21.4943573706722,block_4_6,3
0.0830296814517821,1.9096826733909884,2.5857645208719817,0.11242454438573833,20.05588531197804,top_3,3
0.07271324251406375,1.6724045778234662,4.895840493266089,0.21286263014200388,19.94726779126294,top_6,3
0.07363413574846538,1.6935851222147036,2.46743124657047,0.1072796194161074,20.94708082732924,flag_nested,3
0.11894877962925554,2.7358219314728776,3.479447901953755,0.15128034356320674,16.355731534720245,market_1,4
0.07695337413357235,1.7699276050721642,3.2135076466609687,0.1397177237678682,20.53248317863089,block_2_3,4
0.06548783425011219,1.5062201877525803,4.956948728202526,0.21551950992184898,21.44924182157125,block_4_6,4
0.07654530658258298,1.7605420513994083,5.009457555302188,0.21780250240444293,19.9847389378564,top_3,4
0.07076802258272516,1.6276645194026786,8.275731506290523,0.3598144133169793,19.81455982637464,top_6,4
0.06727491492778905,1.547323043339148,4.116634071829975,0.17898409007956415,20.887537468898824,flag_nested,4
0.13026525305020628,2.9961008201547443,4.176791931064909,0.18159964917673518,16.09739943844428,market_1,5
0.0736953181219352,1.6949923168045093,4.375971329759517,0.1902596230330225,20.35496670453332,block_2_3,5
0.06762291653817785,1.5553270803780908,6.96908990146044,0.30300390875914957,21.534879072813695,block_4_6,5
0.08137206029139331,1.871557386702046,3.2987660711118334,0.143424611787471,20.124414538723375,top_3,5
0.07299611075124138,1.6789105472785517,4.0093435430501465,0.17431928448044115,19.876879666884918,top_6,5
0.06925990553282968,1.5929778272550825,3.3743661390565567,0.14671157126332854,21.009676998200103,flag_nested,5
0.13412455962470188,3.084864871368143,2.6474346242193354,0.11510585322692762,16.18505115402562,market_1,6
0.07184818835125895,1.6525083320789558,8.680069836119658,0.3773943407008547,20.810343348754646,block_2_3,6
0.06156440138095442,1.4159812317619516,5.384703709903524,0.23411755260450107,21.58678193701179,block_4_6,6
0.07906668487071392,1.81853375202642,3.8837169372047353,0.16885725813933633,19.825192772194523,top_3,6
0.07282138585565426,1.6748918746800479,4.058346519266561,0.1764498486637635,19.910553415170227,top_6,6
