component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_abs_cross_correlation,original_mean_abs_cross_correlation,median_relative_spectrum_error,median_abs_lag1_error,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
market_1,450,0.034112243027537355,0.04847238809615181,-0.17279791889495613,0.244675811903318,0.5644444444444444,0.8707914332237988,0.8718287920559206,0,0.010530461633676136,0.38117296246498866,0.000739966867523465,0.0002946537254781001,0.04066383347803675,0.02640844871669633,0.02162825650729139
block_2_3,450,0.008840357424877533,0.011912592269674949,-0.13426590009798225,0.14702289769065294,0.52,1.4599038024106787,1.4607022810963017,0,0.010530461633676136,0.38117296246498866,0.000739966867523465,0.0002946537254781001,0.04066383347803675,0.02640844871669633,0.02162825650729139
block_4_6,450,0.021597141731822794,0.010304167475096425,-0.07607585151475718,0.12273460594949723,0.5377777777777778,1.8700274622635158,1.8710094590098711,0,0.010530461633676136,0.38117296246498866,0.000739966867523465,0.0002946537254781001,0.04066383347803675,0.02640844871669633,0.02162825650729139
top_3,450,0.02880589925415472,0.027882903598736984,-0.08537706839024811,0.135546661273428,0.5777777777777777,1.4367762440693614,1.4378224522454726,0,0.010530461633676136,0.38117296246498866,0.000739966867523465,0.0002946537254781001,0.04066383347803675,0.02640844871669633,0.02162825650729139
top_6,450,0.034831431375969994,0.03929193239863278,-0.03307159803763838,0.09983141205237753,0.6377777777777778,1.8690200050381767,1.8696461699858067,0,0.010530461633676136,0.38117296246498866,0.000739966867523465,0.0002946537254781001,0.04066383347803675,0.02640844871669633,0.02162825650729139
flag_nested,450,0.029255555940190133,0.03533023821742407,-0.05762762506000382,0.11443172229873091,0.6111111111111112,1.4464341970293435,1.447637666161808,0,0.010530461633676136,0.38117296246498866,0.000739966867523465,0.0002946537254781001,0.04066383347803675,0.02640844871669633,0.02162825650729139
market_1,450,0.049316703876460366,0.06591921445485778,-0.16552922758128957,0.2826410986421879,0.5844444444444444,0.9124713367683677,0.9149825108027163,1,0.010412286527092043,0.38117296246498866,0.0007336760441902258,0.0002456203368754947,0.0366868198406235,0.02669910240925784,0.021000166608037676
block_2_3,450,0.03423507676859313,0.04626144977368077,-0.10543562016322193,0.1737358272331592,0.5933333333333334,1.4611225725377044,1.4621105216225179,1,0.010412286527092043,0.38117296246498866,0.0007336760441902258,0.0002456203368754947,0.0366868198406235,0.02669910240925784,0.021000166608037676
block_4_6,450,0.015823994262778706,0.009714949693614347,-0.07072580338010567,0.1163144042241161,0.5333333333333333,1.8846180967277066,1.883357803109758,1,0.010412286527092043,0.38117296246498866,0.0007336760441902258,0.0002456203368754947,0.0366868198406235,0.02669910240925784,0.021000166608037676
top_3,450,0.03750700358905912,0.03988101606586101,-0.08191959138505024,0.15277343199827645,0.6022222222222222,1.4361011059869404,1.434421378609249,1,0.010412286527092043,0.38117296246498866,0.0007336760441902258,0.0002456203368754947,0.0366868198406235,0.02669910240925784,0.021000166608037676
top_6,450,0.039343186364650805,0.034343202740216856,-0.026033877603874024,0.09800632405162851,0.66,1.8812311154730788,1.8814771779879058,1,0.010412286527092043,0.38117296246498866,0.0007336760441902258,0.0002456203368754947,0.0366868198406235,0.02669910240925784,0.021000166608037676
flag_nested,450,0.04036094856231458,0.043260504147490095,-0.050716704529145624,0.13478566594974656,0.6288888888888889,1.4759268440695,1.4771491609436438,1,0.010412286527092043,0.38117296246498866,0.0007336760441902258,0.0002456203368754947,0.0366868198406235,0.02669910240925784,0.021000166608037676
market_1,450,0.07357883072367326,0.09306221159307551,-0.13277679055953442,0.3146620903977906,0.6022222222222222,0.9012330977115558,0.9024426790437847,2,0.010616292527152217,0.38117296246498866,0.0007300389057961267,0.0002842928232090801,0.04104330322227419,0.028074515986078595,0.02161989228410644
block_2_3,450,0.03452193768916254,0.032986504465544075,-0.12326113000460046,0.1835573530961645,0.5511111111111111,1.4690408519123825,1.4708632728341833,2,0.010616292527152217,0.38117296246498866,0.0007300389057961267,0.0002842928232090801,0.04104330322227419,0.028074515986078595,0.02161989228410644
block_4_6,450,0.013117908152028535,0.008515949230825237,-0.08296803539478845,0.11500856773881185,0.5377777777777778,1.8819244126102133,1.8827820687000434,2,0.010616292527152217,0.38117296246498866,0.0007300389057961267,0.0002842928232090801,0.04104330322227419,0.028074515986078595,0.02161989228410644
top_3,450,0.034286805838589667,0.03504473566111919,-0.08905479881873932,0.15688794893559105,0.5622222222222222,1.4415636067911637,1.4440949551208269,2,0.010616292527152217,0.38117296246498866,0.0007300389057961267,0.0002842928232090801,0.04104330322227419,0.028074515986078595,0.02161989228410644
top_6,450,0.038373373922350885,0.034710835743811154,-0.030842141156706013,0.10885922781797769,0.6377777777777778,1.8648321532343328,1.8661541377791857,2,0.010616292527152217,0.38117296246498866,0.0007300389057961267,0.0002842928232090801,0.04104330322227419,0.028074515986078595,0.02161989228410644
flag_nested,450,0.04449774427057138,0.056080452577997875,-0.04364666150972784,0.14870999647665764,0.62,1.4678492325760786,1.469723749929972,2,0.010616292527152217,0.38117296246498866,0.0007300389057961267,0.0002842928232090801,0.04104330322227419,0.028074515986078595,0.02161989228410644
market_1,450,0.017576853518523342,0.037145298866994456,-0.1608342726100606,0.22299134474866897,0.5422222222222223,0.9204311043733284,0.9182561359040124,3,0.010405776629470705,0.38117296246498866,0.0007420810127965589,0.00027147805157200916,0.038139845765448654,0.025722531959211713,0.021425004686812278
block_2_3,450,0.0062492835569179506,0.0005872211459540801,-0.1432578062960341,0.15906365545814038,0.5,1.4618880983686493,1.4607324957907484,3,0.010405776629470705,0.38117296246498866,0.0007420810127965589,0.00027147805157200916,0.038139845765448654,0.025722531959211713,0.021425004686812278
