start,component,cosine,positive_cosine,incoming_speed,outgoing_speed
42,market_1,0.013857048155648843,True,0.07707457076532433,0.11770290197824734
42,block_2_3,-0.12324700559691201,False,0.6797842317276445,0.5657680756439402
42,block_4_6,-0.4684063214580586,False,0.9667331774336722,0.8207523927738801
42,top_3,-0.12577578529430136,False,0.6837379324719113,0.5664124663003799
42,top_6,-0.3490480864404117,False,0.9768767077032223,0.9427939729721522
42,flag_nested,-0.2372518356872778,False,0.5664106518841504,0.5185927236663628
56,market_1,-0.11166248727262507,False,0.10082574626273702,0.09333395376076761
56,block_2_3,-0.12320708691923052,False,0.7802276696635189,0.6598447232128216
56,block_4_6,-0.08557974568014105,False,0.9023981533555581,0.7870411626068923
56,top_3,-0.12660426186363627,False,0.7819999990506825,0.6643784744177574
56,top_6,-0.18395176488952814,False,0.8280960322437579,0.9039550323552337
56,flag_nested,-0.1483235369177782,False,0.5729726611140967,0.540401020324627
70,market_1,-0.10893962275150797,False,0.12403527917667435,0.08294368248974562
70,block_2_3,-0.1030865613777483,False,0.5868332757476636,0.6057101910956239
70,block_4_6,-0.1025016572572694,False,0.7605249134565966,1.0358369426573981
70,top_3,-0.10522718671605621,False,0.5894217440664439,0.6111768751195942
70,top_6,0.008770555458423947,True,0.688716478976156,1.025115856055602
70,flag_nested,-0.050122754060503705,False,0.45852569467308013,0.5536567514396551
84,market_1,0.23497283237577352,True,0.11770290197824733,0.08610355302717329
84,block_2_3,0.14479751399738008,True,0.5657680756439403,0.6105540160125921
84,block_4_6,0.32389563153216916,True,0.8207523927738801,1.4275178006654026
84,top_3,0.14720727111923654,True,0.5664124663003796,0.6163902018895191
84,top_6,0.23862837498448075,True,0.9427939729721535,1.3975933319390321
84,flag_nested,0.2045576086639529,True,0.518592723666363,0.6779409775826936
98,market_1,-0.04000356541380079,False,0.09333395376076757,0.09565390708645208
98,block_2_3,-0.14753100139571518,False,0.6598447232128216,0.5684363781262652
98,block_4_6,0.37321938516350706,True,0.7870411626068922,1.4911753706032356
98,top_3,-0.14564506919016565,False,0.6643784744177574,0.5758929107232089
98,top_6,0.32411429109314793,True,0.9039550323552337,1.4336697651221293
98,flag_nested,0.13900954002294788,True,0.540401020324627,0.6799034618131781
112,market_1,0.13927967934588467,True,0.08294368248974565,0.09711488293449351
112,block_2_3,0.04066540143712854,True,0.6057101910956236,0.7196343434657949
112,block_4_6,0.3607008893880538,True,1.0358369426573981,1.5603414964182987
112,top_3,0.04023290255843178,True,0.6111768751195943,0.7230617696002393
112,top_6,0.5750115633662133,True,1.0251158560556013,1.4625710616310996
112,flag_nested,0.3704129397086189,True,0.553656751439655,0.7349987027834203
126,market_1,-0.0607690994128229,False,0.08610355302717325,0.08854433510469342
126,block_2_3,0.035557300504463506,True,0.6105540160125924,0.6938736376278398
126,block_4_6,0.17513552288492876,True,1.4275178006654021,1.0387972211924263
126,top_3,0.030318212744666357,True,0.6163902018895192,0.6983733439607717
126,top_6,0.23875043920975592,True,1.397593331939033,1.0135705105672244
126,flag_nested,0.1520600763179117,True,0.6779409775826938,0.5844964258054675
140,market_1,0.3825350749211897,True,0.09565390708645209,0.08516882406834382
140,block_2_3,0.21168453867355053,True,0.5684363781262647,0.6018828839371447
140,block_4_6,0.091182183763057,True,1.4911753706032356,0.7864879524787681
140,top_3,0.21571537140823407,True,0.5758929107232088,0.6070150575254324
140,top_6,0.12839510157014275,True,1.4336697651221282,0.8899843434253211
140,flag_nested,0.15961239032747318,True,0.6799034618131778,0.5119454826487086
154,market_1,0.023941552612839454,True,0.09711488293449351,0.08825008260482334
154,block_2_3,0.18475721316315102,True,0.7196343434657949,0.7166450507116295
154,block_4_6,-0.09396555884671337,False,1.560341496418299,1.0341432510582595
154,top_3,0.18390127885131094,True,0.7230617696002393,0.7219367516108238
154,top_6,-0.24441886899773904,False,1.4625710616310987,0.8965301014492572
154,flag_nested,-0.051379231455270104,False,0.7349987027834199,0.5616760679632495
168,market_1,-0.105499199127682,False,0.08854433510469342,0.10341999300146684
168,block_2_3,-0.05262856263480624,False,0.69387363762784,0.53748134295146
168,block_4_6,0.1606684233928525,True,1.0387972211924263,0.9405600596774814
168,top_3,-0.04906383343406566,False,0.6983733439607713,0.5433840942139351
168,top_6,0.06467106915224952,True,1.013570510567224,0.9064941310941199
168,flag_nested,0.009418507185509331,True,0.5844964258054671,0.4960575113015327
182,market_1,0.00824668140339782,True,0.08516882406834383,0.08649413025432648
182,block_2_3,0.21197358946817796,True,0.6018828839371447,0.5604019293512993
182,block_4_6,0.27693300088798434,True,0.7864879524787682,0.9635628760310567
182,top_3,0.2091211328561665,True,0.6070150575254323,0.5652664874924167
182,top_6,0.105881892111171,True,0.8899843434253211,0.8914828168579518
182,flag_nested,0.14944177754559088,True,0.5119454826487085,0.496434188979723
196,market_1,0.12412455600163506,True,0.08825008260482338,0.062064505167171054
196,block_2_3,-0.21771133811084545,False,0.71664505071163,0.8279715085088771
196,block_4_6,-0.1287920788904251,False,1.0341432510582593,0.9327544467944388
196,top_3,-0.21532347336249827,False,0.7219367516108242,0.8301968121723531
196,top_6,0.11442335444139343,True,0.8965301014492574,0.6024459083007742
196,flag_nested,-0.1051822976064895,False,0.5616760679632496,0.5422955195463839
210,market_1,0.039896347202562216,True,0.10341999300146684,0.06677764372346219
210,block_2_3,0.14212514788842717,True,0.5374813429514604,0.5865213078252972
210,block_4_6,-0.06362518273774613,False,0.9405600596774816,1.200445005611379
210,top_3,0.1361985280788161,True,0.5433840942139351,0.5900858278452351
210,top_6,-0.05755849267599669,False,0.9064941310941205,1.2194636372816785
210,flag_nested,0.014043041684720033,True,0.4960575113015329,0.606938993818901
224,market_1,-0.0807699920738931,False,0.08649413025432642,0.055199268662907655
224,block_2_3,-0.13460808394933524,False,0.5604019293512994,0.5795472665665705
224,block_4_6,0.026845928117406173,True,0.9635628760310571,1.194032241390848
224,top_3,-0.13384308974605186,False,0.5652664874924167,0.5810575009865112
224,top_6,0.1626201100687244,True,0.8914828168579524,1.1975297065897017
224,flag_nested,0.04700506823040233,True,0.4964341889797231,0.5954850673520586
238,market_1,0.2583630527457744,True,0.06206450516717104,0.04671397309961841
238,block_2_3,-0.4289423893486008,False,0.827971508508877,0.41851570140800776
238,block_4_6,-0.1982469423071299,False,0.9327544467944385,1.0661070859121833
238,top_3,-0.4235989204748918,False,0.8301968121723531,0.4204647624134652
238,top_6,0.044487240140457796,True,0.602445908300774,1.0411994235503106
238,flag_nested,-0.1645848559684691,False,0.5422955195463838,0.4917266591920139
252,market_1,0.02717445378664053,True,0.0667776437234622,0.04527562972290023
252,block_2_3,-0.14463232918258787,False,0.5865213078252975,0.3572093228948519
252,block_4_6,0.003439574925483849,True,1.2004450056113793,1.1109435843503617
252,top_3,-0.1411880589107001,False,0.5900858278452351,0.3594593595117746
252,top_6,0.05357159361807221,True,1.2194636372816783,1.1104540506467417
252,flag_nested,0.0072084696911993065,True,0.6069389938189008,0.5006378526040252
266,market_1,-0.0327714556016424,False,0.0551992686629077,0.06277476325483859
266,block_2_3,0.12677137343883502,True,0.5795472665665701,0.38678029987288987
266,block_4_6,0.10267967360492125,True,1.1940322413908493,0.8730250453536077
266,top_3,0.12383293586792277,True,0.581057500986511,0.3917612832560931
266,top_6,0.006962418087510993,True,1.1975297065897024,0.8801519266702095
266,flag_nested,0.04110551890894559,True,0.5954850673520588,0.42919794297977276
280,market_1,0.07926672716670614,True,0.0467139730996184,0.05540547156621871
280,block_2_3,-0.2471949098617931,False,0.41851570140800776,0.44184211429793
280,block_4_6,0.24648614826658372,True,1.066107085912183,0.8497027825768757
280,top_3,-0.24622977033706286,False,0.42046476241346503,0.4448164602191014
280,top_6,0.32546569450659685,True,1.0411994235503101,0.8682373533168484
280,flag_nested,0.15621676424600794,True,0.4917266591920137,0.4412063134058712
294,market_1,0.07849404966587269,True,0.04527562972290023,0.052484971568639675
294,block_2_3,-0.0962873340421357,False,0.35720932289485186,0.5353672882697597
294,block_4_6,0.21563953361680172,True,1.1109435843503612,1.1880805583839524
294,top_3,-0.09608484417121559,False,0.3594593595117745,0.5372106524126661
294,top_6,0.269273855801325,True,1.1104540506467415,1.1616500632574918
294,flag_nested,0.1821435215814361,True,0.500637852604025,0.569085446577926
308,market_1,-0.45340634367223803,False,0.0627747632548386,0.05222627085452684
308,block_2_3,0.46412958485923783,True,0.38678029987288975,0.49405157067082756
308,block_4_6,0.30814349552660136,True,0.8730250453536084,0.9119024684391107
308,top_3,0.4472779721162993,True,0.39176128325609316,0.49631820251041203
308,top_6,0.3047832196671951,True,0.8801519266702099,0.8674484689987828
308,flag_nested,0.3368182394711754,True,0.42919794297977293,0.458529508839378
322,market_1,0.03829891678709744,True,0.05540547156621875,0.045810685928490275
322,block_2_3,0.2783040888207452,True,0.44184211429792997,0.43984270244882173
322,block_4_6,0.3063720037509977,True,0.8497027825768758,0.7661681890288788
322,top_3,0.273647304934833,True,0.44481646021910126,0.4410510545441647
322,top_6,0.29976992122644086,True,0.8682373533168479,0.7240777175286176
322,flag_nested,0.2850288153367984,True,0.441206313405871,0.3928384570706566
336,market_1,-0.07680824487631631,False,0.05248497156863965,0.053943692510140556
336,block_2_3,0.09157049428486438,True,0.5353672882697601,0.41442748865741424
336,block_4_6,-0.32057183931231326,False,1.1880805583839522,0.7857686980298833
336,top_3,0.08776719631504609,True,0.5372106524126663,0.41649872344451355
336,top_6,-0.28039598491510676,False,1.1616500632574922,0.7850720413922018
336,flag_nested,-0.15773112360452957,False,0.5690854465779261,0.40429774820201286
350,market_1,-0.13418709618091204,False,0.05222627085452683,0.05047964505466957
350,block_2_3,0.29529114038237286,True,0.49405157067082744,0.3067970722861851
350,block_4_6,-0.3492433043258933,False,0.9119024684391109,0.9141307294468509
350,top_3,0.2884200564823348,True,0.49631820251041187,0.3085004600860293
350,top_6,-0.368675031084164,False,0.8674484689987828,0.9445602073340145
350,flag_nested,-0.18344064262433024,False,0.45852950883937793,0.42775152842402414
364,market_1,0.1099803714195016,True,0.045810685928490275,0.05869461515093997
364,block_2_3,-0.20935525436988095,False,0.43984270244882195,0.4506260743061127
364,block_4_6,-0.3074520454291561,False,0.766168189028879,1.3708311008949416
364,top_3,-0.2096731067906307,False,0.4410510545441648,0.4532996538573252
364,top_6,-0.2284569126556277,False,0.724077717528617,1.3501750695244739
364,flag_nested,-0.21137844818944956,False,0.39283845707065645,0.6129986701761081
378,market_1,-0.009684220899837382,False,0.05394369251014054,0.06480812371543153
378,block_2_3,-0.39931460889072556,False,0.414427488657414,0.44308344667380406
378,block_4_6,0.42330478185104764,True,0.7857686980298836,1.2540247499923953
378,top_3,-0.3955711681263932,False,0.4164987234445133,0.4474741151094111
378,top_6,0.5380077222257991,True,0.7850720413922021,1.2181379273046278
378,flag_nested,0.26807801815457194,True,0.4042977482020129,0.5641404574986923
392,market_1,0.36474049975381384,True,0.050479645054669564,0.06407483458046195
392,block_2_3,0.026126023340952036,True,0.3067970722861852,0.4813412665580161
392,block_4_6,0.4886372191151816,True,0.9141307294468505,1.2238581055230653
392,top_3,0.020291231725012092,True,0.3085004600860294,0.4828052931557865
392,top_6,0.49214561853549443,True,0.9445602073340148,1.1880653365314704
392,flag_nested,0.391247582283154,True,0.4277515284240243,0.5630770599460917
406,market_1,0.1572661353688822,True,0.05869461515093996,0.06898919608791661
406,block_2_3,0.07119442468601608,True,0.45062607430611257,0.44234108113710136
406,block_4_6,0.14113477211970285,True,1.3708311008949425,0.755242535956094
406,top_3,0.06561302504693106,True,0.4532996538573253,0.444548441708449
406,top_6,0.14686144754897518,True,1.3501750695244754,0.7808825144282491
406,flag_nested,0.12125801208378194,True,0.6129986701761085,0.4150464211891941
420,market_1,0.17452829988767493,True,0.06480812371543153,0.06757168752403209
420,block_2_3,0.17387162029679892,True,0.44308344667380417,0.5479337331430157
420,block_4_6,0.21298153165363098,True,1.2540247499923953,1.0512629688054709
420,top_3,0.17238222235848188,True,0.44747411510941115,0.5487648920868693
420,top_6,0.17833029932887393,True,1.2181379273046284,1.0419468540999477
420,flag_nested,0.1743748636954326,True,0.5641404574986926,0.5346859916611614
434,market_1,0.544291705154462,True,0.06407483458046194,0.052555644230030854
434,block_2_3,0.06177428465998719,True,0.48134126655801635,0.43632978401600714
434,block_4_6,0.41572475295075395,True,1.2238581055230657,0.7283957337996644
434,top_3,0.06641133460988131,True,0.4828052931557864,0.4390376076573112
434,top_6,0.3937428168222361,True,1.188065336531471,0.7404548613539118
434,flag_nested,0.28672983581174655,True,0.5630770599460919,0.3979853468869075
448,market_1,0.10129780197821882,True,0.0689891960879166,0.05490087297321206
448,block_2_3,0.10693180540350049,True,0.44234108113710124,0.9602536324155182
448,block_4_6,0.21733027527020954,True,0.7552425359560943,1.1230915630887852
448,top_3,0.10710882204540054,True,0.44454844170844887,0.9615532017014919
448,top_6,0.3050618809313155,True,0.7808825144282495,0.7253100925441835
448,flag_nested,0.1695399526788593,True,0.41504642118919416,0.6315758709860276
462,market_1,-0.09289345526443811,False,0.06757168752403214,0.04305859989841197
462,block_2_3,-0.002933721387582368,False,0.5479337331430157,1.3544108716611947
462,block_4_6,0.04945978613643359,True,1.0512629688054709,2.0282102056653697
462,top_3,-0.003904482160189369,False,0.5487648920868694,1.3550822766784878
462,top_6,-0.045364473384496874,False,1.0419468540999481,1.5619297566398687
462,flag_nested,-0.025072345348793972,False,0.5346859916611615,1.0102181922704172
476,market_1,0.07279912016830369,True,0.05255564423003084,0.039553059848307315
476,block_2_3,0.5190398668068859,True,0.43632978401600686,1.2015590096950275
476,block_4_6,0.2734766510481848,True,0.7283957337996646,1.757157758130455
476,top_3,0.5152550770718973,True,0.4390376076573114,1.2022024850313033
476,top_6,0.20313367757101203,True,0.7404548613539123,1.483687383797322
476,flag_nested,0.34879554242698135,True,0.3979853468869077,0.9220716304541643
490,market_1,0.3013434523124144,True,0.05490087297321204,0.03182177548398866
490,block_2_3,-0.011226530100368141,False,0.9602536324155182,1.5152309602629757
490,block_4_6,-0.2996882352847362,False,1.123091563088786,1.825858293142123
490,top_3,-0.01035812499877571,False,0.9615532017014918,1.5152505189137613
490,top_6,-0.0013831803787039815,False,0.725310092544184,1.5741733332429064
490,flag_nested,-0.006950707756017299,False,0.6315758709860276,1.0859761895486513
504,market_1,-0.16072049734662563,False,0.04305859989841196,0.03678045868617185
504,block_2_3,-0.05976401635971065,False,1.3544108716611951,1.4421958317243022
504,block_4_6,0.02934476867569471,True,2.028210205665369,1.7632204880846054
504,top_3,-0.05995824863275872,False,1.3550822766784887,1.4425758441256125
504,top_6,0.08422357212914233,True,1.5619297566398689,1.201690032896134
504,flag_nested,-0.013278922580498955,False,1.0102181922704174,0.9673181034970131
518,market_1,-0.014837256333223511,False,0.03955305984830734,0.04640465348854689
518,block_2_3,-0.10178156220432466,False,1.2015590096950268,1.3569677206540773
518,block_4_6,-0.09370150087994641,False,1.7571577581304547,1.9062489511827947
518,top_3,-0.1017356133573789,False,1.2022024850313031,1.3577155461923378
518,top_6,-0.16907010696592642,False,1.4836873837973217,1.5995343353475056
518,flag_nested,-0.1298210686845688,False,0.9220716304541643,1.0212911313538904
532,market_1,0.23846493151107748,True,0.031821775483988665,0.05198149015685358
532,block_2_3,0.5614239818865427,True,1.5152309602629763,1.4631890736195552
532,block_4_6,0.2140213105005832,True,1.8258582931421237,1.7252891288014687
532,top_3,0.5610449456003569,True,1.5152505189137613,1.463888978475023
532,top_6,-0.1515542107716996,False,1.5741733332429055,1.4393447599305842
532,flag_nested,0.3198358031162478,True,1.085976189548651,1.0306848590827433
546,market_1,0.3557275734092027,True,0.03678045868617183,0.059476914502515264
546,block_2_3,-0.43303660960563445,False,1.4421958317243029,1.5801970638686058
546,block_4_6,-0.29605293474635436,False,1.7632204880846056,1.773186456821054
546,top_3,-0.432712345296858,False,1.4425758441256127,1.5809108512558352
546,top_6,-0.2420224951442142,False,1.201690032896134,1.1149719590940776
546,flag_nested,-0.38674305265718534,False,0.9673181034970132,1.0216771937159197
560,market_1,0.16110568057568256,True,0.046404653488546894,0.05649968962459111
560,block_2_3,-0.47358749467423816,False,1.356967720654078,1.0728622670176904
560,block_4_6,0.023973289058853302,True,1.9062489511827938,1.729198339087713
560,top_3,-0.47274804905006446,False,1.3577155461923376,1.0738048313300803
560,top_6,-0.5768578412299362,False,1.599534335347505,1.443013435892087
560,flag_nested,-0.5154994495948723,False,1.0212911313538904,0.857083688767398
574,market_1,0.30394182310754153,True,0.05198149015685355,0.05030392912706548
574,block_2_3,0.6227038566167278,True,1.4631890736195552,1.3114824912232839
574,block_4_6,0.16891856663644184,True,1.7252891288014687,1.5982497923307513
574,top_3,0.622257766461254,True,1.463888978475023,1.3123521887262153
574,top_6,-0.27654166809357783,False,1.4393447599305846,1.1669980704629035
574,flag_nested,0.3483512601696387,True,1.0306848590827435,0.89643775975495
588,market_1,0.18502730978117551,True,0.0594769145025153,0.03879780270351349
588,block_2_3,-0.48639855652698755,False,1.5801970638686063,0.5002268474513231
588,block_4_6,-0.25835887566485743,False,1.773186456821053,1.0350289399294508
588,top_3,-0.4841800174664704,False,1.580910851255836,0.5016453606438935
588,top_6,0.039974957336829486,True,1.1149719590940772,1.0576400475644445
588,flag_nested,-0.22473782679270932,False,1.0216771937159201,0.5213652307309673
602,market_1,0.05022268208607709,True,0.05649968962459109,0.0367323875138403
602,block_2_3,0.38235112179948977,True,1.0728622670176915,1.005941880619318
602,block_4_6,0.12669740381092917,True,1.729198339087713,1.5180251318024993
602,top_3,0.38141542248541155,True,1.0738048313300808,1.006582185817976
602,top_6,0.2377421068411767,True,1.443013435892089,1.3299731013230205
602,flag_nested,0.3129742987701348,True,0.8570836887673988,0.7961720347606793
616,market_1,-0.05537574588150998,False,0.050303929127065515,0.03531005770041499
616,block_2_3,-0.765121060316754,False,1.3114824912232836,1.4206087649353318
616,block_4_6,-0.44252887403638425,False,1.5982497923307513,1.8884813388879458
616,top_3,-0.764402409551306,False,1.3123521887262153,1.4208242159383224
616,top_6,0.0752614556317424,True,1.1669980704629028,1.292378169709406
616,flag_nested,-0.5215283102488885,False,0.8964377597549499,0.9759785721506878
630,market_1,-0.053460545429913284,False,0.03879780270351348,0.03765705483026941
630,block_2_3,-0.04007140450015441,False,0.5002268474513232,0.5066370811977811
630,block_4_6,-0.10353940203269967,False,1.0350289399294512,1.0772869259096405
630,top_3,-0.040244945679821544,False,0.5016453606438936,0.5075199349008747
630,top_6,-0.023448568135370374,False,1.0576400475644439,1.0641263811005928
630,flag_nested,-0.028812570612529072,False,0.5213652307309673,0.5253611846892828
644,market_1,0.12212235171283001,True,0.03673238751384031,0.053780140033941805
644,block_2_3,-0.33508849272188224,False,1.005941880619318,0.4994554264255536
644,block_4_6,-0.048205645589108725,False,1.5180251318024989,0.8216292465865548
644,top_3,-0.33321113938814206,False,1.0065821858179762,0.5011575686620116
644,top_6,0.1614412320036961,True,1.3299731013230198,0.7639867628132503
644,flag_nested,-0.08332674419382292,False,0.7961720347606793,0.4288254135388763
658,market_1,0.3430673147800446,True,0.03531005770041497,0.05857585493696607
658,block_2_3,0.24447194333250483,True,1.4206087649353318,0.44417056989430365
658,block_4_6,0.17701241353008954,True,1.8884813388879464,1.3532673748192199
658,top_3,0.24225976547072559,True,1.4208242159383229,0.4467643302533832
658,top_6,0.26006694412638776,True,1.2923781697094063,1.3301785379225908
658,flag_nested,0.21454992711720433,True,0.9759785721506881,0.6040362104229856
672,market_1,0.6952922012412105,True,0.0376570548302694,0.06827912307683434
672,block_2_3,-0.2357396722076296,False,0.5066370811977813,0.5357814413039973
672,block_4_6,0.07843853748796435,True,1.0772869259096405,1.21263954784386
672,top_3,-0.23500511823179052,False,0.5075199349008749,0.5365273789037903
672,top_6,0.10779685114995277,True,1.0641263811005928,1.1609437388765866
672,flag_nested,0.008852780461298134,True,0.5253611846892828,0.5703048677903687
686,market_1,0.2923315458921628,True,0.053780140033941805,0.0614103944818173
686,block_2_3,0.19176087926409743,True,0.4994554264255535,0.47085544313387917
686,block_4_6,-0.1486726854395541,False,0.8216292465865545,1.4889467410436177
686,top_3,0.18587388295829194,True,0.5011575686620114,0.47230126016110685
686,top_6,-0.1621992991818714,False,0.7639867628132497,1.512701994308099
686,flag_nested,-0.05370416054269205,False,0.4288254135388761,0.6778681906764413
700,market_1,0.1418939082229062,True,0.058575854936966064,0.04563176437898275
700,block_2_3,-0.12597620667345416,False,0.44417056989430354,0.39787638214214754
700,block_4_6,0.09853521060649031,True,1.3532673748192212,1.2228222141033829
700,top_3,-0.13157583036163437,False,0.4467643302533831,0.3989157095210186
700,top_6,0.056102358429306935,True,1.3301785379225914,1.277019950121193
700,flag_nested,0.024454600200709893,True,0.6040362104229859,0.5717722429917476
714,market_1,-0.3824090614434812,False,0.06827912307683436,0.03316623808759826
714,block_2_3,-0.11302536574874061,False,0.5357814413039971,0.4109469543617486
714,block_4_6,0.11740798982980422,True,1.2126395478438607,1.4033896950168352
714,top_3,-0.1138578390847001,False,0.53652737890379,0.41197222155110164
714,top_6,0.1455180198872799,True,1.1609437388765869,1.437909802276659
714,flag_nested,0.0863428474363157,True,0.5703048677903688,0.6342484815690798
728,market_1,-0.34339842251327135,False,0.061410394481817315,0.043912202321397566
728,block_2_3,-0.10748437222887965,False,0.4708554431338794,0.5537331900265936
728,block_4_6,0.18343885925938788,True,1.488946741043618,0.862403994633911
728,top_3,-0.10899068820296846,False,0.4723012601611071,0.5553200670602093
728,top_6,0.26043732615564646,True,1.5127019943080988,0.8577226599852588
728,flag_nested,0.14190314655541975,True,0.6778681906764413,0.4767981061707339
742,market_1,-0.24576412357332286,False,0.04563176437898278,0.033439726039057246
742,block_2_3,-0.02305525214894197,False,0.3978763821421476,0.4846875118219905
